attack_name,token,position,repetitions,n_pairs_loaded,n_scored,n_align_failed,n_selected,mean_attack_delta,median_attack_delta,max_attack_delta,top_layer,top_component,top_combined_effect,late_encoder_mean,late_decoder_self_attn_mean,late_decoder_cross_attn_mean,late_decoder_mlp_mean
bar_end_1,bar,end,1,500,500,0,153,-0.0517575872996994,-0.027658462524414,0.3953657150268554,11,decoder_cross_attn,1.0,0.44874781183876505,0.46722702844377917,0.6412060849199156,0.6412060849199156
bar_end_2,bar,end,2,500,500,0,200,-0.03889402282066658,-0.0141887664794921,0.4590167999267578,11,decoder_cross_attn,1.0,0.3599973408078464,0.5150534225788113,0.6871782964008366,0.6871782964008366
bar_end_3,bar,end,3,500,500,0,200,-0.040503036865708275,-0.0109128952026367,0.4999036788940429,11,decoder_cross_attn,1.0,0.33463045735472197,0.5133724283383846,0.6782312453577936,0.6782312453577936
bar_end_4,bar,end,4,500,500,0,200,-0.03893214739568424,-0.0109949111938476,0.6258335113525391,11,decoder_cross_attn,1.0,0.33773122202019057,0.5168386683679332,0.6810797967303381,0.6810797967303381
bar_end_5,bar,end,5,500,500,0,200,-0.03196176807004079,-0.0030527114868164,0.8303070068359375,11,decoder_cross_attn,1.0,0.26746054688288057,0.5180879867704568,0.6820093433868013,0.6820093433868013
bar_random_1,bar,random,1,500,500,0,123,-0.07092312565819192,-0.0282201766967773,0.9620141983032228,11,decoder_cross_attn,1.0,0.932746482494541,0.4837227629005816,0.6614031552722504,0.6614031552722504
bar_random_2,bar,random,2,500,500,0,114,-0.14449732981668115,-0.0631742477416992,1.8549299240112305,11,decoder_cross_attn,1.0,0.8970029658029373,0.48386919932371786,0.6563762913031501,0.6563762913031501
bar_random_3,bar,random,3,500,499,1,116,-0.18740938056176204,-0.0841970443725586,3.343818187713623,11,decoder_cross_attn,1.0,0.887789936888609,0.449686088001915,0.627184817541499,0.627184817541499
bar_random_4,bar,random,4,500,499,1,107,-0.21537292988882906,-0.1090517044067382,1.5669326782226562,11,decoder_cross_attn,1.0,0.9214318425787137,0.5004309751934035,0.6686638321644873,0.6686638321644873
bar_random_5,bar,random,5,500,499,1,121,-0.228229500429831,-0.1211194992065429,1.659732699394226,11,decoder_cross_attn,1.0,0.8570614735599713,0.4944945786764888,0.6622762863718951,0.6622762863718951
bar_start_1,bar,start,1,500,500,0,157,-0.14148694160537797,-0.0548315048217773,1.5290594100952148,11,decoder_cross_attn,1.0,0.8206054208361162,0.49026606621631,0.6610303365723385,0.6610303365723385
bar_start_2,bar,start,2,500,500,0,153,-0.13583769451910954,-0.0613365173339843,2.081507682800293,11,decoder_cross_attn,1.0,0.9273087442903661,0.51654839780503,0.6822955823326736,0.6822955823326736
bar_start_3,bar,start,3,500,500,0,169,-0.11901609370106299,-0.05706787109375,3.35525131225586,10,encoder_mlp,1.0441707038698744,0.9643474810509344,0.5365970124460402,0.6979632732817832,0.6979632732817832
bar_start_4,bar,start,4,500,500,0,182,-0.10695170964548475,-0.0479116439819335,3.873336791992188,11,decoder_cross_attn,1.0,0.9078551200752059,0.5277741391446665,0.6916126145836972,0.6916126145836972
bar_start_5,bar,start,5,500,500,0,200,-0.07638301423442927,-0.0364332199096679,3.92284107208252,11,decoder_cross_attn,1.0,0.863739993245315,0.5262735284211071,0.6928049172076327,0.6928049172076327
false_end_1,false,end,1,500,500,0,189,-0.052351093634932434,-0.0197749137878417,0.2333240509033203,11,decoder_cross_attn,1.0,0.6044887629930683,0.5047026658140757,0.6826371514088754,0.6826371514088754
false_end_2,false,end,2,500,500,0,183,-0.057391319309171955,-0.0216178894042968,0.3801288604736328,11,decoder_cross_attn,1.0,0.3284129865421278,0.4446449616666668,0.6387012427399876,0.6387012427399876
false_end_3,false,end,3,500,500,0,161,-0.0768234260395567,-0.0327768325805664,0.4520187377929687,11,decoder_cross_attn,1.0,0.2420991900826393,0.42942530984103533,0.6273577917962335,0.6273577917962335
false_end_4,false,end,4,500,500,0,167,-0.0796461638973479,-0.0338401794433593,0.5272140502929688,11,decoder_cross_attn,1.0,0.2345314071222087,0.47170076932659,0.6528186640580623,0.6528186640580623
false_end_5,false,end,5,500,500,0,180,-0.07629205626139161,-0.0326862335205078,0.5642156600952148,11,decoder_cross_attn,1.0,0.25016711614689685,0.5334193358982449,0.6965040936422279,0.6965040936422279
false_random_1,false,random,1,500,500,0,178,-0.06054124229987299,-0.0190982818603515,0.4549064636230469,11,decoder_cross_attn,1.0,0.721760409147961,0.5154691029405363,0.6767890288465532,0.6767890288465532
false_random_2,false,random,2,500,500,0,171,-0.11341425519459546,-0.0375003814697265,1.1228618621826172,11,decoder_cross_attn,1.0,0.9255099223811649,0.5117194694698582,0.6788454902990932,0.6788454902990932
false_random_3,false,random,3,500,500,0,136,-0.1741963388738691,-0.0721187591552734,0.95501708984375,7,encoder_mlp,1.0157750396473932,0.9339029764124391,0.5200394201710942,0.6829981196534192,0.6829981196534192
false_random_4,false,random,4,500,496,4,148,-0.21232917237820323,-0.0990257263183593,2.8806371688842773,11,decoder_cross_attn,1.0,0.9495999766536676,0.5198523759210582,0.6752538669881192,0.6752538669881192
false_random_5,false,random,5,500,497,3,136,-0.29143225008457346,-0.1143074035644531,0.8403949737548828,11,decoder_cross_attn,1.0,0.8708801468527116,0.4959488922208658,0.6658923174658047,0.6658923174658047
false_start_1,false,start,1,500,500,0,193,-0.15531454775367673,-0.0385141372680664,1.082204818725586,9,encoder_mlp,1.0930004267050846,0.9941648373730168,0.5023804154847136,0.6752182155685943,0.6752182155685943
false_start_2,false,start,2,500,500,0,191,-0.1519576017983885,-0.0435695648193359,1.2151517868041992,9,encoder_mlp,1.1224165716112584,1.0192018901811846,0.49921537419915196,0.6654219030488897,0.6654219030488897
false_start_3,false,start,3,500,500,0,194,-0.12979493646651077,-0.0365772247314453,1.7121925354003906,11,decoder_cross_attn,1.0,0.926217792308424,0.479393293301878,0.650002254163442,0.650002254163442
false_start_4,false,start,4,500,500,0,200,-0.08804109001061755,-0.0175867080688476,2.060400009155273,11,decoder_cross_attn,1.0,0.9732347216524944,0.4940318752755205,0.6587907705891201,0.6587907705891201
