qid,docid,rank,bm25_score,original_score,control_score,attack_score,control_delta_vs_original,attack_delta_vs_control,attack_delta_vs_original
1103812,3202701,900,12.541065,-12.88609504699707,-12.899150848388672,-12.834566116333008,-0.013055801391601562,0.06458473205566406,0.0515289306640625
527433,199249,296,20.958233,-13.010591506958008,-13.068084716796875,-13.18044376373291,-0.05749320983886719,-0.11235904693603516,-0.16985225677490234
148538,963821,639,16.673933,-10.899344444274902,-10.929342269897461,-10.813154220581055,-0.029997825622558594,0.11618804931640625,0.08619022369384766
264014,5328095,19,23.129852,4.954717636108398,4.955177307128906,4.901273727416992,0.0004596710205078125,-0.05390357971191406,-0.05344390869140625
131843,8073461,44,6.3777733,-13.685620307922363,-13.706125259399414,-13.612565040588379,-0.02050495147705078,0.09356021881103516,0.07305526733398438
451602,8294680,628,12.772134,-11.517167091369629,-11.545208930969238,-11.516095161437988,-0.028041839599609375,0.02911376953125,0.001071929931640625
168216,3908778,144,24.050869,0.782355546951294,0.7713578343391418,0.7709512710571289,-0.0109977126121521,-0.00040656328201293945,-0.011404275894165039
130510,8614562,717,10.578865,-12.98244857788086,-12.98775863647461,-13.063236236572266,-0.00531005859375,-0.07547760009765625,-0.08078765869140625
1112341,4560142,736,11.507101,-14.439285278320312,-14.443235397338867,-14.498250007629395,-0.0039501190185546875,-0.055014610290527344,-0.05896472930908203
1133167,2750180,697,10.607595,-11.038500785827637,-10.982155799865723,-10.981792449951172,0.05634498596191406,0.00036334991455078125,0.056708335876464844
1129237,2913079,693,13.030432,-5.938738822937012,-5.922384262084961,-5.678009033203125,0.01635456085205078,0.24437522888183594,0.2607297897338867
87452,6073899,646,11.124613,-12.017468452453613,-12.027052879333496,-11.864221572875977,-0.009584426879882812,0.16283130645751953,0.15324687957763672
156493,911794,82,15.650091,-5.877462387084961,-5.836208343505859,-6.299173355102539,0.04125404357910156,-0.4629650115966797,-0.4217109680175781
148538,5427174,952,15.420052,-8.756421089172363,-8.931086540222168,-8.870538711547852,-0.1746654510498047,0.060547828674316406,-0.11411762237548828
130510,984907,140,12.764076,-13.279563903808594,-13.28782844543457,-13.294200897216797,-0.008264541625976562,-0.0063724517822265625,-0.014636993408203125
