layer,component,direction,mean_effect,std_effect,n
0,decoder_cross_attn,forward,0.035047005275326885,0.02487411048908695,
0,decoder_cross_attn,reverse,0.035640647683700184,0.025538999606328824,
0,decoder_mlp,forward,0.035047005275326885,0.02487411048908695,
0,decoder_mlp,reverse,0.035640647683700184,0.025538999606328824,
0,decoder_self_attn,forward,0.0,0.0,
0,decoder_self_attn,reverse,0.0,0.0,
0,encoder_mlp,forward,0.10924358769175421,0.22375987391806854,
0,encoder_mlp,reverse,-0.22601548813642003,2.152351293045051,
0,encoder_self_attn,forward,0.10924358769175421,0.22375987391806854,
0,encoder_self_attn,reverse,-0.22601548813642003,2.152351293045051,
1,decoder_cross_attn,forward,0.04259085438203583,0.04439490657898518,
1,decoder_cross_attn,reverse,0.04086875922049241,0.046236242452741064,
1,decoder_mlp,forward,0.04259085438203583,0.04439490657898518,
1,decoder_mlp,reverse,0.04086875922049241,0.046236242452741064,
1,decoder_self_attn,forward,0.035047005275326885,0.02487411048908695,
1,decoder_self_attn,reverse,0.035640647683700184,0.025538999606328824,
1,encoder_mlp,forward,0.2506425282626284,0.35352439445198447,
1,encoder_mlp,reverse,0.829450023040296,1.0286825615972504,
1,encoder_self_attn,forward,0.2506425282626284,0.35352439445198447,
1,encoder_self_attn,reverse,0.829450023040296,1.0286825615972504,
2,decoder_cross_attn,forward,0.0926134670134227,0.060619136944637164,
2,decoder_cross_attn,reverse,0.09104582167720425,0.06494987847678159,
2,decoder_mlp,forward,0.0926134670134227,0.060619136944637164,
2,decoder_mlp,reverse,0.09104582167720425,0.06494987847678159,
2,decoder_self_attn,forward,0.04259085438203583,0.04439490657898518,
2,decoder_self_attn,reverse,0.04086875922049241,0.046236242452741064,
2,encoder_mlp,forward,0.3799511874276981,0.4469342895428714,
2,encoder_mlp,reverse,0.988743075980025,1.144408690626537,
2,encoder_self_attn,forward,0.3799511874276981,0.4469342895428714,
2,encoder_self_attn,reverse,0.988743075980025,1.144408690626537,
3,decoder_cross_attn,forward,0.11098084500419454,0.06337553615744039,
3,decoder_cross_attn,reverse,0.109462155909417,0.06791732050751903,
3,decoder_mlp,forward,0.11098084500419454,0.06337553615744039,
3,decoder_mlp,reverse,0.109462155909417,0.06791732050751903,
3,decoder_self_attn,forward,0.0926134670134227,0.060619136944637164,
3,decoder_self_attn,reverse,0.09104582167720425,0.06494987847678159,
3,encoder_mlp,forward,0.47624929643971553,0.5503717043356587,
3,encoder_mlp,reverse,1.1603903694183006,1.1898521797152748,
3,encoder_self_attn,forward,0.47624929643971553,0.5503717043356587,
3,encoder_self_attn,reverse,1.1603903694183006,1.1898521797152748,
4,decoder_cross_attn,forward,0.14454311296620437,0.07187446957908279,
