qid,docid,layer,component,direction,control_score,attack_score,patched_score,effect
156493,911794,0,encoder_self_attn,forward,-5.881391525268555,-4.026461601257324,-5.14000129699707,0.39968638096486697
156493,911794,0,encoder_self_attn,reverse,-5.881391525268555,-4.026461601257324,-6.756322860717773,1.4716789158035717
156493,911794,0,encoder_mlp,forward,-5.881391525268555,-4.026461601257324,-5.14000129699707,0.39968638096486697
156493,911794,0,encoder_mlp,reverse,-5.881391525268555,-4.026461601257324,-6.756322860717773,1.4716789158035717
156493,911794,1,encoder_self_attn,forward,-5.881391525268555,-4.026461601257324,-3.880692958831787,1.0785844470665051
156493,911794,1,encoder_self_attn,reverse,-5.881391525268555,-4.026461601257324,-6.569974899291992,1.3712179986478392
156493,911794,1,encoder_mlp,forward,-5.881391525268555,-4.026461601257324,-3.880692958831787,1.0785844470665051
156493,911794,1,encoder_mlp,reverse,-5.881391525268555,-4.026461601257324,-6.569974899291992,1.3712179986478392
156493,911794,2,encoder_self_attn,forward,-5.881391525268555,-4.026461601257324,-3.2672786712646484,1.409278496273846
156493,911794,2,encoder_self_attn,reverse,-5.881391525268555,-4.026461601257324,-6.505573272705078,1.336498829069914
156493,911794,2,encoder_mlp,forward,-5.881391525268555,-4.026461601257324,-3.2672786712646484,1.409278496273846
156493,911794,2,encoder_mlp,reverse,-5.881391525268555,-4.026461601257324,-6.505573272705078,1.336498829069914
156493,911794,3,encoder_self_attn,forward,-5.881391525268555,-4.026461601257324,-2.3346123695373535,1.912082558925675
156493,911794,3,encoder_self_attn,reverse,-5.881391525268555,-4.026461601257324,-7.049354553222656,1.629653450966178
156493,911794,3,encoder_mlp,forward,-5.881391525268555,-4.026461601257324,-2.3346123695373535,1.912082558925675
156493,911794,3,encoder_mlp,reverse,-5.881391525268555,-4.026461601257324,-7.049354553222656,1.629653450966178
156493,911794,4,encoder_self_attn,forward,-5.881391525268555,-4.026461601257324,-2.2727837562561035,1.9454146069350937
156493,911794,4,encoder_self_attn,reverse,-5.881391525268555,-4.026461601257324,-7.134143829345703,1.675363682401602
156493,911794,4,encoder_mlp,forward,-5.881391525268555,-4.026461601257324,-2.2727837562561035,1.9454146069350937
156493,911794,4,encoder_mlp,reverse,-5.881391525268555,-4.026461601257324,-7.134143829345703,1.675363682401602
156493,911794,5,encoder_self_attn,forward,-5.881391525268555,-4.026461601257324,-2.5468826293945312,1.7976468289773706
156493,911794,5,encoder_self_attn,reverse,-5.881391525268555,-4.026461601257324,-6.3062896728515625,1.2290642584837805
156493,911794,5,encoder_mlp,forward,-5.881391525268555,-4.026461601257324,-2.5468826293945312,1.7976468289773706
156493,911794,5,encoder_mlp,reverse,-5.881391525268555,-4.026461601257324,-6.3062896728515625,1.2290642584837805
156493,911794,6,encoder_self_attn,forward,-5.881391525268555,-4.026461601257324,-2.5573790073394775,1.7919881904438737
156493,911794,6,encoder_self_attn,reverse,-5.881391525268555,-4.026461601257324,-6.216861724853516,1.1808533008403448
156493,911794,6,encoder_mlp,forward,-5.881391525268555,-4.026461601257324,-2.5573790073394775,1.7919881904438737
156493,911794,6,encoder_mlp,reverse,-5.881391525268555,-4.026461601257324,-6.216861724853516,1.1808533008403448
156493,911794,7,encoder_self_attn,forward,-5.881391525268555,-4.026461601257324,-2.545377016067505,1.7984585110293645
156493,911794,7,encoder_self_attn,reverse,-5.881391525268555,-4.026461601257324,-5.963554382324219,1.0442943186112332
156493,911794,7,encoder_mlp,forward,-5.881391525268555,-4.026461601257324,-2.545377016067505,1.7984585110293645
156493,911794,7,encoder_mlp,reverse,-5.881391525268555,-4.026461601257324,-5.963554382324219,1.0442943186112332
156493,911794,8,encoder_self_attn,forward,-5.881391525268555,-4.026461601257324,-3.677616596221924,1.188063710935793
156493,911794,8,encoder_self_attn,reverse,-5.881391525268555,-4.026461601257324,-5.992670059204102,1.0599906942548591
156493,911794,8,encoder_mlp,forward,-5.881391525268555,-4.026461601257324,-3.677616596221924,1.188063710935793
156493,911794,8,encoder_mlp,reverse,-5.881391525268555,-4.026461601257324,-5.992670059204102,1.0599906942548591
