qid,docid,rank,bm25_score,original_score,control_score,attack_score,control_delta_vs_original,attack_delta_vs_control,attack_delta_vs_original
1103812,3202701,900,12.541065,-12.88609504699707,-12.891368865966797,-12.841937065124512,-0.0052738189697265625,0.049431800842285156,0.044157981872558594
527433,199249,296,20.958233,-13.010591506958008,-13.052897453308105,-13.235173225402832,-0.042305946350097656,-0.18227577209472656,-0.22458171844482422
148538,963821,639,16.673933,-10.899344444274902,-10.964073181152344,-11.332372665405273,-0.0647287368774414,-0.3682994842529297,-0.4330282211303711
264014,5328095,19,23.129852,4.954717636108398,4.923291206359863,4.995296478271484,-0.031426429748535156,0.0720052719116211,0.04057884216308594
131843,8073461,44,6.3777733,-13.685620307922363,-13.783489227294922,-13.955124855041504,-0.0978689193725586,-0.17163562774658203,-0.2695045471191406
451602,8294680,628,12.772134,-11.517167091369629,-11.445221900939941,-11.295816421508789,0.0719451904296875,0.14940547943115234,0.22135066986083984
168216,3908778,144,24.050869,0.782355546951294,0.8004519939422607,0.77415531873703,0.018096446990966797,-0.026296675205230713,-0.008200228214263916
130510,8614562,717,10.578865,-12.98244857788086,-12.959593772888184,-13.252269744873047,0.02285480499267578,-0.2926759719848633,-0.2698211669921875
1112341,4560142,736,11.507101,-14.439285278320312,-14.414225578308105,-14.447935104370117,0.02505970001220703,-0.03370952606201172,-0.008649826049804688
1133167,2750180,697,10.607595,-11.038500785827637,-10.969398498535156,-11.103157043457031,0.06910228729248047,-0.133758544921875,-0.06465625762939453
1129237,2913079,693,13.030432,-5.938738822937012,-5.847545623779297,-6.198909759521484,0.09119319915771484,-0.3513641357421875,-0.26017093658447266
87452,6073899,646,11.124613,-12.017468452453613,-12.005393981933594,-12.737320899963379,0.012074470520019531,-0.7319269180297852,-0.7198524475097656
156493,911794,82,15.650091,-5.877462387084961,-5.631557464599609,-7.0262451171875,0.24590492248535156,-1.3946876525878906,-1.148782730102539
148538,5427174,952,15.420052,-8.756421089172363,-9.094959259033203,-9.62069320678711,-0.33853816986083984,-0.5257339477539062,-0.8642721176147461
130510,984907,140,12.764076,-13.279563903808594,-13.291383743286133,-13.369165420532227,-0.011819839477539062,-0.07778167724609375,-0.08960151672363281
451602,7265404,328,14.074535,-10.894426345825195,-10.678329467773438,-10.952451705932617,0.2160968780517578,-0.2741222381591797,-0.058025360107421875
183378,2710646,247,12.411176,-12.091257095336914,-12.186673164367676,-12.519866943359375,-0.09541606903076172,-0.3331937789916992,-0.42860984802246094
1114819,8024890,113,19.147913,2.313046455383301,2.399256706237793,2.7269413471221924,0.08621025085449219,0.3276846408843994,0.4138948917388916
182539,4321079,448,10.296672,-13.416654586791992,-13.267763137817383,-13.613064765930176,0.14889144897460938,-0.34530162811279297,-0.1964101791381836
148538,8233886,739,16.271252,-11.868668556213379,-11.388496398925781,-11.304736137390137,0.48017215728759766,0.08376026153564453,0.5639324188232422
1113437,3422862,776,10.440643,-7.403278350830078,-7.7361249923706055,-6.981976509094238,-0.33284664154052734,0.7541484832763672,0.42130184173583984
1106007,2677529,31,12.954882,-10.445399284362793,-10.34914779663086,-10.471445083618164,0.0962514877319336,-0.12229728698730469,-0.026045799255371094
1112341,5101872,708,11.577221,-11.661656379699707,-11.72281265258789,-12.186171531677246,-0.061156272888183594,-0.46335887908935547,-0.5245151519775391
87452,5105199,488,11.571701,-10.456750869750977,-10.5101318359375,-10.77037239074707,-0.05338096618652344,-0.2602405548095703,-0.31362152099609375
451602,1530197,446,13.279856,-12.889481544494629,-12.877540588378906,-12.967669486999512,0.011940956115722656,-0.09012889862060547,-0.07818794250488281
833860,7503777,434,11.057965,-13.48897933959961,-13.478950500488281,-13.50119400024414,0.010028839111328125,-0.022243499755859375,-0.01221466064453125
