layer,component,direction,mean_effect,std_effect,n
0,decoder_cross_attn,forward,0.041323610606547184,0.03310891651134695,
0,decoder_cross_attn,reverse,0.040812206686278274,0.03346490307096249,
0,decoder_mlp,forward,0.041323610606547184,0.03310891651134695,
0,decoder_mlp,reverse,0.040812206686278274,0.03346490307096249,
0,decoder_self_attn,forward,0.0,0.0,
0,decoder_self_attn,reverse,0.0,0.0,
0,encoder_mlp,forward,0.05985302906466885,0.0780990999028668,
0,encoder_mlp,reverse,0.6686529093140833,1.5674564591436766,
0,encoder_self_attn,forward,0.05985302906466885,0.0780990999028668,
0,encoder_self_attn,reverse,0.6686529093140833,1.5674564591436766,
1,decoder_cross_attn,forward,0.05736533102109937,0.048278172254965376,
1,decoder_cross_attn,reverse,0.056950899603254924,0.05026997290262424,
1,decoder_mlp,forward,0.05736533102109937,0.048278172254965376,
1,decoder_mlp,reverse,0.056950899603254924,0.05026997290262424,
1,decoder_self_attn,forward,0.041323610606547184,0.03310891651134695,
1,decoder_self_attn,reverse,0.040812206686278274,0.03346490307096249,
1,encoder_mlp,forward,0.05557027744662612,0.2163742661550012,
1,encoder_mlp,reverse,0.8430480195482263,1.1619308058322166,
1,encoder_self_attn,forward,0.05557027744662612,0.2163742661550012,
1,encoder_self_attn,reverse,0.8430480195482263,1.1619308058322166,
2,decoder_cross_attn,forward,0.10963885827535122,0.10964962720858366,
2,decoder_cross_attn,reverse,0.10756356492631337,0.1122765371226371,
2,decoder_mlp,forward,0.10963885827535122,0.10964962720858366,
2,decoder_mlp,reverse,0.10756356492631337,0.1122765371226371,
2,decoder_self_attn,forward,0.05736533102109937,0.048278172254965376,
2,decoder_self_attn,reverse,0.056950899603254924,0.05026997290262424,
2,encoder_mlp,forward,0.11332831956757387,0.34149052030165183,
2,encoder_mlp,reverse,0.9226515698697747,1.042925330808357,
2,encoder_self_attn,forward,0.11332831956757387,0.34149052030165183,
2,encoder_self_attn,reverse,0.9226515698697747,1.042925330808357,
3,decoder_cross_attn,forward,0.1238087597374019,0.11413584933321234,
