qid,docid,rank,bm25_score,original_score,control_score,attack_score,control_delta_vs_original,attack_delta_vs_control,attack_delta_vs_original
1103812,3202701,900,12.541065,-12.88609504699707,-12.920698165893555,-12.940072059631348,-0.034603118896484375,-0.01937389373779297,-0.053977012634277344
527433,199249,296,20.958233,-13.010591506958008,-13.027642250061035,-13.003606796264648,-0.017050743103027344,0.02403545379638672,0.006984710693359375
148538,963821,639,16.673933,-10.899344444274902,-10.905923843383789,-10.902576446533203,-0.006579399108886719,0.0033473968505859375,-0.0032320022583007812
264014,5328095,19,23.129852,4.954717636108398,4.899934768676758,4.673663139343262,-0.054782867431640625,-0.2262716293334961,-0.2810544967651367
131843,8073461,44,6.3777733,-13.685620307922363,-13.68642807006836,-13.629619598388672,-0.0008077621459960938,0.0568084716796875,0.056000709533691406
451602,8294680,628,12.772134,-11.517167091369629,-11.51427173614502,-11.437566757202148,0.002895355224609375,0.0767049789428711,0.07960033416748047
168216,3908778,144,24.050869,0.782355546951294,0.8298174738883972,0.6847638487815857,0.04746192693710327,-0.14505362510681152,-0.09759169816970825
130510,8614562,717,10.578865,-12.98244857788086,-13.040342330932617,-13.001628875732422,-0.05789375305175781,0.03871345520019531,-0.0191802978515625
1112341,4560142,736,11.507101,-14.439285278320312,-14.436609268188477,-14.440017700195312,0.0026760101318359375,-0.0034084320068359375,-0.000732421875
1133167,2750180,697,10.607595,-11.038500785827637,-11.047835350036621,-11.90855598449707,-0.009334564208984375,-0.8607206344604492,-0.8700551986694336
1129237,2913079,693,13.030432,-5.938738822937012,-5.91788387298584,-6.103763580322266,0.020854949951171875,-0.18587970733642578,-0.1650247573852539
87452,6073899,646,11.124613,-12.017468452453613,-12.093788146972656,-12.189922332763672,-0.07631969451904297,-0.09613418579101562,-0.1724538803100586
156493,911794,82,15.650091,-5.877462387084961,-5.63496208190918,-7.45277214050293,0.24250030517578125,-1.81781005859375,-1.5753097534179688
148538,5427174,952,15.420052,-8.756421089172363,-8.954936027526855,-8.554033279418945,-0.1985149383544922,0.40090274810791016,0.20238780975341797
