qid,docid,rank,bm25_score,original_score,control_score,attack_score,control_delta_vs_original,attack_delta_vs_control,attack_delta_vs_original
1103812,3202701,900,12.541065,-12.88609504699707,-12.89016342163086,-12.961941719055176,-0.0040683746337890625,-0.0717782974243164,-0.07584667205810547
527433,199249,296,20.958233,-13.010591506958008,-13.07381534576416,-13.160440444946289,-0.06322383880615234,-0.0866250991821289,-0.14984893798828125
148538,963821,639,16.673933,-10.899344444274902,-10.928258895874023,-11.020069122314453,-0.028914451599121094,-0.09181022644042969,-0.12072467803955078
264014,5328095,19,23.129852,4.954717636108398,4.952674865722656,4.90953254699707,-0.0020427703857421875,-0.04314231872558594,-0.045185089111328125
131843,8073461,44,6.3777733,-13.685620307922363,-13.737016677856445,-13.775800704956055,-0.05139636993408203,-0.038784027099609375,-0.0901803970336914
451602,8294680,628,12.772134,-11.517167091369629,-11.537635803222656,-11.56535530090332,-0.020468711853027344,-0.027719497680664062,-0.048188209533691406
168216,3908778,144,24.050869,0.782355546951294,0.7662014961242676,0.7639431357383728,-0.016154050827026367,-0.0022583603858947754,-0.018412411212921143
130510,8614562,717,10.578865,-12.98244857788086,-12.984391212463379,-13.052261352539062,-0.0019426345825195312,-0.0678701400756836,-0.06981277465820312
1112341,4560142,736,11.507101,-14.439285278320312,-14.443944931030273,-14.420711517333984,-0.0046596527099609375,0.023233413696289062,0.018573760986328125
1133167,2750180,697,10.607595,-11.038500785827637,-10.996993064880371,-11.34860610961914,0.041507720947265625,-0.35161304473876953,-0.3101053237915039
1129237,2913079,693,13.030432,-5.938738822937012,-5.936994552612305,-5.870805740356445,0.0017442703247070312,0.06618881225585938,0.0679330825805664
87452,6073899,646,11.124613,-12.017468452453613,-12.026578903198242,-12.061073303222656,-0.009110450744628906,-0.03449440002441406,-0.04360485076904297
156493,911794,82,15.650091,-5.877462387084961,-5.866024017333984,-6.079608917236328,0.011438369750976562,-0.21358489990234375,-0.2021465301513672
148538,5427174,952,15.420052,-8.756421089172363,-8.928938865661621,-8.883526802062988,-0.1725177764892578,0.04541206359863281,-0.127105712890625
130510,984907,140,12.764076,-13.279563903808594,-13.28200912475586,-13.349613189697266,-0.002445220947265625,-0.06760406494140625,-0.07004928588867188
451602,7265404,328,14.074535,-10.894426345825195,-10.93235969543457,-11.139174461364746,-0.037933349609375,-0.20681476593017578,-0.24474811553955078
183378,2710646,247,12.411176,-12.091257095336914,-12.106681823730469,-12.067188262939453,-0.015424728393554688,0.039493560791015625,0.024068832397460938
1114819,8024890,113,19.147913,2.313046455383301,2.394625663757324,2.417034864425659,0.08157920837402344,0.02240920066833496,0.1039884090423584
182539,4321079,448,10.296672,-13.416654586791992,-13.401796340942383,-13.458209037780762,0.014858245849609375,-0.056412696838378906,-0.04155445098876953
148538,8233886,739,16.271252,-11.868668556213379,-11.954888343811035,-11.986138343811035,-0.08621978759765625,-0.03125,-0.11746978759765625
1113437,3422862,776,10.440643,-7.403278350830078,-7.398090362548828,-7.321287155151367,0.00518798828125,0.07680320739746094,0.08199119567871094
1106007,2677529,31,12.954882,-10.445399284362793,-10.33797836303711,-10.386672973632812,0.1074209213256836,-0.048694610595703125,0.05872631072998047
1112341,5101872,708,11.577221,-11.661656379699707,-11.715668678283691,-11.780105590820312,-0.054012298583984375,-0.0644369125366211,-0.11844921112060547
87452,5105199,488,11.571701,-10.456750869750977,-10.517149925231934,-10.653524398803711,-0.06039905548095703,-0.13637447357177734,-0.19677352905273438
451602,1530197,446,13.279856,-12.889481544494629,-12.909061431884766,-13.001934051513672,-0.01957988739013672,-0.09287261962890625,-0.11245250701904297
833860,7503777,434,11.057965,-13.48897933959961,-13.561605453491211,-13.458513259887695,-0.07262611389160156,0.10309219360351562,0.030466079711914062
1129237,4373435,613,13.17106,-11.293925285339355,-11.342599868774414,-11.404304504394531,-0.048674583435058594,-0.06170463562011719,-0.11037921905517578
264014,4664190,226,15.311792,-5.688996315002441,-5.733450889587402,-5.8729143142700195,-0.04445457458496094,-0.1394634246826172,-0.18391799926757812
1110199,6697302,425,11.980958,-12.327913284301758,-12.302789688110352,-12.283531188964844,0.02512359619140625,0.019258499145507812,0.04438209533691406
962179,2466207,463,12.762965,-14.284775733947754,-14.283086776733398,-14.256636619567871,0.0016889572143554688,0.026450157165527344,0.028139114379882812
