qid,docid,layer,component,direction,control_score,attack_score,patched_score,effect
130510,910990,0,encoder_self_attn,forward,-9.225829124450684,-8.661613464355469,-8.79400634765625,0.765350569534991
130510,910990,0,encoder_self_attn,reverse,-9.225829124450684,-8.661613464355469,-8.843748092651367,0.32281030318293913
130510,910990,0,encoder_mlp,forward,-9.225829124450684,-8.661613464355469,-8.79400634765625,0.765350569534991
130510,910990,0,encoder_mlp,reverse,-9.225829124450684,-8.661613464355469,-8.843748092651367,0.32281030318293913
130510,910990,1,encoder_self_attn,forward,-9.225829124450684,-8.661613464355469,-8.869209289550781,0.6320629860569992
130510,910990,1,encoder_self_attn,reverse,-9.225829124450684,-8.661613464355469,-8.94765853881836,0.5069782614942286
130510,910990,1,encoder_mlp,forward,-9.225829124450684,-8.661613464355469,-8.869209289550781,0.6320629860569992
130510,910990,1,encoder_mlp,reverse,-9.225829124450684,-8.661613464355469,-8.94765853881836,0.5069782614942286
130510,910990,2,encoder_self_attn,forward,-9.225829124450684,-8.661613464355469,-8.862621307373047,0.6437393407626141
130510,910990,2,encoder_self_attn,reverse,-9.225829124450684,-8.661613464355469,-8.927425384521484,0.4711175867063992
130510,910990,2,encoder_mlp,forward,-9.225829124450684,-8.661613464355469,-8.862621307373047,0.6437393407626141
130510,910990,2,encoder_mlp,reverse,-9.225829124450684,-8.661613464355469,-8.927425384521484,0.4711175867063992
130510,910990,3,encoder_self_attn,forward,-9.225829124450684,-8.661613464355469,-8.709803581237793,0.9145891893993303
130510,910990,3,encoder_self_attn,reverse,-9.225829124450684,-8.661613464355469,-8.927593231201172,0.4714150734504913
130510,910990,3,encoder_mlp,forward,-9.225829124450684,-8.661613464355469,-8.709803581237793,0.9145891893993303
130510,910990,3,encoder_mlp,reverse,-9.225829124450684,-8.661613464355469,-8.927593231201172,0.4714150734504913
130510,910990,4,encoder_self_attn,forward,-9.225829124450684,-8.661613464355469,-8.84549617767334,0.6740914399879653
130510,910990,4,encoder_self_attn,reverse,-9.225829124450684,-8.661613464355469,-9.022966384887695,0.6404517741872781
130510,910990,4,encoder_mlp,forward,-9.225829124450684,-8.661613464355469,-8.84549617767334,0.6740914399879653
130510,910990,4,encoder_mlp,reverse,-9.225829124450684,-8.661613464355469,-9.022966384887695,0.6404517741872781
130510,910990,5,encoder_self_attn,forward,-9.225829124450684,-8.661613464355469,-8.93537425994873,0.5147940495890119
130510,910990,5,encoder_self_attn,reverse,-9.225829124450684,-8.661613464355469,-9.299707412719727,1.1309398045714922
130510,910990,5,encoder_mlp,forward,-9.225829124450684,-8.661613464355469,-8.93537425994873,0.5147940495890119
