layer,component,direction,mean_effect,std_effect,n
0,decoder_cross_attn,forward,0.0440828099583453,0.028227348441365305,
0,decoder_cross_attn,reverse,0.043374850390477504,0.02828788747409046,
0,decoder_mlp,forward,0.0440828099583453,0.028227348441365305,
0,decoder_mlp,reverse,0.043374850390477504,0.02828788747409046,
0,decoder_self_attn,forward,0.0,0.0,
0,decoder_self_attn,reverse,0.0,0.0,
0,encoder_mlp,forward,0.6069859317406727,0.44224931488937486,
0,encoder_mlp,reverse,-0.675876296948848,1.4490916854522753,
0,encoder_self_attn,forward,0.6069859317406727,0.44224931488937486,
0,encoder_self_attn,reverse,-0.675876296948848,1.4490916854522753,
1,decoder_cross_attn,forward,0.06697400066009657,0.060628917802171424,
1,decoder_cross_attn,reverse,0.0643508548438076,0.05990574914481592,
1,decoder_mlp,forward,0.06697400066009657,0.060628917802171424,
1,decoder_mlp,reverse,0.0643508548438076,0.05990574914481592,
1,decoder_self_attn,forward,0.0440828099583453,0.028227348441365305,
1,decoder_self_attn,reverse,0.043374850390477504,0.02828788747409046,
1,encoder_mlp,forward,0.6074997840488829,0.4509367800613864,
1,encoder_mlp,reverse,-0.5236174060435933,1.7169924373768486,
1,encoder_self_attn,forward,0.6074997840488829,0.4509367800613864,
1,encoder_self_attn,reverse,-0.5236174060435933,1.7169924373768486,
2,decoder_cross_attn,forward,0.11676516809481166,0.08987062931128906,
2,decoder_cross_attn,reverse,0.11494006660772169,0.09044816196055032,
2,decoder_mlp,forward,0.11676516809481166,0.08987062931128906,
2,decoder_mlp,reverse,0.11494006660772169,0.09044816196055032,
2,decoder_self_attn,forward,0.06697400066009657,0.060628917802171424,
2,decoder_self_attn,reverse,0.0643508548438076,0.05990574914481592,
2,encoder_mlp,forward,0.6233377792174365,0.43054762353231013,
2,encoder_mlp,reverse,-0.30977970271378225,1.4228989701904355,
2,encoder_self_attn,forward,0.6233377792174365,0.43054762353231013,
2,encoder_self_attn,reverse,-0.30977970271378225,1.4228989701904355,
3,decoder_cross_attn,forward,0.13073753262819712,0.09059662347860352,
3,decoder_cross_attn,reverse,0.1283909386834165,0.09187886945104616,
3,decoder_mlp,forward,0.13073753262819712,0.09059662347860352,
3,decoder_mlp,reverse,0.1283909386834165,0.09187886945104616,
3,decoder_self_attn,forward,0.11676516809481166,0.08987062931128906,
3,decoder_self_attn,reverse,0.11494006660772169,0.09044816196055032,
3,encoder_mlp,forward,0.7453584194318561,0.49237260962703433,
3,encoder_mlp,reverse,0.5301635291955884,0.9847810483002891,
