qid,docid,layer,component,direction,control_score,attack_score,patched_score,effect
156493,8725855,0,encoder_self_attn,forward,-6.530033111572266,-4.469633102416992,-3.8118910789489746,1.319230256525615
156493,8725855,0,encoder_self_attn,reverse,-6.530033111572266,-4.469633102416992,-6.2248640060424805,0.8518884176986105
156493,8725855,0,encoder_mlp,forward,-6.530033111572266,-4.469633102416992,-3.8118910789489746,1.319230256525615
156493,8725855,0,encoder_mlp,reverse,-6.530033111572266,-4.469633102416992,-6.2248640060424805,0.8518884176986105
156493,8725855,1,encoder_self_attn,forward,-6.530033111572266,-4.469633102416992,-3.6813011169433594,1.382611134716911
156493,8725855,1,encoder_self_attn,reverse,-6.530033111572266,-4.469633102416992,-6.2279052734375,0.8533644744747246
156493,8725855,1,encoder_mlp,forward,-6.530033111572266,-4.469633102416992,-3.6813011169433594,1.382611134716911
156493,8725855,1,encoder_mlp,reverse,-6.530033111572266,-4.469633102416992,-6.2279052734375,0.8533644744747246
156493,8725855,2,encoder_self_attn,forward,-6.530033111572266,-4.469633102416992,-3.999488353729248,1.2281812980968172
156493,8725855,2,encoder_self_attn,reverse,-6.530033111572266,-4.469633102416992,-5.349194526672363,0.4268886722709613
156493,8725855,2,encoder_mlp,forward,-6.530033111572266,-4.469633102416992,-3.999488353729248,1.2281812980968172
156493,8725855,2,encoder_mlp,reverse,-6.530033111572266,-4.469633102416992,-5.349194526672363,0.4268886722709613
156493,8725855,3,encoder_self_attn,forward,-6.530033111572266,-4.469633102416992,-3.6493844985961914,1.3981016308367655
156493,8725855,3,encoder_self_attn,reverse,-6.530033111572266,-4.469633102416992,-6.017762184143066,0.7513730706887247
156493,8725855,3,encoder_mlp,forward,-6.530033111572266,-4.469633102416992,-3.6493844985961914,1.3981016308367655
156493,8725855,3,encoder_mlp,reverse,-6.530033111572266,-4.469633102416992,-6.017762184143066,0.7513730706887247
156493,8725855,4,encoder_self_attn,forward,-6.530033111572266,-4.469633102416992,-3.588387966156006,1.427705849517192
156493,8725855,4,encoder_self_attn,reverse,-6.530033111572266,-4.469633102416992,-5.910308837890625,0.6992213788934527
156493,8725855,4,encoder_mlp,forward,-6.530033111572266,-4.469633102416992,-3.588387966156006,1.427705849517192
156493,8725855,4,encoder_mlp,reverse,-6.530033111572266,-4.469633102416992,-5.910308837890625,0.6992213788934527
156493,8725855,5,encoder_self_attn,forward,-6.530033111572266,-4.469633102416992,-3.8174824714660645,1.3165165152655467
156493,8725855,5,encoder_self_attn,reverse,-6.530033111572266,-4.469633102416992,-6.374885559082031,0.9247002757712848
156493,8725855,5,encoder_mlp,forward,-6.530033111572266,-4.469633102416992,-3.8174824714660645,1.3165165152655467
156493,8725855,5,encoder_mlp,reverse,-6.530033111572266,-4.469633102416992,-6.374885559082031,0.9247002757712848
156493,8725855,6,encoder_self_attn,forward,-6.530033111572266,-4.469633102416992,-3.2721099853515625,1.5812090427801893
156493,8725855,6,encoder_self_attn,reverse,-6.530033111572266,-4.469633102416992,-5.7044525146484375,0.5993105255021324
156493,8725855,6,encoder_mlp,forward,-6.530033111572266,-4.469633102416992,-3.2721099853515625,1.5812090427801893
156493,8725855,6,encoder_mlp,reverse,-6.530033111572266,-4.469633102416992,-5.7044525146484375,0.5993105255021324
156493,8725855,7,encoder_self_attn,forward,-6.530033111572266,-4.469633102416992,-3.596038341522217,1.4239927960653298
156493,8725855,7,encoder_self_attn,reverse,-6.530033111572266,-4.469633102416992,-6.585033416748047,1.0266939938513835
156493,8725855,7,encoder_mlp,forward,-6.530033111572266,-4.469633102416992,-3.596038341522217,1.4239927960653298
156493,8725855,7,encoder_mlp,reverse,-6.530033111572266,-4.469633102416992,-6.585033416748047,1.0266939938513835
156493,8725855,8,encoder_self_attn,forward,-6.530033111572266,-4.469633102416992,-3.3251914978027344,1.5554463208740996
156493,8725855,8,encoder_self_attn,reverse,-6.530033111572266,-4.469633102416992,-7.420093536376953,1.4319842850173525
156493,8725855,8,encoder_mlp,forward,-6.530033111572266,-4.469633102416992,-3.3251914978027344,1.5554463208740996
156493,8725855,8,encoder_mlp,reverse,-6.530033111572266,-4.469633102416992,-7.420093536376953,1.4319842850173525
156493,8725855,9,encoder_self_attn,forward,-6.530033111572266,-4.469633102416992,-3.2124578952789307,1.6101607462395036
156493,8725855,9,encoder_self_attn,reverse,-6.530033111572266,-4.469633102416992,-7.047035217285156,1.2509231719159486
156493,8725855,9,encoder_mlp,forward,-6.530033111572266,-4.469633102416992,-3.2124578952789307,1.6101607462395036
156493,8725855,9,encoder_mlp,reverse,-6.530033111572266,-4.469633102416992,-7.047035217285156,1.2509231719159486
156493,8725855,10,encoder_self_attn,forward,-6.530033111572266,-4.469633102416992,-4.155243873596191,1.152586501370525
156493,8725855,10,encoder_self_attn,reverse,-6.530033111572266,-4.469633102416992,-6.572029113769531,1.0203824509855652
156493,8725855,10,encoder_mlp,forward,-6.530033111572266,-4.469633102416992,-4.155243873596191,1.152586501370525
156493,8725855,10,encoder_mlp,reverse,-6.530033111572266,-4.469633102416992,-6.572029113769531,1.0203824509855652
156493,8725855,11,encoder_self_attn,forward,-6.530033111572266,-4.469633102416992,-4.5109710693359375,0.9799369216000474
156493,8725855,11,encoder_self_attn,reverse,-6.530033111572266,-4.469633102416992,-6.498777389526367,0.9848302650422174
156493,8725855,11,encoder_mlp,forward,-6.530033111572266,-4.469633102416992,-4.5109710693359375,0.9799369216000474
156493,8725855,11,encoder_mlp,reverse,-6.530033111572266,-4.469633102416992,-6.498777389526367,0.9848302650422174
156493,8725855,0,decoder_self_attn,forward,-6.530033111572266,-4.469633102416992,-6.530033111572266,0.0
156493,8725855,0,decoder_self_attn,reverse,-6.530033111572266,-4.469633102416992,-4.469633102416992,0.0
156493,8725855,0,decoder_cross_attn,forward,-6.530033111572266,-4.469633102416992,-6.483114242553711,0.022771728213003925
156493,8725855,0,decoder_cross_attn,reverse,-6.530033111572266,-4.469633102416992,-4.542171478271484,0.03520596754619099
156493,8725855,0,decoder_mlp,forward,-6.530033111572266,-4.469633102416992,-6.483114242553711,0.022771728213003925
156493,8725855,0,decoder_mlp,reverse,-6.530033111572266,-4.469633102416992,-4.542171478271484,0.03520596754619099
156493,8725855,1,decoder_self_attn,forward,-6.530033111572266,-4.469633102416992,-6.483114242553711,0.022771728213003925
156493,8725855,1,decoder_self_attn,reverse,-6.530033111572266,-4.469633102416992,-4.542171478271484,0.03520596754619099
156493,8725855,1,decoder_cross_attn,forward,-6.530033111572266,-4.469633102416992,-6.575040817260742,-0.021844159138267965
156493,8725855,1,decoder_cross_attn,reverse,-6.530033111572266,-4.469633102416992,-4.440378189086914,-0.014198657153992204
156493,8725855,1,decoder_mlp,forward,-6.530033111572266,-4.469633102416992,-6.575040817260742,-0.021844159138267965
156493,8725855,1,decoder_mlp,reverse,-6.530033111572266,-4.469633102416992,-4.440378189086914,-0.014198657153992204
156493,8725855,2,decoder_self_attn,forward,-6.530033111572266,-4.469633102416992,-6.575040817260742,-0.021844159138267965
156493,8725855,2,decoder_self_attn,reverse,-6.530033111572266,-4.469633102416992,-4.440378189086914,-0.014198657153992204
156493,8725855,2,decoder_cross_attn,forward,-6.530033111572266,-4.469633102416992,-6.294439315795898,0.11434371710809513
156493,8725855,2,decoder_cross_attn,reverse,-6.530033111572266,-4.469633102416992,-4.816895484924316,0.1685412448865672
156493,8725855,2,decoder_mlp,forward,-6.530033111572266,-4.469633102416992,-6.294439315795898,0.11434371710809513
156493,8725855,2,decoder_mlp,reverse,-6.530033111572266,-4.469633102416992,-4.816895484924316,0.1685412448865672
156493,8725855,3,decoder_self_attn,forward,-6.530033111572266,-4.469633102416992,-6.294439315795898,0.11434371710809513
156493,8725855,3,decoder_self_attn,reverse,-6.530033111572266,-4.469633102416992,-4.816895484924316,0.1685412448865672
156493,8725855,3,decoder_cross_attn,forward,-6.530033111572266,-4.469633102416992,-6.256797790527344,0.13261275472277997
156493,8725855,3,decoder_cross_attn,reverse,-6.530033111572266,-4.469633102416992,-4.88105583190918,0.1996809977014431
156493,8725855,3,decoder_mlp,forward,-6.530033111572266,-4.469633102416992,-6.256797790527344,0.13261275472277997
156493,8725855,3,decoder_mlp,reverse,-6.530033111572266,-4.469633102416992,-4.88105583190918,0.1996809977014431
156493,8725855,4,decoder_self_attn,forward,-6.530033111572266,-4.469633102416992,-6.256797790527344,0.13261275472277997
156493,8725855,4,decoder_self_attn,reverse,-6.530033111572266,-4.469633102416992,-4.88105583190918,0.1996809977014431
156493,8725855,4,decoder_cross_attn,forward,-6.530033111572266,-4.469633102416992,-6.172907829284668,0.1733281308001996
156493,8725855,4,decoder_cross_attn,reverse,-6.530033111572266,-4.469633102416992,-5.025273323059082,0.2696758969972497
156493,8725855,4,decoder_mlp,forward,-6.530033111572266,-4.469633102416992,-6.172907829284668,0.1733281308001996
