layer,component,direction,mean_effect,std_effect,n
0,decoder_cross_attn,forward,0.02769499752148016,0.03981265178237264,
0,decoder_cross_attn,reverse,0.02585763540689824,0.03965065556785075,
0,decoder_mlp,forward,0.02769499752148016,0.03981265178237264,
0,decoder_mlp,reverse,0.02585763540689824,0.03965065556785075,
0,decoder_self_attn,forward,0.0,0.0,
0,decoder_self_attn,reverse,0.0,0.0,
0,encoder_mlp,forward,0.027387885162346356,0.22935341248117963,
0,encoder_mlp,reverse,-1.0607511968463816,2.5393834404844458,
0,encoder_self_attn,forward,0.027387885162346356,0.22935341248117963,
0,encoder_self_attn,reverse,-1.0607511968463816,2.5393834404844458,
1,decoder_cross_attn,forward,0.0022433477178733147,0.08965108473583704,
1,decoder_cross_attn,reverse,0.0008763888179052881,0.09187936800332025,
1,decoder_mlp,forward,0.0022433477178733147,0.08965108473583704,
1,decoder_mlp,reverse,0.0008763888179052881,0.09187936800332025,
1,decoder_self_attn,forward,0.02769499752148016,0.03981265178237264,
1,decoder_self_attn,reverse,0.02585763540689824,0.03965065556785075,
1,encoder_mlp,forward,0.0455364536504457,0.22447691509683426,
1,encoder_mlp,reverse,-1.3128975112605885,2.3222874499547053,
1,encoder_self_attn,forward,0.0455364536504457,0.22447691509683426,
1,encoder_self_attn,reverse,-1.3128975112605885,2.3222874499547053,
2,decoder_cross_attn,forward,0.042172733994081016,0.11294505788036087,
2,decoder_cross_attn,reverse,0.03955078535484334,0.11324773569824677,
2,decoder_mlp,forward,0.042172733994081016,0.11294505788036087,
2,decoder_mlp,reverse,0.03955078535484334,0.11324773569824677,
2,decoder_self_attn,forward,0.0022433477178733147,0.08965108473583704,
2,decoder_self_attn,reverse,0.0008763888179052881,0.09187936800332025,
2,encoder_mlp,forward,0.10470611311486984,0.2701858364306425,
2,encoder_mlp,reverse,-1.2760477113415192,2.0170461642711053,
2,encoder_self_attn,forward,0.10470611311486984,0.2701858364306425,
2,encoder_self_attn,reverse,-1.2760477113415192,2.0170461642711053,
3,decoder_cross_attn,forward,0.04316884758154303,0.13259287860573346,
3,decoder_cross_attn,reverse,0.039925894005013,0.13295541636450312,
3,decoder_mlp,forward,0.04316884758154303,0.13259287860573346,
3,decoder_mlp,reverse,0.039925894005013,0.13295541636450312,
3,decoder_self_attn,forward,0.042172733994081016,0.11294505788036087,
3,decoder_self_attn,reverse,0.03955078535484334,0.11324773569824677,
3,encoder_mlp,forward,0.2151194524975372,0.3083495697330713,
3,encoder_mlp,reverse,-1.221289122281525,1.910191497940877,
3,encoder_self_attn,forward,0.2151194524975372,0.3083495697330713,
3,encoder_self_attn,reverse,-1.221289122281525,1.910191497940877,
4,decoder_cross_attn,forward,0.06877470763038421,0.1378680491423726,
4,decoder_cross_attn,reverse,0.06568712503745466,0.13640392895645936,
4,decoder_mlp,forward,0.06877470763038421,0.1378680491423726,
4,decoder_mlp,reverse,0.06568712503745466,0.13640392895645936,
4,decoder_self_attn,forward,0.04316884758154303,0.13259287860573346,
4,decoder_self_attn,reverse,0.039925894005013,0.13295541636450312,
4,encoder_mlp,forward,0.23571229681174535,0.34740939662908277,
4,encoder_mlp,reverse,-1.435666074947862,1.9662827004560601,
4,encoder_self_attn,forward,0.23571229681174535,0.34740939662908277,
4,encoder_self_attn,reverse,-1.435666074947862,1.9662827004560601,
5,decoder_cross_attn,forward,0.08793172551682167,0.17055121129771836,
5,decoder_cross_attn,reverse,0.08374453806497571,0.16984576005456956,
5,decoder_mlp,forward,0.08793172551682167,0.17055121129771836,
5,decoder_mlp,reverse,0.08374453806497571,0.16984576005456956,
5,decoder_self_attn,forward,0.06877470763038421,0.1378680491423726,
5,decoder_self_attn,reverse,0.06568712503745466,0.13640392895645936,
5,encoder_mlp,forward,0.30309977776189523,0.3451955885997116,
5,encoder_mlp,reverse,-1.0220928625439127,1.53936908978858,
5,encoder_self_attn,forward,0.30309977776189523,0.3451955885997116,
5,encoder_self_attn,reverse,-1.0220928625439127,1.53936908978858,
6,decoder_cross_attn,forward,0.15150832698468636,0.1655088426130919,
6,decoder_cross_attn,reverse,0.1461771283410543,0.16368428576810395,
6,decoder_mlp,forward,0.15150832698468636,0.1655088426130919,
6,decoder_mlp,reverse,0.1461771283410543,0.16368428576810395,
6,decoder_self_attn,forward,0.08793172551682167,0.17055121129771836,
6,decoder_self_attn,reverse,0.08374453806497571,0.16984576005456956,
6,encoder_mlp,forward,0.4059889469079966,0.37754329924555435,
6,encoder_mlp,reverse,-1.0277040647260003,1.5894711636795709,
6,encoder_self_attn,forward,0.4059889469079966,0.37754329924555435,
6,encoder_self_attn,reverse,-1.0277040647260003,1.5894711636795709,
7,decoder_cross_attn,forward,0.218654014012384,0.19006486230421923,
7,decoder_cross_attn,reverse,0.21397700271685813,0.18773639429020958,
7,decoder_mlp,forward,0.218654014012384,0.19006486230421923,
7,decoder_mlp,reverse,0.21397700271685813,0.18773639429020958,
7,decoder_self_attn,forward,0.15150832698468636,0.1655088426130919,
7,decoder_self_attn,reverse,0.1461771283410543,0.16368428576810395,
7,encoder_mlp,forward,0.49415433411706394,0.4016380931665104,
7,encoder_mlp,reverse,-0.7286502106183019,1.567022655841638,
7,encoder_self_attn,forward,0.49415433411706394,0.4016380931665104,
7,encoder_self_attn,reverse,-0.7286502106183019,1.567022655841638,
8,decoder_cross_attn,forward,0.37131786213963675,0.19416951825571976,
8,decoder_cross_attn,reverse,0.36680998012166366,0.19141125002577125,
8,decoder_mlp,forward,0.37131786213963675,0.19416951825571976,
8,decoder_mlp,reverse,0.36680998012166366,0.19141125002577125,
8,decoder_self_attn,forward,0.218654014012384,0.19006486230421923,
8,decoder_self_attn,reverse,0.21397700271685813,0.18773639429020958,
8,encoder_mlp,forward,0.5752497086086135,0.33138260570396705,
8,encoder_mlp,reverse,-0.7893660295369969,1.3708675022425536,
8,encoder_self_attn,forward,0.5752497086086135,0.33138260570396705,
8,encoder_self_attn,reverse,-0.7893660295369969,1.3708675022425536,
9,decoder_cross_attn,forward,0.5028047811693243,0.22078759550643814,
9,decoder_cross_attn,reverse,0.49796236877723854,0.22208078868259468,
9,decoder_mlp,forward,0.5028047811693243,0.22078759550643814,
9,decoder_mlp,reverse,0.49796236877723854,0.22208078868259468,
9,decoder_self_attn,forward,0.37131786213963675,0.19416951825571976,
9,decoder_self_attn,reverse,0.36680998012166366,0.19141125002577125,
9,encoder_mlp,forward,0.8913593312502951,0.15459028564168736,
9,encoder_mlp,reverse,-0.1994720027568442,0.9630903603028146,
9,encoder_self_attn,forward,0.8913593312502951,0.15459028564168736,
9,encoder_self_attn,reverse,-0.1994720027568442,0.9630903603028146,
10,decoder_cross_attn,forward,0.6154385491768092,0.2074502308561101,
10,decoder_cross_attn,reverse,0.6101346887335755,0.2113875187835158,
10,decoder_mlp,forward,0.6154385491768092,0.2074502308561101,
10,decoder_mlp,reverse,0.6101346887335755,0.2113875187835158,
10,decoder_self_attn,forward,0.5028047811693243,0.22078759550643814,
10,decoder_self_attn,reverse,0.49796236877723854,0.22208078868259468,
10,encoder_mlp,forward,1.0832456850229826,0.17223916098986272,
10,encoder_mlp,reverse,0.5594029234028102,0.6826164269073696,
10,encoder_self_attn,forward,1.0832456850229826,0.17223916098986272,
10,encoder_self_attn,reverse,0.5594029234028102,0.6826164269073696,
11,decoder_cross_attn,forward,1.0,0.0,
11,decoder_cross_attn,reverse,1.0,0.0,
11,decoder_mlp,forward,1.0,0.0,
11,decoder_mlp,reverse,1.0,0.0,
11,decoder_self_attn,forward,0.6154385491768092,0.2074502308561101,
11,decoder_self_attn,reverse,0.6101346887335755,0.2113875187835158,
11,encoder_mlp,forward,1.0241980723263275,0.06260563818147913,
11,encoder_mlp,reverse,0.9586990434650748,0.16774219289493475,
11,encoder_self_attn,forward,1.0241980723263275,0.06260563818147913,
11,encoder_self_attn,reverse,0.9586990434650748,0.16774219289493475,
