qid,docid,rank,bm25_score,original_score,control_score,attack_score,control_delta_vs_original,attack_delta_vs_control,attack_delta_vs_original
1103812,3202701,900,12.541065,-12.88609504699707,-12.893494606018066,-12.91221809387207,-0.007399559020996094,-0.018723487854003906,-0.026123046875
527433,199249,296,20.958233,-13.010591506958008,-13.049903869628906,-13.078296661376953,-0.03931236267089844,-0.028392791748046875,-0.06770515441894531
148538,963821,639,16.673933,-10.899344444274902,-10.904864311218262,-10.891058921813965,-0.005519866943359375,0.013805389404296875,0.0082855224609375
264014,5328095,19,23.129852,4.954717636108398,4.939231872558594,4.894329071044922,-0.015485763549804688,-0.044902801513671875,-0.06038856506347656
131843,8073461,44,6.3777733,-13.685620307922363,-13.689652442932129,-13.661537170410156,-0.004032135009765625,0.028115272521972656,0.02408313751220703
451602,8294680,628,12.772134,-11.517167091369629,-11.546945571899414,-11.588924407958984,-0.029778480529785156,-0.04197883605957031,-0.07175731658935547
168216,3908778,144,24.050869,0.782355546951294,0.7680474519729614,0.8322204351425171,-0.01430809497833252,0.06417298316955566,0.049864888191223145
130510,8614562,717,10.578865,-12.98244857788086,-12.98990249633789,-13.064559936523438,-0.00745391845703125,-0.07465744018554688,-0.08211135864257812
1112341,4560142,736,11.507101,-14.439285278320312,-14.441286087036133,-14.45023250579834,-0.0020008087158203125,-0.008946418762207031,-0.010947227478027344
1133167,2750180,697,10.607595,-11.038500785827637,-10.992772102355957,-11.102446556091309,0.04572868347167969,-0.10967445373535156,-0.06394577026367188
1129237,2913079,693,13.030432,-5.938738822937012,-5.94066047668457,-5.868492126464844,-0.0019216537475585938,0.07216835021972656,0.07024669647216797
87452,6073899,646,11.124613,-12.017468452453613,-12.032313346862793,-11.98679256439209,-0.014844894409179688,0.045520782470703125,0.030675888061523438
156493,911794,82,15.650091,-5.877462387084961,-5.852439880371094,-6.258283615112305,0.025022506713867188,-0.40584373474121094,-0.38082122802734375
148538,5427174,952,15.420052,-8.756421089172363,-8.901620864868164,-8.801011085510254,-0.14519977569580078,0.10060977935791016,-0.044589996337890625
130510,984907,140,12.764076,-13.279563903808594,-13.291522979736328,-13.329554557800293,-0.011959075927734375,-0.038031578063964844,-0.04999065399169922
451602,7265404,328,14.074535,-10.894426345825195,-10.933672904968262,-11.000362396240234,-0.039246559143066406,-0.06668949127197266,-0.10593605041503906
183378,2710646,247,12.411176,-12.091257095336914,-12.098714828491211,-12.087652206420898,-0.007457733154296875,0.0110626220703125,0.003604888916015625
1114819,8024890,113,19.147913,2.313046455383301,2.3762784004211426,2.484318733215332,0.0632319450378418,0.10804033279418945,0.17127227783203125
182539,4321079,448,10.296672,-13.416654586791992,-13.411376953125,-13.431731224060059,0.0052776336669921875,-0.020354270935058594,-0.015076637268066406
