qid,docid,layer,component,direction,control_score,attack_score,patched_score,effect
490595,8817806,0,encoder_self_attn,forward,-9.338147163391113,-8.363115310668945,-9.35663890838623,-0.018965272717491773
490595,8817806,0,encoder_self_attn,reverse,-9.338147163391113,-8.363115310668945,-7.656872749328613,-0.7243276815712127
490595,8817806,0,encoder_mlp,forward,-9.338147163391113,-8.363115310668945,-9.35663890838623,-0.018965272717491773
490595,8817806,0,encoder_mlp,reverse,-9.338147163391113,-8.363115310668945,-7.656872749328613,-0.7243276815712127
490595,8817806,1,encoder_self_attn,forward,-9.338147163391113,-8.363115310668945,-9.283483505249023,0.05606345883929401
490595,8817806,1,encoder_self_attn,reverse,-9.338147163391113,-8.363115310668945,-7.536441802978516,-0.8478425657402472
490595,8817806,1,encoder_mlp,forward,-9.338147163391113,-8.363115310668945,-9.283483505249023,0.05606345883929401
490595,8817806,1,encoder_mlp,reverse,-9.338147163391113,-8.363115310668945,-7.536441802978516,-0.8478425657402472
490595,8817806,2,encoder_self_attn,forward,-9.338147163391113,-8.363115310668945,-9.249822616577148,0.09058631937754
490595,8817806,2,encoder_self_attn,reverse,-9.338147163391113,-8.363115310668945,-7.537764549255371,-0.8464859472121832
490595,8817806,2,encoder_mlp,forward,-9.338147163391113,-8.363115310668945,-9.249822616577148,0.09058631937754
490595,8817806,2,encoder_mlp,reverse,-9.338147163391113,-8.363115310668945,-7.537764549255371,-0.8464859472121832
490595,8817806,3,encoder_self_attn,forward,-9.338147163391113,-8.363115310668945,-9.19544792175293,0.14635341526513726
490595,8817806,3,encoder_self_attn,reverse,-9.338147163391113,-8.363115310668945,-8.770659446716309,0.4179803304984864
490595,8817806,3,encoder_mlp,forward,-9.338147163391113,-8.363115310668945,-9.19544792175293,0.14635341526513726
490595,8817806,3,encoder_mlp,reverse,-9.338147163391113,-8.363115310668945,-8.770659446716309,0.4179803304984864
490595,8817806,4,encoder_self_attn,forward,-9.338147163391113,-8.363115310668945,-9.203855514526367,0.137730524894977
490595,8817806,4,encoder_self_attn,reverse,-9.338147163391113,-8.363115310668945,-8.4611177444458,0.10051203302050578
490595,8817806,4,encoder_mlp,forward,-9.338147163391113,-8.363115310668945,-9.203855514526367,0.137730524894977
490595,8817806,4,encoder_mlp,reverse,-9.338147163391113,-8.363115310668945,-8.4611177444458,0.10051203302050578
490595,8817806,5,encoder_self_attn,forward,-9.338147163391113,-8.363115310668945,-9.251907348632812,0.0884482025049027
490595,8817806,5,encoder_self_attn,reverse,-9.338147163391113,-8.363115310668945,-8.466733932495117,0.10627203771536442
490595,8817806,5,encoder_mlp,forward,-9.338147163391113,-8.363115310668945,-9.251907348632812,0.0884482025049027
490595,8817806,5,encoder_mlp,reverse,-9.338147163391113,-8.363115310668945,-8.466733932495117,0.10627203771536442
490595,8817806,6,encoder_self_attn,forward,-9.338147163391113,-8.363115310668945,-9.246158599853516,0.09434416248123279
490595,8817806,6,encoder_self_attn,reverse,-9.338147163391113,-8.363115310668945,-8.294800758361816,-0.07006391854420259
490595,8817806,6,encoder_mlp,forward,-9.338147163391113,-8.363115310668945,-9.246158599853516,0.09434416248123279
490595,8817806,6,encoder_mlp,reverse,-9.338147163391113,-8.363115310668945,-8.294800758361816,-0.07006391854420259
490595,8817806,7,encoder_self_attn,forward,-9.338147163391113,-8.363115310668945,-9.212472915649414,0.12889245350378278
490595,8817806,7,encoder_self_attn,reverse,-9.338147163391113,-8.363115310668945,-8.292770385742188,-0.07214628397048108
490595,8817806,7,encoder_mlp,forward,-9.338147163391113,-8.363115310668945,-9.212472915649414,0.12889245350378278
490595,8817806,7,encoder_mlp,reverse,-9.338147163391113,-8.363115310668945,-8.292770385742188,-0.07214628397048108
490595,8817806,8,encoder_self_attn,forward,-9.338147163391113,-8.363115310668945,-9.12354850769043,0.22009399498236984
490595,8817806,8,encoder_self_attn,reverse,-9.338147163391113,-8.363115310668945,-8.293344497680664,-0.07155747044928819
490595,8817806,8,encoder_mlp,forward,-9.338147163391113,-8.363115310668945,-9.12354850769043,0.22009399498236984
490595,8817806,8,encoder_mlp,reverse,-9.338147163391113,-8.363115310668945,-8.293344497680664,-0.07155747044928819
490595,8817806,9,encoder_self_attn,forward,-9.338147163391113,-8.363115310668945,-9.124540328979492,0.21907677561020936
490595,8817806,9,encoder_self_attn,reverse,-9.338147163391113,-8.363115310668945,-8.520285606384277,0.1611950371431785
490595,8817806,9,encoder_mlp,forward,-9.338147163391113,-8.363115310668945,-9.124540328979492,0.21907677561020936
490595,8817806,9,encoder_mlp,reverse,-9.338147163391113,-8.363115310668945,-8.520285606384277,0.1611950371431785
490595,8817806,10,encoder_self_attn,forward,-9.338147163391113,-8.363115310668945,-8.970254898071289,0.3773130737141711
490595,8817806,10,encoder_self_attn,reverse,-9.338147163391113,-8.363115310668945,-9.079399108886719,0.7346260496187873
490595,8817806,10,encoder_mlp,forward,-9.338147163391113,-8.363115310668945,-8.970254898071289,0.3773130737141711
490595,8817806,10,encoder_mlp,reverse,-9.338147163391113,-8.363115310668945,-9.079399108886719,0.7346260496187873
490595,8817806,11,encoder_self_attn,forward,-9.338147163391113,-8.363115310668945,-8.754515647888184,0.5985768709745255
490595,8817806,11,encoder_self_attn,reverse,-9.338147163391113,-8.363115310668945,-9.306074142456055,0.9671056685527609
490595,8817806,11,encoder_mlp,forward,-9.338147163391113,-8.363115310668945,-8.754515647888184,0.5985768709745255
490595,8817806,11,encoder_mlp,reverse,-9.338147163391113,-8.363115310668945,-9.306074142456055,0.9671056685527609
490595,8817806,0,decoder_self_attn,forward,-9.338147163391113,-8.363115310668945,-9.338147163391113,0.0
490595,8817806,0,decoder_self_attn,reverse,-9.338147163391113,-8.363115310668945,-8.363115310668945,0.0
490595,8817806,0,decoder_cross_attn,forward,-9.338147163391113,-8.363115310668945,-9.327434539794922,0.010986947314883191
490595,8817806,0,decoder_cross_attn,reverse,-9.338147163391113,-8.363115310668945,-8.371665954589844,0.008769604702683405
490595,8817806,0,decoder_mlp,forward,-9.338147163391113,-8.363115310668945,-9.327434539794922,0.010986947314883191
490595,8817806,0,decoder_mlp,reverse,-9.338147163391113,-8.363115310668945,-8.371665954589844,0.008769604702683405
490595,8817806,1,decoder_self_attn,forward,-9.338147163391113,-8.363115310668945,-9.327434539794922,0.010986947314883191
490595,8817806,1,decoder_self_attn,reverse,-9.338147163391113,-8.363115310668945,-8.371665954589844,0.008769604702683405
490595,8817806,1,decoder_cross_attn,forward,-9.338147163391113,-8.363115310668945,-9.313151359558105,0.02563588436954406
490595,8817806,1,decoder_cross_attn,reverse,-9.338147163391113,-8.363115310668945,-8.387866973876953,0.025385491908704563
490595,8817806,1,decoder_mlp,forward,-9.338147163391113,-8.363115310668945,-9.313151359558105,0.02563588436954406
490595,8817806,1,decoder_mlp,reverse,-9.338147163391113,-8.363115310668945,-8.387866973876953,0.025385491908704563
490595,8817806,2,decoder_self_attn,forward,-9.338147163391113,-8.363115310668945,-9.313151359558105,0.02563588436954406
490595,8817806,2,decoder_self_attn,reverse,-9.338147163391113,-8.363115310668945,-8.387866973876953,0.025385491908704563
490595,8817806,2,decoder_cross_attn,forward,-9.338147163391113,-8.363115310668945,-9.313145637512207,0.025641752942844986
490595,8817806,2,decoder_cross_attn,reverse,-9.338147163391113,-8.363115310668945,-8.387189865112305,0.02469104406809501
490595,8817806,2,decoder_mlp,forward,-9.338147163391113,-8.363115310668945,-9.313145637512207,0.025641752942844986
490595,8817806,2,decoder_mlp,reverse,-9.338147163391113,-8.363115310668945,-8.387189865112305,0.02469104406809501
490595,8817806,3,decoder_self_attn,forward,-9.338147163391113,-8.363115310668945,-9.313145637512207,0.025641752942844986
490595,8817806,3,decoder_self_attn,reverse,-9.338147163391113,-8.363115310668945,-8.387189865112305,0.02469104406809501
490595,8817806,3,decoder_cross_attn,forward,-9.338147163391113,-8.363115310668945,-9.294386863708496,0.04488089241437996
490595,8817806,3,decoder_cross_attn,reverse,-9.338147163391113,-8.363115310668945,-8.403596878051758,0.0415181999129495
490595,8817806,3,decoder_mlp,forward,-9.338147163391113,-8.363115310668945,-9.294386863708496,0.04488089241437996
490595,8817806,3,decoder_mlp,reverse,-9.338147163391113,-8.363115310668945,-8.403596878051758,0.0415181999129495
490595,8817806,4,decoder_self_attn,forward,-9.338147163391113,-8.363115310668945,-9.294386863708496,0.04488089241437996
490595,8817806,4,decoder_self_attn,reverse,-9.338147163391113,-8.363115310668945,-8.403596878051758,0.0415181999129495
490595,8817806,4,decoder_cross_attn,forward,-9.338147163391113,-8.363115310668945,-9.28377628326416,0.05576318350539664
490595,8817806,4,decoder_cross_attn,reverse,-9.338147163391113,-8.363115310668945,-8.422831535339355,0.06124540906401146
490595,8817806,4,decoder_mlp,forward,-9.338147163391113,-8.363115310668945,-9.28377628326416,0.05576318350539664
490595,8817806,4,decoder_mlp,reverse,-9.338147163391113,-8.363115310668945,-8.422831535339355,0.06124540906401146
490595,8817806,5,decoder_self_attn,forward,-9.338147163391113,-8.363115310668945,-9.28377628326416,0.05576318350539664
