qid,docid,rank,bm25_score,original_score,control_score,attack_score,control_delta_vs_original,attack_delta_vs_control,attack_delta_vs_original
1103812,3202701,900,12.541065,-12.88609504699707,-12.877975463867188,-12.908252716064453,0.008119583129882812,-0.030277252197265625,-0.022157669067382812
527433,199249,296,20.958233,-13.010591506958008,-13.015958786010742,-13.138814926147461,-0.005367279052734375,-0.12285614013671875,-0.12822341918945312
148538,963821,639,16.673933,-10.899344444274902,-10.914909362792969,-10.886764526367188,-0.015564918518066406,0.02814483642578125,0.012579917907714844
264014,5328095,19,23.129852,4.954717636108398,4.952993392944336,4.8225860595703125,-0.0017242431640625,-0.13040733337402344,-0.13213157653808594
131843,8073461,44,6.3777733,-13.685620307922363,-13.70030689239502,-13.729528427124023,-0.01468658447265625,-0.029221534729003906,-0.043908119201660156
451602,8294680,628,12.772134,-11.517167091369629,-11.495777130126953,-11.505321502685547,0.02138996124267578,-0.00954437255859375,0.011845588684082031
168216,3908778,144,24.050869,0.782355546951294,0.7926276922225952,0.7893763184547424,0.01027214527130127,-0.003251373767852783,0.007020771503448486
130510,8614562,717,10.578865,-12.98244857788086,-12.99521541595459,-13.013792037963867,-0.012766838073730469,-0.018576622009277344,-0.03134346008300781
1112341,4560142,736,11.507101,-14.439285278320312,-14.432600021362305,-14.461301803588867,0.0066852569580078125,-0.0287017822265625,-0.022016525268554688
1133167,2750180,697,10.607595,-11.038500785827637,-10.993289947509766,-11.019669532775879,0.045210838317871094,-0.02637958526611328,0.018831253051757812
1129237,2913079,693,13.030432,-5.938738822937012,-5.839688301086426,-6.210353851318359,0.09905052185058594,-0.3706655502319336,-0.27161502838134766
87452,6073899,646,11.124613,-12.017468452453613,-12.019689559936523,-12.021554946899414,-0.0022211074829101562,-0.001865386962890625,-0.004086494445800781
156493,911794,82,15.650091,-5.877462387084961,-5.832759857177734,-6.026617050170898,0.04470252990722656,-0.19385719299316406,-0.1491546630859375
148538,5427174,952,15.420052,-8.756421089172363,-8.957463264465332,-9.232744216918945,-0.20104217529296875,-0.2752809524536133,-0.47632312774658203
130510,984907,140,12.764076,-13.279563903808594,-13.262681007385254,-13.300788879394531,0.016882896423339844,-0.038107872009277344,-0.0212249755859375
451602,7265404,328,14.074535,-10.894426345825195,-10.845144271850586,-10.908147811889648,0.049282073974609375,-0.0630035400390625,-0.013721466064453125
183378,2710646,247,12.411176,-12.091257095336914,-12.08985710144043,-12.185025215148926,0.001399993896484375,-0.0951681137084961,-0.09376811981201172
1114819,8024890,113,19.147913,2.313046455383301,2.333099842071533,2.608112096786499,0.020053386688232422,0.2750122547149658,0.29506564140319824
182539,4321079,448,10.296672,-13.416654586791992,-13.389455795288086,-13.382120132446289,0.02719879150390625,0.007335662841796875,0.034534454345703125
148538,8233886,739,16.271252,-11.868668556213379,-11.880736351013184,-11.917223930358887,-0.012067794799804688,-0.036487579345703125,-0.04855537414550781
1113437,3422862,776,10.440643,-7.403278350830078,-7.3574981689453125,-7.345127105712891,0.045780181884765625,0.012371063232421875,0.0581512451171875
1106007,2677529,31,12.954882,-10.445399284362793,-10.45323657989502,-10.486689567565918,-0.007837295532226562,-0.03345298767089844,-0.041290283203125
1112341,5101872,708,11.577221,-11.661656379699707,-11.661550521850586,-11.67348861694336,0.00010585784912109375,-0.011938095092773438,-0.011832237243652344
87452,5105199,488,11.571701,-10.456750869750977,-10.502923965454102,-10.474164962768555,-0.046173095703125,0.028759002685546875,-0.017414093017578125
451602,1530197,446,13.279856,-12.889481544494629,-12.884936332702637,-12.930778503417969,0.0045452117919921875,-0.04584217071533203,-0.041296958923339844
