layer,component,direction,mean_effect,std_effect,n
0,decoder_cross_attn,forward,0.03774183221740641,0.026866214484863572,
0,decoder_cross_attn,reverse,0.03669077913626147,0.027299033339242603,
0,decoder_mlp,forward,0.03774183221740641,0.026866214484863572,
0,decoder_mlp,reverse,0.03669077913626147,0.027299033339242603,
0,decoder_self_attn,forward,0.0,0.0,
0,decoder_self_attn,reverse,0.0,0.0,
0,encoder_mlp,forward,0.13841259970850547,0.1630161921954001,
0,encoder_mlp,reverse,-0.4939408555734758,2.1847373095630815,
0,encoder_self_attn,forward,0.13841259970850547,0.1630161921954001,
0,encoder_self_attn,reverse,-0.4939408555734758,2.1847373095630815,
1,decoder_cross_attn,forward,0.049683285278971416,0.04306036693149018,
1,decoder_cross_attn,reverse,0.04806345484749695,0.0436519711737897,
1,decoder_mlp,forward,0.049683285278971416,0.04306036693149018,
1,decoder_mlp,reverse,0.04806345484749695,0.0436519711737897,
1,decoder_self_attn,forward,0.03774183221740641,0.026866214484863572,
1,decoder_self_attn,reverse,0.03669077913626147,0.027299033339242603,
1,encoder_mlp,forward,0.2560774644049329,0.23833453031005059,
1,encoder_mlp,reverse,0.3690426385046176,1.587363644372541,
1,encoder_self_attn,forward,0.2560774644049329,0.23833453031005059,
1,encoder_self_attn,reverse,0.3690426385046176,1.587363644372541,
2,decoder_cross_attn,forward,0.09009233404983133,0.050808356090161204,
2,decoder_cross_attn,reverse,0.0851322440644907,0.05088322597563847,
2,decoder_mlp,forward,0.09009233404983133,0.050808356090161204,
2,decoder_mlp,reverse,0.0851322440644907,0.05088322597563847,
2,decoder_self_attn,forward,0.049683285278971416,0.04306036693149018,
2,decoder_self_attn,reverse,0.04806345484749695,0.0436519711737897,
2,encoder_mlp,forward,0.36963463944181635,0.2818126974644141,
2,encoder_mlp,reverse,0.5449790493801905,1.208030927334453,
2,encoder_self_attn,forward,0.36963463944181635,0.2818126974644141,
2,encoder_self_attn,reverse,0.5449790493801905,1.208030927334453,
3,decoder_cross_attn,forward,0.10891629867199745,0.05748534283496424,
3,decoder_cross_attn,reverse,0.10272618926671236,0.058289352694204065,
3,decoder_mlp,forward,0.10891629867199745,0.05748534283496424,
3,decoder_mlp,reverse,0.10272618926671236,0.058289352694204065,
3,decoder_self_attn,forward,0.09009233404983133,0.050808356090161204,
3,decoder_self_attn,reverse,0.0851322440644907,0.05088322597563847,
3,encoder_mlp,forward,0.4475560116499256,0.2930005356283052,
3,encoder_mlp,reverse,0.6149482988779702,0.9416531777656517,
3,encoder_self_attn,forward,0.4475560116499256,0.2930005356283052,
3,encoder_self_attn,reverse,0.6149482988779702,0.9416531777656517,
4,decoder_cross_attn,forward,0.15754113502602726,0.07892891680183381,
4,decoder_cross_attn,reverse,0.1506074515169023,0.07929710891238097,
4,decoder_mlp,forward,0.15754113502602726,0.07892891680183381,
4,decoder_mlp,reverse,0.1506074515169023,0.07929710891238097,
4,decoder_self_attn,forward,0.10891629867199745,0.05748534283496424,
4,decoder_self_attn,reverse,0.10272618926671236,0.058289352694204065,
4,encoder_mlp,forward,0.6004329478569005,0.3490105055699842,
4,encoder_mlp,reverse,0.7649157885837394,0.9845941274626061,
4,encoder_self_attn,forward,0.6004329478569005,0.3490105055699842,
4,encoder_self_attn,reverse,0.7649157885837394,0.9845941274626061,
5,decoder_cross_attn,forward,0.2012710899476337,0.09508723386398771,
5,decoder_cross_attn,reverse,0.19065415238185232,0.0955373289399705,
5,decoder_mlp,forward,0.2012710899476337,0.09508723386398771,
5,decoder_mlp,reverse,0.19065415238185232,0.0955373289399705,
5,decoder_self_attn,forward,0.15754113502602726,0.07892891680183381,
5,decoder_self_attn,reverse,0.1506074515169023,0.07929710891238097,
5,encoder_mlp,forward,0.6785672588602895,0.3449496753289885,
5,encoder_mlp,reverse,0.8412060495706818,0.7926149924922465,
5,encoder_self_attn,forward,0.6785672588602895,0.3449496753289885,
5,encoder_self_attn,reverse,0.8412060495706818,0.7926149924922465,
6,decoder_cross_attn,forward,0.2866697734340859,0.10669909933533643,
6,decoder_cross_attn,reverse,0.2741782990093793,0.10837844093517807,
6,decoder_mlp,forward,0.2866697734340859,0.10669909933533643,
6,decoder_mlp,reverse,0.2741782990093793,0.10837844093517807,
6,decoder_self_attn,forward,0.2012710899476337,0.09508723386398771,
6,decoder_self_attn,reverse,0.19065415238185232,0.0955373289399705,
6,encoder_mlp,forward,0.8063379745772488,0.37002997305590524,
6,encoder_mlp,reverse,0.8498455806458324,0.6219990054638851,
6,encoder_self_attn,forward,0.8063379745772488,0.37002997305590524,
6,encoder_self_attn,reverse,0.8498455806458324,0.6219990054638851,
7,decoder_cross_attn,forward,0.35014235271038635,0.11402920092136548,
7,decoder_cross_attn,reverse,0.33755601051218237,0.11450950037210492,
7,decoder_mlp,forward,0.35014235271038635,0.11402920092136548,
7,decoder_mlp,reverse,0.33755601051218237,0.11450950037210492,
7,decoder_self_attn,forward,0.2866697734340859,0.10669909933533643,
7,decoder_self_attn,reverse,0.2741782990093793,0.10837844093517807,
7,encoder_mlp,forward,0.8855528430949972,0.403753763322231,
7,encoder_mlp,reverse,0.8870031918768488,0.6133839152696486,
7,encoder_self_attn,forward,0.8855528430949972,0.403753763322231,
7,encoder_self_attn,reverse,0.8870031918768488,0.6133839152696486,
8,decoder_cross_attn,forward,0.47878460011532653,0.11521240031639747,
8,decoder_cross_attn,reverse,0.4637234734614009,0.11128471650306361,
8,decoder_mlp,forward,0.47878460011532653,0.11521240031639747,
8,decoder_mlp,reverse,0.4637234734614009,0.11128471650306361,
8,decoder_self_attn,forward,0.35014235271038635,0.11402920092136548,
8,decoder_self_attn,reverse,0.33755601051218237,0.11450950037210492,
8,encoder_mlp,forward,0.9023032891901193,0.3496793663613549,
8,encoder_mlp,reverse,0.7373834479546788,0.48557318485375306,
8,encoder_self_attn,forward,0.9023032891901193,0.3496793663613549,
8,encoder_self_attn,reverse,0.7373834479546788,0.48557318485375306,
9,decoder_cross_attn,forward,0.581833698465594,0.13140503867727446,
9,decoder_cross_attn,reverse,0.5704264478071747,0.12640941676199477,
9,decoder_mlp,forward,0.581833698465594,0.13140503867727446,
9,decoder_mlp,reverse,0.5704264478071747,0.12640941676199477,
9,decoder_self_attn,forward,0.47878460011532653,0.11521240031639747,
9,decoder_self_attn,reverse,0.4637234734614009,0.11128471650306361,
9,encoder_mlp,forward,1.004251956401281,0.27408151874255954,
9,encoder_mlp,reverse,0.8496718303543257,0.3053915490609333,
9,encoder_self_attn,forward,1.004251956401281,0.27408151874255954,
9,encoder_self_attn,reverse,0.8496718303543257,0.3053915490609333,
10,decoder_cross_attn,forward,0.6452809471708181,0.15039527792346935,
10,decoder_cross_attn,reverse,0.6342122989803796,0.1459551100621969,
10,decoder_mlp,forward,0.6452809471708181,0.15039527792346935,
10,decoder_mlp,reverse,0.6342122989803796,0.1459551100621969,
10,decoder_self_attn,forward,0.581833698465594,0.13140503867727446,
10,decoder_self_attn,reverse,0.5704264478071747,0.12640941676199477,
10,encoder_mlp,forward,0.9864131922485376,0.17601559510121262,
10,encoder_mlp,reverse,0.9448635317225105,0.250631717976059,
10,encoder_self_attn,forward,0.9864131922485376,0.17601559510121262,
10,encoder_self_attn,reverse,0.9448635317225105,0.250631717976059,
11,decoder_cross_attn,forward,1.0,0.0,
11,decoder_cross_attn,reverse,1.0,0.0,
11,decoder_mlp,forward,1.0,0.0,
11,decoder_mlp,reverse,1.0,0.0,
11,decoder_self_attn,forward,0.6452809471708181,0.15039527792346935,
11,decoder_self_attn,reverse,0.6342122989803796,0.1459551100621969,
11,encoder_mlp,forward,0.9832221473609981,0.09347483886155969,
11,encoder_mlp,reverse,0.9836648970952778,0.06759699085205133,
11,encoder_self_attn,forward,0.9832221473609981,0.09347483886155969,
11,encoder_self_attn,reverse,0.9836648970952778,0.06759699085205133,
