qid,docid,rank,bm25_score,original_score,control_score,attack_score,control_delta_vs_original,attack_delta_vs_control,attack_delta_vs_original
1103812,3202701,900,12.541065,-12.88609504699707,-12.958795547485352,-12.648494720458984,-0.07270050048828125,0.3103008270263672,0.23760032653808594
527433,199249,296,20.958233,-13.010591506958008,-13.03246021270752,-12.996282577514648,-0.02186870574951172,0.036177635192871094,0.014308929443359375
148538,963821,639,16.673933,-10.899344444274902,-10.983964920043945,-11.052199363708496,-0.08462047576904297,-0.06823444366455078,-0.15285491943359375
264014,5328095,19,23.129852,4.954717636108398,4.8846893310546875,4.816801071166992,-0.07002830505371094,-0.06788825988769531,-0.13791656494140625
131843,8073461,44,6.3777733,-13.685620307922363,-13.683835983276367,-13.661049842834473,0.0017843246459960938,0.02278614044189453,0.024570465087890625
451602,8294680,628,12.772134,-11.517167091369629,-11.436727523803711,-11.612869262695312,0.08043956756591797,-0.17614173889160156,-0.0957021713256836
168216,3908778,144,24.050869,0.782355546951294,0.8496382832527161,0.8025622367858887,0.06728273630142212,-0.04707604646682739,0.020206689834594727
130510,8614562,717,10.578865,-12.98244857788086,-13.036869049072266,-13.194400787353516,-0.05442047119140625,-0.15753173828125,-0.21195220947265625
1112341,4560142,736,11.507101,-14.439285278320312,-14.420434951782227,-14.385650634765625,0.018850326538085938,0.03478431701660156,0.0536346435546875
1133167,2750180,697,10.607595,-11.038500785827637,-11.000086784362793,-11.948180198669434,0.03841400146484375,-0.9480934143066406,-0.9096794128417969
1129237,2913079,693,13.030432,-5.938738822937012,-6.092530250549316,-6.674765586853027,-0.1537914276123047,-0.5822353363037109,-0.7360267639160156
87452,6073899,646,11.124613,-12.017468452453613,-12.159988403320312,-12.294544219970703,-0.14251995086669922,-0.13455581665039062,-0.27707576751708984
156493,911794,82,15.650091,-5.877462387084961,-6.035035133361816,-7.467014312744141,-0.15757274627685547,-1.4319791793823242,-1.5895519256591797
148538,5427174,952,15.420052,-8.756421089172363,-8.846187591552734,-8.931964874267578,-0.0897665023803711,-0.08577728271484375,-0.17554378509521484
130510,984907,140,12.764076,-13.279563903808594,-13.235001564025879,-13.423123359680176,0.044562339782714844,-0.18812179565429688,-0.14355945587158203
451602,7265404,328,14.074535,-10.894426345825195,-10.785661697387695,-10.93747615814209,0.1087646484375,-0.15181446075439453,-0.04304981231689453
183378,2710646,247,12.411176,-12.091257095336914,-12.038729667663574,-12.048321723937988,0.052527427673339844,-0.009592056274414062,0.04293537139892578
1114819,8024890,113,19.147913,2.313046455383301,2.364840507507324,2.257646083831787,0.05179405212402344,-0.10719442367553711,-0.05540037155151367
182539,4321079,448,10.296672,-13.416654586791992,-13.415173530578613,-13.509523391723633,0.0014810562133789062,-0.09434986114501953,-0.09286880493164062
148538,8233886,739,16.271252,-11.868668556213379,-11.915016174316406,-12.191750526428223,-0.046347618103027344,-0.2767343521118164,-0.32308197021484375
1113437,3422862,776,10.440643,-7.403278350830078,-7.265960693359375,-6.811267852783203,0.13731765747070312,0.4546928405761719,0.592010498046875
1106007,2677529,31,12.954882,-10.445399284362793,-10.298192977905273,-10.3428316116333,0.14720630645751953,-0.044638633728027344,0.10256767272949219
1112341,5101872,708,11.577221,-11.661656379699707,-11.742145538330078,-11.911099433898926,-0.0804891586303711,-0.16895389556884766,-0.24944305419921875
87452,5105199,488,11.571701,-10.456750869750977,-10.57252311706543,-10.759722709655762,-0.11577224731445312,-0.18719959259033203,-0.30297183990478516
451602,1530197,446,13.279856,-12.889481544494629,-12.879043579101562,-13.005130767822266,0.010437965393066406,-0.12608718872070312,-0.11564922332763672
833860,7503777,434,11.057965,-13.48897933959961,-13.582674026489258,-13.53154468536377,-0.09369468688964844,0.05112934112548828,-0.042565345764160156
1129237,4373435,613,13.17106,-11.293925285339355,-11.297745704650879,-11.65157699584961,-0.0038204193115234375,-0.35383129119873047,-0.3576517105102539
264014,4664190,226,15.311792,-5.688996315002441,-5.815572738647461,-6.000288009643555,-0.12657642364501953,-0.18471527099609375,-0.3112916946411133
1110199,6697302,425,11.980958,-12.327913284301758,-12.42149543762207,-12.418390274047852,-0.0935821533203125,0.00310516357421875,-0.09047698974609375
962179,2466207,463,12.762965,-14.284775733947754,-14.3060941696167,-14.311274528503418,-0.021318435668945312,-0.00518035888671875,-0.026498794555664062
87452,1395628,691,11.026999,-11.542174339294434,-11.69814395904541,-11.641056060791016,-0.15596961975097656,0.05708789825439453,-0.09888172149658203
1124210,5890091,293,5.1831274,-13.489723205566406,-13.526594161987305,-13.571123123168945,-0.03687095642089844,-0.044528961181640625,-0.08139991760253906
264014,1944238,205,15.554399,-12.824013710021973,-12.942035675048828,-13.089254379272461,-0.11802196502685547,-0.1472187042236328,-0.2652406692504883
962179,6385544,189,15.641305,-11.927485466003418,-11.949209213256836,-12.187166213989258,-0.02172374725341797,-0.23795700073242188,-0.25968074798583984
451602,7510025,110,16.682806,-12.12002182006836,-11.876705169677734,-12.080337524414062,0.243316650390625,-0.20363235473632812,0.039684295654296875
1124210,4535489,54,12.477813,-7.775970458984375,-7.471286773681641,-8.305760383605957,0.3046836853027344,-0.8344736099243164,-0.529789924621582
130510,4237523,698,10.592752,-10.601937294006348,-10.66946792602539,-11.42033576965332,-0.06753063201904297,-0.7508678436279297,-0.8183984756469727
130510,2346969,78,14.301141,-12.759841918945312,-12.775217056274414,-12.85506820678711,-0.015375137329101562,-0.07985115051269531,-0.09522628784179688
573724,2620791,893,10.831446,-10.9296293258667,-11.03974437713623,-11.056631088256836,-0.11011505126953125,-0.01688671112060547,-0.12700176239013672
130510,4237516,338,11.155177,-11.127198219299316,-10.868338584899902,-11.304441452026367,0.25885963439941406,-0.43610286712646484,-0.17724323272705078
1114646,517148,521,8.090152,-12.660665512084961,-12.680212020874023,-12.565462112426758,-0.0195465087890625,0.11474990844726562,0.09520339965820312
1124210,6428870,536,5.074358,-14.345673561096191,-14.31805419921875,-14.47289752960205,0.027619361877441406,-0.15484333038330078,-0.12722396850585938
182539,3389569,560,10.124404,-12.387606620788574,-12.388225555419922,-12.508359909057617,-0.0006189346313476562,-0.12013435363769531,-0.12075328826904297
1121402,752294,330,12.606409,-12.219437599182129,-12.184455871582031,-12.150033950805664,0.034981727600097656,0.03442192077636719,0.06940364837646484
156493,3553290,847,9.346702,-12.017507553100586,-12.050334930419922,-12.10694408416748,-0.03282737731933594,-0.056609153747558594,-0.08943653106689453
47923,1496426,103,26.474058,-1.2015044689178467,-1.2823402881622314,-1.3144774436950684,-0.08083581924438477,-0.032137155532836914,-0.11297297477722168
1112341,7880070,137,13.435623,-11.71304702758789,-11.653203010559082,-11.688167572021484,0.059844017028808594,-0.034964561462402344,0.02487945556640625
1117099,4131487,180,10.714578,-12.904204368591309,-12.885051727294922,-13.071160316467285,0.01915264129638672,-0.18610858917236328,-0.16695594787597656
573724,1600621,802,10.933676,-13.169294357299805,-13.211170196533203,-13.226885795593262,-0.04187583923339844,-0.015715599060058594,-0.05759143829345703
1133167,3023125,164,13.65869,1.6930779218673706,1.7055689096450806,1.3480141162872314,0.012490987777709961,-0.3575547933578491,-0.34506380558013916
1113437,5591642,173,12.442821,-10.350876808166504,-10.212371826171875,-10.362730026245117,0.1385049819946289,-0.1503582000732422,-0.011853218078613281
104861,2916631,208,19.007568,0.30693691968917847,0.40690597891807556,0.48308685421943665,0.0999690592288971,0.07618087530136108,0.17614993453025818
1103812,1900485,193,15.647653,-12.207409858703613,-12.245365142822266,-12.488548278808594,-0.037955284118652344,-0.24318313598632812,-0.28113842010498047
915593,3191294,530,13.924497,-14.303535461425781,-14.2600736618042,-14.322803497314453,0.04346179962158203,-0.0627298355102539,-0.019268035888671875
1114646,8233327,695,8.017348,-9.918867111206055,-9.71298599243164,-9.730224609375,0.20588111877441406,-0.017238616943359375,0.1886425018310547
19335,6902387,832,10.450421,-9.739553451538086,-9.632670402526855,-9.061698913574219,0.10688304901123047,0.5709714889526367,0.6778545379638672
1037798,6816049,601,10.680016,-13.397073745727539,-13.409479141235352,-13.551774024963379,-0.0124053955078125,-0.14229488372802734,-0.15470027923583984
1063750,2047790,558,7.104919,-13.885109901428223,-13.901239395141602,-13.997371673583984,-0.016129493713378906,-0.09613227844238281,-0.11226177215576172
1115776,8106321,3,23.334087,5.882790565490723,5.888261795043945,5.613689422607422,0.005471229553222656,-0.27457237243652344,-0.2691011428833008
451602,7205049,935,11.468267,-13.069307327270508,-13.079704284667969,-13.072751998901367,-0.010396957397460938,0.0069522857666015625,-0.003444671630859375
264014,3338820,960,12.362787,-9.141283988952637,-9.230077743530273,-9.826148986816406,-0.08879375457763672,-0.5960712432861328,-0.6848649978637695
1133167,1883273,229,12.570255,4.390753746032715,4.411982536315918,4.10762882232666,0.021228790283203125,-0.3043537139892578,-0.2831249237060547
183378,1726139,256,12.278717,-12.829028129577637,-12.924064636230469,-12.967374801635742,-0.09503650665283203,-0.04331016540527344,-0.13834667205810547
130510,657854,619,10.729883,-13.058401107788086,-13.135274887084961,-13.197845458984375,-0.076873779296875,-0.06257057189941406,-0.13944435119628906
573724,4214949,906,10.812185,-13.184929847717285,-13.296248435974121,-13.312294006347656,-0.11131858825683594,-0.016045570373535156,-0.1273641586303711
264014,8743598,212,15.447804,-14.400494575500488,-14.462185859680176,-14.491744041442871,-0.0616912841796875,-0.029558181762695312,-0.09124946594238281
