layer,component,direction,mean_effect,std_effect,n
0,decoder_cross_attn,forward,0.03220231143035404,0.03484147478808738,
0,decoder_cross_attn,reverse,0.030502901579081955,0.03202240711128722,
0,decoder_mlp,forward,0.03220231143035404,0.03484147478808738,
0,decoder_mlp,reverse,0.030502901579081955,0.03202240711128722,
0,decoder_self_attn,forward,0.0,0.0,
0,decoder_self_attn,reverse,0.0,0.0,
0,encoder_mlp,forward,0.17088211976998216,0.3414962165036969,
0,encoder_mlp,reverse,-2.0159189774664847,2.6380608633513565,
0,encoder_self_attn,forward,0.17088211976998216,0.3414962165036969,
0,encoder_self_attn,reverse,-2.0159189774664847,2.6380608633513565,
1,decoder_cross_attn,forward,0.018304082502619282,0.06644497895206138,
1,decoder_cross_attn,reverse,0.014786586646846046,0.06134940433724109,
1,decoder_mlp,forward,0.018304082502619282,0.06644497895206138,
1,decoder_mlp,reverse,0.014786586646846046,0.06134940433724109,
1,decoder_self_attn,forward,0.03220231143035404,0.03484147478808738,
1,decoder_self_attn,reverse,0.030502901579081955,0.03202240711128722,
1,encoder_mlp,forward,0.21791111757313775,0.4234340078943752,
1,encoder_mlp,reverse,-1.971652647406174,1.9267301089461495,
1,encoder_self_attn,forward,0.21791111757313775,0.4234340078943752,
1,encoder_self_attn,reverse,-1.971652647406174,1.9267301089461495,
2,decoder_cross_attn,forward,0.06675678099632018,0.08931708521722007,
2,decoder_cross_attn,reverse,0.05945464627094394,0.08137186525557641,
2,decoder_mlp,forward,0.06675678099632018,0.08931708521722007,
2,decoder_mlp,reverse,0.05945464627094394,0.08137186525557641,
2,decoder_self_attn,forward,0.018304082502619282,0.06644497895206138,
2,decoder_self_attn,reverse,0.014786586646846046,0.06134940433724109,
2,encoder_mlp,forward,0.2682637211344545,0.4574536468471581,
2,encoder_mlp,reverse,-1.7096162697893313,2.25827062185397,
2,encoder_self_attn,forward,0.2682637211344545,0.4574536468471581,
2,encoder_self_attn,reverse,-1.7096162697893313,2.25827062185397,
3,decoder_cross_attn,forward,0.08398633321248643,0.08994817589777768,
3,decoder_cross_attn,reverse,0.07638279432718097,0.08199624006733594,
3,decoder_mlp,forward,0.08398633321248643,0.08994817589777768,
3,decoder_mlp,reverse,0.07638279432718097,0.08199624006733594,
3,decoder_self_attn,forward,0.06675678099632018,0.08931708521722007,
3,decoder_self_attn,reverse,0.05945464627094394,0.08137186525557641,
3,encoder_mlp,forward,0.3586911563394071,0.4976286393519848,
3,encoder_mlp,reverse,0.044458405601079436,1.7662770011020332,
3,encoder_self_attn,forward,0.3586911563394071,0.4976286393519848,
3,encoder_self_attn,reverse,0.044458405601079436,1.7662770011020332,
4,decoder_cross_attn,forward,0.12348617329628286,0.10560053599622513,
4,decoder_cross_attn,reverse,0.11470138848585013,0.09617962423895468,
4,decoder_mlp,forward,0.12348617329628286,0.10560053599622513,
4,decoder_mlp,reverse,0.11470138848585013,0.09617962423895468,
4,decoder_self_attn,forward,0.08398633321248643,0.08994817589777768,
4,decoder_self_attn,reverse,0.07638279432718097,0.08199624006733594,
4,encoder_mlp,forward,0.5072518791515761,0.6389554467038163,
4,encoder_mlp,reverse,0.5693995258462496,1.5860467460259255,
4,encoder_self_attn,forward,0.5072518791515761,0.6389554467038163,
4,encoder_self_attn,reverse,0.5693995258462496,1.5860467460259255,
5,decoder_cross_attn,forward,0.16176922957565168,0.1022781140214005,
5,decoder_cross_attn,reverse,0.150457654783398,0.09569862290795343,
5,decoder_mlp,forward,0.16176922957565168,0.1022781140214005,
5,decoder_mlp,reverse,0.150457654783398,0.09569862290795343,
5,decoder_self_attn,forward,0.12348617329628286,0.10560053599622513,
5,decoder_self_attn,reverse,0.11470138848585013,0.09617962423895468,
5,encoder_mlp,forward,0.6025117843794948,0.6435611422806181,
5,encoder_mlp,reverse,0.735475525369475,1.3129679827989196,
5,encoder_self_attn,forward,0.6025117843794948,0.6435611422806181,
5,encoder_self_attn,reverse,0.735475525369475,1.3129679827989196,
6,decoder_cross_attn,forward,0.2380789788529916,0.11340281036646752,
6,decoder_cross_attn,reverse,0.22492657399624977,0.11084098514603317,
6,decoder_mlp,forward,0.2380789788529916,0.11340281036646752,
6,decoder_mlp,reverse,0.22492657399624977,0.11084098514603317,
6,decoder_self_attn,forward,0.16176922957565168,0.1022781140214005,
6,decoder_self_attn,reverse,0.150457654783398,0.09569862290795343,
6,encoder_mlp,forward,0.8594205525767858,0.679799417030451,
6,encoder_mlp,reverse,0.5784274614617821,0.9507993424160283,
6,encoder_self_attn,forward,0.8594205525767858,0.679799417030451,
6,encoder_self_attn,reverse,0.5784274614617821,0.9507993424160283,
7,decoder_cross_attn,forward,0.3039947617352848,0.11200149436060228,
7,decoder_cross_attn,reverse,0.28937109643316,0.10698373136010707,
7,decoder_mlp,forward,0.3039947617352848,0.11200149436060228,
7,decoder_mlp,reverse,0.28937109643316,0.10698373136010707,
7,decoder_self_attn,forward,0.2380789788529916,0.11340281036646752,
7,decoder_self_attn,reverse,0.22492657399624977,0.11084098514603317,
7,encoder_mlp,forward,1.0424704033112355,0.7439847196334266,
7,encoder_mlp,reverse,0.8629576522688822,0.9329494716942522,
7,encoder_self_attn,forward,1.0424704033112355,0.7439847196334266,
7,encoder_self_attn,reverse,0.8629576522688822,0.9329494716942522,
8,decoder_cross_attn,forward,0.4412910633534049,0.12174141943477557,
8,decoder_cross_attn,reverse,0.4275230553707937,0.11449104332977592,
8,decoder_mlp,forward,0.4412910633534049,0.12174141943477557,
8,decoder_mlp,reverse,0.4275230553707937,0.11449104332977592,
8,decoder_self_attn,forward,0.3039947617352848,0.11200149436060228,
8,decoder_self_attn,reverse,0.28937109643316,0.10698373136010707,
8,encoder_mlp,forward,1.0534507094140408,0.6881624332274178,
8,encoder_mlp,reverse,0.8242134556496253,1.1589856573544601,
8,encoder_self_attn,forward,1.0534507094140408,0.6881624332274178,
8,encoder_self_attn,reverse,0.8242134556496253,1.1589856573544601,
9,decoder_cross_attn,forward,0.5632109479938273,0.13343770712363348,
9,decoder_cross_attn,reverse,0.556614778375509,0.12527849436073818,
9,decoder_mlp,forward,0.5632109479938273,0.13343770712363348,
9,decoder_mlp,reverse,0.556614778375509,0.12527849436073818,
9,decoder_self_attn,forward,0.4412910633534049,0.12174141943477557,
9,decoder_self_attn,reverse,0.4275230553707937,0.11449104332977592,
9,encoder_mlp,forward,1.135782188042439,0.7415328949443665,
9,encoder_mlp,reverse,0.8598120294943646,1.103279665181362,
9,encoder_self_attn,forward,1.135782188042439,0.7415328949443665,
9,encoder_self_attn,reverse,0.8598120294943646,1.103279665181362,
10,decoder_cross_attn,forward,0.6049384073511295,0.15640767113799975,
10,decoder_cross_attn,reverse,0.6009424696900302,0.14861091007461252,
10,decoder_mlp,forward,0.6049384073511295,0.15640767113799975,
10,decoder_mlp,reverse,0.6009424696900302,0.14861091007461252,
10,decoder_self_attn,forward,0.5632109479938273,0.13343770712363348,
10,decoder_self_attn,reverse,0.556614778375509,0.12527849436073818,
10,encoder_mlp,forward,1.0866493248593494,0.27456328773298583,
10,encoder_mlp,reverse,1.009459573939035,0.8336898053087217,
10,encoder_self_attn,forward,1.0866493248593494,0.27456328773298583,
10,encoder_self_attn,reverse,1.009459573939035,0.8336898053087217,
11,decoder_cross_attn,forward,1.0,0.0,
11,decoder_cross_attn,reverse,1.0,0.0,
11,decoder_mlp,forward,1.0,0.0,
11,decoder_mlp,reverse,1.0,0.0,
11,decoder_self_attn,forward,0.6049384073511295,0.15640767113799975,
11,decoder_self_attn,reverse,0.6009424696900302,0.14861091007461252,
11,encoder_mlp,forward,1.0201008592106506,0.06263533775942524,
11,encoder_mlp,reverse,0.9746686178525402,0.07908223146240864,
11,encoder_self_attn,forward,1.0201008592106506,0.06263533775942524,
11,encoder_self_attn,reverse,0.9746686178525402,0.07908223146240864,
