qid,docid,layer,component,direction,control_score,attack_score,patched_score,effect
490595,8817806,0,encoder_self_attn,forward,-9.465415000915527,-6.258689880371094,-9.478625297546387,-0.004119560029085545
490595,8817806,0,encoder_self_attn,reverse,-9.465415000915527,-6.258689880371094,-9.212159156799316,0.92102352568554
490595,8817806,0,encoder_mlp,forward,-9.465415000915527,-6.258689880371094,-9.478625297546387,-0.004119560029085545
490595,8817806,0,encoder_mlp,reverse,-9.465415000915527,-6.258689880371094,-9.212159156799316,0.92102352568554
490595,8817806,1,encoder_self_attn,forward,-9.465415000915527,-6.258689880371094,-9.451786041259766,0.004250117844041404
490595,8817806,1,encoder_self_attn,reverse,-9.465415000915527,-6.258689880371094,-8.25633430480957,0.6229546809735033
490595,8817806,1,encoder_mlp,forward,-9.465415000915527,-6.258689880371094,-9.451786041259766,0.004250117844041404
490595,8817806,1,encoder_mlp,reverse,-9.465415000915527,-6.258689880371094,-8.25633430480957,0.6229546809735033
490595,8817806,2,encoder_self_attn,forward,-9.465415000915527,-6.258689880371094,-9.482952117919922,-0.005468855715770581
490595,8817806,2,encoder_self_attn,reverse,-9.465415000915527,-6.258689880371094,-8.911722183227539,0.8273338696414418
490595,8817806,2,encoder_mlp,forward,-9.465415000915527,-6.258689880371094,-9.482952117919922,-0.005468855715770581
490595,8817806,2,encoder_mlp,reverse,-9.465415000915527,-6.258689880371094,-8.911722183227539,0.8273338696414418
490595,8817806,3,encoder_self_attn,forward,-9.465415000915527,-6.258689880371094,-9.201359748840332,0.08234421166425526
490595,8817806,3,encoder_self_attn,reverse,-9.465415000915527,-6.258689880371094,-7.28987979888916,0.32157103579336177
490595,8817806,3,encoder_mlp,forward,-9.465415000915527,-6.258689880371094,-9.201359748840332,0.08234421166425526
490595,8817806,3,encoder_mlp,reverse,-9.465415000915527,-6.258689880371094,-7.28987979888916,0.32157103579336177
490595,8817806,4,encoder_self_attn,forward,-9.465415000915527,-6.258689880371094,-9.112163543701172,0.11015956901051153
490595,8817806,4,encoder_self_attn,reverse,-9.465415000915527,-6.258689880371094,-7.701596260070801,0.4499626021748731
490595,8817806,4,encoder_mlp,forward,-9.465415000915527,-6.258689880371094,-9.112163543701172,0.11015956901051153
490595,8817806,4,encoder_mlp,reverse,-9.465415000915527,-6.258689880371094,-7.701596260070801,0.4499626021748731
490595,8817806,5,encoder_self_attn,forward,-9.465415000915527,-6.258689880371094,-9.033292770385742,0.13475499591820955
490595,8817806,5,encoder_self_attn,reverse,-9.465415000915527,-6.258689880371094,-7.398862838745117,0.35555681123689403
490595,8817806,5,encoder_mlp,forward,-9.465415000915527,-6.258689880371094,-9.033292770385742,0.13475499591820955
490595,8817806,5,encoder_mlp,reverse,-9.465415000915527,-6.258689880371094,-7.398862838745117,0.35555681123689403
490595,8817806,6,encoder_self_attn,forward,-9.465415000915527,-6.258689880371094,-8.708823204040527,0.23593908689827048
490595,8817806,6,encoder_self_attn,reverse,-9.465415000915527,-6.258689880371094,-6.846397399902344,0.18327343237685112
490595,8817806,6,encoder_mlp,forward,-9.465415000915527,-6.258689880371094,-8.708823204040527,0.23593908689827048
490595,8817806,6,encoder_mlp,reverse,-9.465415000915527,-6.258689880371094,-6.846397399902344,0.18327343237685112
490595,8817806,7,encoder_self_attn,forward,-9.465415000915527,-6.258689880371094,-8.314844131469727,0.3587993439395449
490595,8817806,7,encoder_self_attn,reverse,-9.465415000915527,-6.258689880371094,-6.998724937438965,0.2307759565441733
490595,8817806,7,encoder_mlp,forward,-9.465415000915527,-6.258689880371094,-8.314844131469727,0.3587993439395449
490595,8817806,7,encoder_mlp,reverse,-9.465415000915527,-6.258689880371094,-6.998724937438965,0.2307759565441733
490595,8817806,8,encoder_self_attn,forward,-9.465415000915527,-6.258689880371094,-7.880417823791504,0.4942728539373293
490595,8817806,8,encoder_self_attn,reverse,-9.465415000915527,-6.258689880371094,-8.462678909301758,0.6873021372522488
490595,8817806,8,encoder_mlp,forward,-9.465415000915527,-6.258689880371094,-7.880417823791504,0.4942728539373293
490595,8817806,8,encoder_mlp,reverse,-9.465415000915527,-6.258689880371094,-8.462678909301758,0.6873021372522488
490595,8817806,9,encoder_self_attn,forward,-9.465415000915527,-6.258689880371094,-7.701501846313477,0.5500668402480896
490595,8817806,9,encoder_self_attn,reverse,-9.465415000915527,-6.258689880371094,-7.623451232910156,0.42559349530631274
490595,8817806,9,encoder_mlp,forward,-9.465415000915527,-6.258689880371094,-7.701501846313477,0.5500668402480896
490595,8817806,9,encoder_mlp,reverse,-9.465415000915527,-6.258689880371094,-7.623451232910156,0.42559349530631274
490595,8817806,10,encoder_self_attn,forward,-9.465415000915527,-6.258689880371094,-6.89103889465332,0.8028053573313864
490595,8817806,10,encoder_self_attn,reverse,-9.465415000915527,-6.258689880371094,-8.44430923461914,0.6815736528976252
490595,8817806,10,encoder_mlp,forward,-9.465415000915527,-6.258689880371094,-6.89103889465332,0.8028053573313864
490595,8817806,10,encoder_mlp,reverse,-9.465415000915527,-6.258689880371094,-8.44430923461914,0.6815736528976252
490595,8817806,11,encoder_self_attn,forward,-9.465415000915527,-6.258689880371094,-6.517541885375977,0.919278392979023
490595,8817806,11,encoder_self_attn,reverse,-9.465415000915527,-6.258689880371094,-9.343022346496582,0.9618325083011275
490595,8817806,11,encoder_mlp,forward,-9.465415000915527,-6.258689880371094,-6.517541885375977,0.919278392979023
490595,8817806,11,encoder_mlp,reverse,-9.465415000915527,-6.258689880371094,-9.343022346496582,0.9618325083011275
490595,8817806,0,decoder_self_attn,forward,-9.465415000915527,-6.258689880371094,-9.465415000915527,0.0
490595,8817806,0,decoder_self_attn,reverse,-9.465415000915527,-6.258689880371094,-6.258689880371094,0.0
490595,8817806,0,decoder_cross_attn,forward,-9.465415000915527,-6.258689880371094,-9.38237476348877,0.02589565188944519
490595,8817806,0,decoder_cross_attn,reverse,-9.465415000915527,-6.258689880371094,-6.351184844970703,0.028844057760680684
490595,8817806,0,decoder_mlp,forward,-9.465415000915527,-6.258689880371094,-9.38237476348877,0.02589565188944519
490595,8817806,0,decoder_mlp,reverse,-9.465415000915527,-6.258689880371094,-6.351184844970703,0.028844057760680684
490595,8817806,1,decoder_self_attn,forward,-9.465415000915527,-6.258689880371094,-9.38237476348877,0.02589565188944519
490595,8817806,1,decoder_self_attn,reverse,-9.465415000915527,-6.258689880371094,-6.351184844970703,0.028844057760680684
490595,8817806,1,decoder_cross_attn,forward,-9.465415000915527,-6.258689880371094,-9.331341743469238,0.041810024996319695
490595,8817806,1,decoder_cross_attn,reverse,-9.465415000915527,-6.258689880371094,-6.3968048095703125,0.043070398617693115
490595,8817806,1,decoder_mlp,forward,-9.465415000915527,-6.258689880371094,-9.331341743469238,0.041810024996319695
