layer,component,direction,mean_effect,std_effect,n
0,decoder_cross_attn,forward,0.10403540437590605,0.1001844848811668,
0,decoder_cross_attn,reverse,0.10202690619499503,0.0975529482876636,
0,decoder_mlp,forward,0.10403540437590605,0.1001844848811668,
0,decoder_mlp,reverse,0.10202690619499503,0.0975529482876636,
0,decoder_self_attn,forward,0.0,0.0,
0,decoder_self_attn,reverse,0.0,0.0,
0,encoder_mlp,forward,-0.1362637020252193,0.2159806338044565,
0,encoder_mlp,reverse,-1.6383766592576008,2.150676776057891,
0,encoder_self_attn,forward,-0.1362637020252193,0.2159806338044565,
0,encoder_self_attn,reverse,-1.6383766592576008,2.150676776057891,
1,decoder_cross_attn,forward,0.11988481021143198,0.10835572908568927,
1,decoder_cross_attn,reverse,0.11823499455812102,0.10702070824338838,
1,decoder_mlp,forward,0.11988481021143198,0.10835572908568927,
1,decoder_mlp,reverse,0.11823499455812102,0.10702070824338838,
1,decoder_self_attn,forward,0.10403540437590605,0.1001844848811668,
1,decoder_self_attn,reverse,0.10202690619499503,0.0975529482876636,
1,encoder_mlp,forward,-0.1591293447331806,0.2786178676735721,
1,encoder_mlp,reverse,-1.4790823026666977,1.8890070980627458,
1,encoder_self_attn,forward,-0.1591293447331806,0.2786178676735721,
1,encoder_self_attn,reverse,-1.4790823026666977,1.8890070980627458,
2,decoder_cross_attn,forward,0.21229648100497925,0.1514662657482991,
2,decoder_cross_attn,reverse,0.20926292762204646,0.1487245866782516,
2,decoder_mlp,forward,0.21229648100497925,0.1514662657482991,
2,decoder_mlp,reverse,0.20926292762204646,0.1487245866782516,
2,decoder_self_attn,forward,0.11988481021143198,0.10835572908568927,
2,decoder_self_attn,reverse,0.11823499455812102,0.10702070824338838,
2,encoder_mlp,forward,-0.14578747127741126,0.3703566122011677,
2,encoder_mlp,reverse,-1.3569122883537332,1.6364567214328456,
2,encoder_self_attn,forward,-0.14578747127741126,0.3703566122011677,
2,encoder_self_attn,reverse,-1.3569122883537332,1.6364567214328456,
3,decoder_cross_attn,forward,0.2313628151577675,0.15868685280562644,
3,decoder_cross_attn,reverse,0.22683683983994662,0.156240514606798,
3,decoder_mlp,forward,0.2313628151577675,0.15868685280562644,
3,decoder_mlp,reverse,0.22683683983994662,0.156240514606798,
3,decoder_self_attn,forward,0.21229648100497925,0.1514662657482991,
3,decoder_self_attn,reverse,0.20926292762204646,0.1487245866782516,
3,encoder_mlp,forward,-0.18138659410996563,0.4542145637911579,
3,encoder_mlp,reverse,-1.3687835910307011,1.5359780330514503,
3,encoder_self_attn,forward,-0.18138659410996563,0.4542145637911579,
3,encoder_self_attn,reverse,-1.3687835910307011,1.5359780330514503,
4,decoder_cross_attn,forward,0.2881809701300954,0.17006838232680493,
4,decoder_cross_attn,reverse,0.2835590159284639,0.16799352059397396,
4,decoder_mlp,forward,0.2881809701300954,0.17006838232680493,
4,decoder_mlp,reverse,0.2835590159284639,0.16799352059397396,
4,decoder_self_attn,forward,0.2313628151577675,0.15868685280562644,
4,decoder_self_attn,reverse,0.22683683983994662,0.156240514606798,
4,encoder_mlp,forward,-0.22459860047420083,0.5387939808729346,
4,encoder_mlp,reverse,-1.4894516159884206,1.4951114071450105,
4,encoder_self_attn,forward,-0.22459860047420083,0.5387939808729346,
4,encoder_self_attn,reverse,-1.4894516159884206,1.4951114071450105,
