qid,docid,layer,component,direction,control_score,attack_score,patched_score,effect
182539,6135907,0,encoder_self_attn,forward,-6.241916656494141,-5.524162292480469,-6.216970443725586,0.03475591932183572
182539,6135907,0,encoder_self_attn,reverse,-6.241916656494141,-5.524162292480469,-5.699666976928711,0.2445191464484069
182539,6135907,0,encoder_mlp,forward,-6.241916656494141,-5.524162292480469,-6.216970443725586,0.03475591932183572
182539,6135907,0,encoder_mlp,reverse,-6.241916656494141,-5.524162292480469,-5.699666976928711,0.2445191464484069
182539,6135907,1,encoder_self_attn,forward,-6.241916656494141,-5.524162292480469,-6.251436233520508,-0.013263001248970265
182539,6135907,1,encoder_self_attn,reverse,-6.241916656494141,-5.524162292480469,-5.968341827392578,0.6188461640668598
182539,6135907,1,encoder_mlp,forward,-6.241916656494141,-5.524162292480469,-6.251436233520508,-0.013263001248970265
182539,6135907,1,encoder_mlp,reverse,-6.241916656494141,-5.524162292480469,-5.968341827392578,0.6188461640668598
182539,6135907,2,encoder_self_attn,forward,-6.241916656494141,-5.524162292480469,-6.258901596069336,-0.023664000425181367
182539,6135907,2,encoder_self_attn,reverse,-6.241916656494141,-5.524162292480469,-6.257709503173828,1.0220031357125774
182539,6135907,2,encoder_mlp,forward,-6.241916656494141,-5.524162292480469,-6.258901596069336,-0.023664000425181367
182539,6135907,2,encoder_mlp,reverse,-6.241916656494141,-5.524162292480469,-6.257709503173828,1.0220031357125774
182539,6135907,3,encoder_self_attn,forward,-6.241916656494141,-5.524162292480469,-6.245275497436523,-0.004679652414232946
182539,6135907,3,encoder_self_attn,reverse,-6.241916656494141,-5.524162292480469,-6.271121978759766,1.040689856767027
182539,6135907,3,encoder_mlp,forward,-6.241916656494141,-5.524162292480469,-6.245275497436523,-0.004679652414232946
182539,6135907,3,encoder_mlp,reverse,-6.241916656494141,-5.524162292480469,-6.271121978759766,1.040689856767027
182539,6135907,4,encoder_self_attn,forward,-6.241916656494141,-5.524162292480469,-6.255373001098633,-0.018747840875873615
182539,6135907,4,encoder_self_attn,reverse,-6.241916656494141,-5.524162292480469,-5.991321563720703,0.6508623209587839
182539,6135907,4,encoder_mlp,forward,-6.241916656494141,-5.524162292480469,-6.255373001098633,-0.018747840875873615
182539,6135907,4,encoder_mlp,reverse,-6.241916656494141,-5.524162292480469,-5.991321563720703,0.6508623209587839
182539,6135907,5,encoder_self_attn,forward,-6.241916656494141,-5.524162292480469,-6.294532775878906,-0.073306582339029
182539,6135907,5,encoder_self_attn,reverse,-6.241916656494141,-5.524162292480469,-6.190013885498047,0.9276872791049933
182539,6135907,5,encoder_mlp,forward,-6.241916656494141,-5.524162292480469,-6.294532775878906,-0.073306582339029
182539,6135907,5,encoder_mlp,reverse,-6.241916656494141,-5.524162292480469,-6.190013885498047,0.9276872791049933
182539,6135907,6,encoder_self_attn,forward,-6.241916656494141,-5.524162292480469,-6.241233825683594,0.0009513433073795541
182539,6135907,6,encoder_self_attn,reverse,-6.241916656494141,-5.524162292480469,-6.124177932739258,0.8359623714490713
182539,6135907,6,encoder_mlp,forward,-6.241916656494141,-5.524162292480469,-6.241233825683594,0.0009513433073795541
182539,6135907,6,encoder_mlp,reverse,-6.241916656494141,-5.524162292480469,-6.124177932739258,0.8359623714490713
182539,6135907,7,encoder_self_attn,forward,-6.241916656494141,-5.524162292480469,-6.031063079833984,0.2937684355983099
182539,6135907,7,encoder_self_attn,reverse,-6.241916656494141,-5.524162292480469,-5.929714202880859,0.5650288326114108
182539,6135907,7,encoder_mlp,forward,-6.241916656494141,-5.524162292480469,-6.031063079833984,0.2937684355983099
182539,6135907,7,encoder_mlp,reverse,-6.241916656494141,-5.524162292480469,-5.929714202880859,0.5650288326114108
182539,6135907,8,encoder_self_attn,forward,-6.241916656494141,-5.524162292480469,-5.808429718017578,0.6039488719406872
182539,6135907,8,encoder_self_attn,reverse,-6.241916656494141,-5.524162292480469,-5.777657508850098,0.353178230714039
182539,6135907,8,encoder_mlp,forward,-6.241916656494141,-5.524162292480469,-5.808429718017578,0.6039488719406872
182539,6135907,8,encoder_mlp,reverse,-6.241916656494141,-5.524162292480469,-5.777657508850098,0.353178230714039
182539,6135907,9,encoder_self_attn,forward,-6.241916656494141,-5.524162292480469,-5.691976547241211,0.7661954239855439
182539,6135907,9,encoder_self_attn,reverse,-6.241916656494141,-5.524162292480469,-5.95246696472168,0.5967287608620552
182539,6135907,9,encoder_mlp,forward,-6.241916656494141,-5.524162292480469,-5.691976547241211,0.7661954239855439
