qid,docid,rank,bm25_score,original_score,control_score,attack_score,control_delta_vs_original,attack_delta_vs_control,attack_delta_vs_original
1103812,3202701,900,12.541065,-12.88609504699707,-12.881336212158203,-12.80478286743164,0.0047588348388671875,0.0765533447265625,0.08131217956542969
527433,199249,296,20.958233,-13.010591506958008,-13.092350959777832,-12.931876182556152,-0.08175945281982422,0.1604747772216797,0.07871532440185547
148538,963821,639,16.673933,-10.899344444274902,-10.916650772094727,-10.871089935302734,-0.01730632781982422,0.04556083679199219,0.02825450897216797
264014,5328095,19,23.129852,4.954717636108398,4.96238899230957,4.975130081176758,0.007671356201171875,0.0127410888671875,0.020412445068359375
131843,8073461,44,6.3777733,-13.685620307922363,-13.85040283203125,-13.894493103027344,-0.16478252410888672,-0.04409027099609375,-0.20887279510498047
451602,8294680,628,12.772134,-11.517167091369629,-11.54466438293457,-11.660394668579102,-0.027497291564941406,-0.11573028564453125,-0.14322757720947266
168216,3908778,144,24.050869,0.782355546951294,0.7388135194778442,1.0101380348205566,-0.04354202747344971,0.2713245153427124,0.2277824878692627
130510,8614562,717,10.578865,-12.98244857788086,-13.011159896850586,-12.979288101196289,-0.028711318969726562,0.031871795654296875,0.0031604766845703125
1112341,4560142,736,11.507101,-14.439285278320312,-14.44189453125,-14.327882766723633,-0.0026092529296875,0.11401176452636719,0.11140251159667969
1133167,2750180,697,10.607595,-11.038500785827637,-10.9964599609375,-10.981167793273926,0.04204082489013672,0.015292167663574219,0.05733299255371094
1129237,2913079,693,13.030432,-5.938738822937012,-6.146295547485352,-5.699301719665527,-0.20755672454833984,0.4469938278198242,0.23943710327148438
87452,6073899,646,11.124613,-12.017468452453613,-11.980798721313477,-11.611724853515625,0.03666973114013672,0.36907386779785156,0.4057435989379883
156493,911794,82,15.650091,-5.877462387084961,-6.159696578979492,-6.272706031799316,-0.28223419189453125,-0.11300945281982422,-0.39524364471435547
148538,5427174,952,15.420052,-8.756421089172363,-8.870311737060547,-8.710033416748047,-0.1138906478881836,0.1602783203125,0.046387672424316406
130510,984907,140,12.764076,-13.279563903808594,-13.285723686218262,-13.352361679077148,-0.006159782409667969,-0.06663799285888672,-0.07279777526855469
451602,7265404,328,14.074535,-10.894426345825195,-10.915618896484375,-11.087377548217773,-0.021192550659179688,-0.17175865173339844,-0.19295120239257812
183378,2710646,247,12.411176,-12.091257095336914,-12.117788314819336,-11.911542892456055,-0.026531219482421875,0.20624542236328125,0.17971420288085938
1114819,8024890,113,19.147913,2.313046455383301,2.4257640838623047,2.5877699851989746,0.1127176284790039,0.16200590133666992,0.27472352981567383
182539,4321079,448,10.296672,-13.416654586791992,-13.345636367797852,-13.363630294799805,0.07101821899414062,-0.017993927001953125,0.0530242919921875
148538,8233886,739,16.271252,-11.868668556213379,-12.005044937133789,-11.907703399658203,-0.13637638092041016,0.09734153747558594,-0.03903484344482422
1113437,3422862,776,10.440643,-7.403278350830078,-7.429364204406738,-7.498973846435547,-0.026085853576660156,-0.0696096420288086,-0.09569549560546875
