qid,docid,rank,bm25_score,original_score,control_score,attack_score,control_delta_vs_original,attack_delta_vs_control,attack_delta_vs_original
1103812,3202701,900,12.541065,-12.88609504699707,-12.881183624267578,-13.036617279052734,0.0049114227294921875,-0.15543365478515625,-0.15052223205566406
527433,199249,296,20.958233,-13.010591506958008,-13.110645294189453,-13.152050018310547,-0.10005378723144531,-0.04140472412109375,-0.14145851135253906
148538,963821,639,16.673933,-10.899344444274902,-10.942115783691406,-11.604214668273926,-0.042771339416503906,-0.6620988845825195,-0.7048702239990234
264014,5328095,19,23.129852,4.954717636108398,4.778375625610352,4.560224533081055,-0.17634201049804688,-0.21815109252929688,-0.39449310302734375
131843,8073461,44,6.3777733,-13.685620307922363,-13.760442733764648,-13.739164352416992,-0.07482242584228516,0.02127838134765625,-0.053544044494628906
451602,8294680,628,12.772134,-11.517167091369629,-11.658551216125488,-11.633621215820312,-0.14138412475585938,0.02493000030517578,-0.1164541244506836
168216,3908778,144,24.050869,0.782355546951294,0.8014792799949646,0.7002205848693848,0.019123733043670654,-0.10125869512557983,-0.08213496208190918
130510,8614562,717,10.578865,-12.98244857788086,-13.012728691101074,-13.219070434570312,-0.030280113220214844,-0.20634174346923828,-0.23662185668945312
1112341,4560142,736,11.507101,-14.439285278320312,-14.430463790893555,-14.46222972869873,0.008821487426757812,-0.03176593780517578,-0.02294445037841797
1133167,2750180,697,10.607595,-11.038500785827637,-10.983171463012695,-12.095796585083008,0.055329322814941406,-1.1126251220703125,-1.057295799255371
1129237,2913079,693,13.030432,-5.938738822937012,-5.569828033447266,-5.441176414489746,0.3689107894897461,0.12865161895751953,0.4975624084472656
87452,6073899,646,11.124613,-12.017468452453613,-11.993745803833008,-12.366525650024414,0.02372264862060547,-0.37277984619140625,-0.3490571975708008
156493,911794,82,15.650091,-5.877462387084961,-5.545988082885742,-5.672853469848633,0.33147430419921875,-0.12686538696289062,0.20460891723632812
148538,5427174,952,15.420052,-8.756421089172363,-9.049423217773438,-10.266887664794922,-0.2930021286010742,-1.2174644470214844,-1.5104665756225586
130510,984907,140,12.764076,-13.279563903808594,-13.248879432678223,-13.4978666305542,0.030684471130371094,-0.24898719787597656,-0.21830272674560547
451602,7265404,328,14.074535,-10.894426345825195,-10.833117485046387,-11.077978134155273,0.061308860778808594,-0.24486064910888672,-0.18355178833007812
183378,2710646,247,12.411176,-12.091257095336914,-12.090898513793945,-11.787345886230469,0.00035858154296875,0.30355262756347656,0.3039112091064453
1114819,8024890,113,19.147913,2.313046455383301,2.3125391006469727,2.285433292388916,-0.000507354736328125,-0.02710580825805664,-0.027613162994384766
182539,4321079,448,10.296672,-13.416654586791992,-13.484447479248047,-13.502861022949219,-0.06779289245605469,-0.018413543701171875,-0.08620643615722656
148538,8233886,739,16.271252,-11.868668556213379,-10.955740928649902,-10.124103546142578,0.9129276275634766,0.8316373825073242,1.7445650100708008
1113437,3422862,776,10.440643,-7.403278350830078,-7.4166412353515625,-6.584271430969238,-0.013362884521484375,0.8323698043823242,0.8190069198608398
1106007,2677529,31,12.954882,-10.445399284362793,-9.885404586791992,-9.923578262329102,0.5599946975708008,-0.038173675537109375,0.5218210220336914
1112341,5101872,708,11.577221,-11.661656379699707,-11.628300666809082,-11.905584335327148,0.033355712890625,-0.2772836685180664,-0.2439279556274414
87452,5105199,488,11.571701,-10.456750869750977,-10.453056335449219,-10.765602111816406,0.0036945343017578125,-0.3125457763671875,-0.3088512420654297
451602,1530197,446,13.279856,-12.889481544494629,-12.994510650634766,-12.455751419067383,-0.10502910614013672,0.5387592315673828,0.4337301254272461
833860,7503777,434,11.057965,-13.48897933959961,-13.577781677246094,-13.63621997833252,-0.08880233764648438,-0.05843830108642578,-0.14724063873291016
1129237,4373435,613,13.17106,-11.293925285339355,-11.203332901000977,-11.198352813720703,0.0905923843383789,0.0049800872802734375,0.09557247161865234
264014,4664190,226,15.311792,-5.688996315002441,-6.791337966918945,-9.750364303588867,-1.102341651916504,-2.959026336669922,-4.061367988586426
1110199,6697302,425,11.980958,-12.327913284301758,-12.491613388061523,-12.531999588012695,-0.16370010375976562,-0.040386199951171875,-0.2040863037109375
962179,2466207,463,12.762965,-14.284775733947754,-14.195183753967285,-14.244056701660156,0.08959197998046875,-0.048872947692871094,0.040719032287597656
87452,1395628,691,11.026999,-11.542174339294434,-11.674989700317383,-12.459121704101562,-0.13281536102294922,-0.7841320037841797,-0.9169473648071289
1124210,5890091,293,5.1831274,-13.489723205566406,-13.519363403320312,-13.580378532409668,-0.02964019775390625,-0.06101512908935547,-0.09065532684326172
264014,1944238,205,15.554399,-12.824013710021973,-12.88661003112793,-13.08443546295166,-0.06259632110595703,-0.19782543182373047,-0.2604217529296875
962179,6385544,189,15.641305,-11.927485466003418,-11.512046813964844,-11.878647804260254,0.4154386520385742,-0.36660099029541016,0.04883766174316406
451602,7510025,110,16.682806,-12.12002182006836,-12.055269241333008,-11.88506031036377,0.06475257873535156,0.17020893096923828,0.23496150970458984
1124210,4535489,54,12.477813,-7.775970458984375,-7.869219779968262,-8.159411430358887,-0.09324932098388672,-0.290191650390625,-0.3834409713745117
130510,4237523,698,10.592752,-10.601937294006348,-10.550040245056152,-10.941000938415527,0.05189704895019531,-0.390960693359375,-0.3390636444091797
130510,2346969,78,14.301141,-12.759841918945312,-12.763357162475586,-12.691250801086426,-0.0035152435302734375,0.07210636138916016,0.06859111785888672
573724,2620791,893,10.831446,-10.9296293258667,-10.752552032470703,-11.476634979248047,0.1770772933959961,-0.7240829467773438,-0.5470056533813477
130510,4237516,338,11.155177,-11.127198219299316,-11.157407760620117,-11.31467056274414,-0.03020954132080078,-0.15726280212402344,-0.18747234344482422
1114646,517148,521,8.090152,-12.660665512084961,-12.735699653625488,-12.736749649047852,-0.07503414154052734,-0.0010499954223632812,-0.07608413696289062
1124210,6428870,536,5.074358,-14.345673561096191,-14.35139274597168,-14.538490295410156,-0.005719184875488281,-0.18709754943847656,-0.19281673431396484
182539,3389569,560,10.124404,-12.387606620788574,-12.38344955444336,-12.522919654846191,0.004157066345214844,-0.13947010040283203,-0.1353130340576172
1121402,752294,330,12.606409,-12.219437599182129,-12.284709930419922,-12.714160919189453,-0.06527233123779297,-0.42945098876953125,-0.4947233200073242
156493,3553290,847,9.346702,-12.017507553100586,-11.953007698059082,-12.803691864013672,0.0644998550415039,-0.8506841659545898,-0.7861843109130859
47923,1496426,103,26.474058,-1.2015044689178467,-1.4698269367218018,-1.0022488832473755,-0.2683224678039551,0.46757805347442627,0.1992555856704712
1112341,7880070,137,13.435623,-11.71304702758789,-11.722965240478516,-11.436393737792969,-0.009918212890625,0.2865715026855469,0.2766532897949219
1117099,4131487,180,10.714578,-12.904204368591309,-12.981136322021484,-12.966303825378418,-0.07693195343017578,0.014832496643066406,-0.062099456787109375
573724,1600621,802,10.933676,-13.169294357299805,-12.977336883544922,-13.02001667022705,0.1919574737548828,-0.042679786682128906,0.1492776870727539
1133167,3023125,164,13.65869,1.6930779218673706,1.6368194818496704,1.987506628036499,-0.056258440017700195,0.3506871461868286,0.2944287061691284
1113437,5591642,173,12.442821,-10.350876808166504,-10.388643264770508,-8.922778129577637,-0.037766456604003906,1.465865135192871,1.4280986785888672
104861,2916631,208,19.007568,0.30693691968917847,0.37162622809410095,-0.3386598825454712,0.06468930840492249,-0.7102861106395721,-0.6455968022346497
1103812,1900485,193,15.647653,-12.207409858703613,-12.248849868774414,-12.043030738830566,-0.04144001007080078,0.20581912994384766,0.16437911987304688
915593,3191294,530,13.924497,-14.303535461425781,-14.258773803710938,-14.395475387573242,0.04476165771484375,-0.1367015838623047,-0.09193992614746094
1114646,8233327,695,8.017348,-9.918867111206055,-9.832792282104492,-8.549534797668457,0.0860748291015625,1.2832574844360352,1.3693323135375977
19335,6902387,832,10.450421,-9.739553451538086,-9.80863094329834,-8.925581932067871,-0.0690774917602539,0.8830490112304688,0.8139715194702148
1037798,6816049,601,10.680016,-13.397073745727539,-13.40294075012207,-13.393470764160156,-0.00586700439453125,0.009469985961914062,0.0036029815673828125
1063750,2047790,558,7.104919,-13.885109901428223,-13.920692443847656,-13.979909896850586,-0.035582542419433594,-0.05921745300292969,-0.09479999542236328
1115776,8106321,3,23.334087,5.882790565490723,5.86688232421875,5.851014137268066,-0.015908241271972656,-0.015868186950683594,-0.03177642822265625
451602,7205049,935,11.468267,-13.069307327270508,-13.066394805908203,-13.021858215332031,0.0029125213623046875,0.044536590576171875,0.04744911193847656
264014,3338820,960,12.362787,-9.141283988952637,-9.671995162963867,-10.396149635314941,-0.5307111740112305,-0.7241544723510742,-1.2548656463623047
1133167,1883273,229,12.570255,4.390753746032715,4.439060211181641,3.8968257904052734,0.04830646514892578,-0.5422344207763672,-0.4939279556274414
183378,1726139,256,12.278717,-12.829028129577637,-12.94862174987793,-13.188020706176758,-0.11959362030029297,-0.23939895629882812,-0.3589925765991211
130510,657854,619,10.729883,-13.058401107788086,-13.05717658996582,-12.995553970336914,0.001224517822265625,0.06162261962890625,0.06284713745117188
573724,4214949,906,10.812185,-13.184929847717285,-13.278709411621094,-13.143869400024414,-0.0937795639038086,0.1348400115966797,0.041060447692871094
