layer,component,direction,mean_effect,std_effect,n
0,decoder_cross_attn,forward,0.0204394958754448,0.021183767843692,
0,decoder_cross_attn,reverse,0.020824566269689003,0.022422888265759115,
0,decoder_mlp,forward,0.0204394958754448,0.021183767843692,
0,decoder_mlp,reverse,0.020824566269689003,0.022422888265759115,
0,decoder_self_attn,forward,0.0,0.0,
0,decoder_self_attn,reverse,0.0,0.0,
0,encoder_mlp,forward,0.02355880357785898,0.14975864210660228,
0,encoder_mlp,reverse,-1.4323131403139233,1.8634182116369604,
0,encoder_self_attn,forward,0.02355880357785898,0.14975864210660228,
0,encoder_self_attn,reverse,-1.4323131403139233,1.8634182116369604,
1,decoder_cross_attn,forward,0.03326932038570698,0.03667216637413798,
1,decoder_cross_attn,reverse,0.03293423627148275,0.03971176363373621,
1,decoder_mlp,forward,0.03326932038570698,0.03667216637413798,
1,decoder_mlp,reverse,0.03293423627148275,0.03971176363373621,
1,decoder_self_attn,forward,0.0204394958754448,0.021183767843692,
1,decoder_self_attn,reverse,0.020824566269689003,0.022422888265759115,
1,encoder_mlp,forward,0.10001393347173239,0.21273761740256647,
1,encoder_mlp,reverse,-0.1584193996577179,1.0513442978115626,
1,encoder_self_attn,forward,0.10001393347173239,0.21273761740256647,
1,encoder_self_attn,reverse,-0.1584193996577179,1.0513442978115626,
2,decoder_cross_attn,forward,0.09043531964597237,0.04758915842438319,
2,decoder_cross_attn,reverse,0.08860887754322957,0.045858341648623235,
2,decoder_mlp,forward,0.09043531964597237,0.04758915842438319,
2,decoder_mlp,reverse,0.08860887754322957,0.045858341648623235,
2,decoder_self_attn,forward,0.03326932038570698,0.03667216637413798,
2,decoder_self_attn,reverse,0.03293423627148275,0.03971176363373621,
2,encoder_mlp,forward,0.12698335028403557,0.30515884735249726,
2,encoder_mlp,reverse,0.2022128116881021,0.7966474211389879,
2,encoder_self_attn,forward,0.12698335028403557,0.30515884735249726,
2,encoder_self_attn,reverse,0.2022128116881021,0.7966474211389879,
3,decoder_cross_attn,forward,0.11432497348761253,0.05028042926223262,
3,decoder_cross_attn,reverse,0.11196290241613757,0.04896230326651916,
3,decoder_mlp,forward,0.11432497348761253,0.05028042926223262,
3,decoder_mlp,reverse,0.11196290241613757,0.04896230326651916,
3,decoder_self_attn,forward,0.09043531964597237,0.04758915842438319,
3,decoder_self_attn,reverse,0.08860887754322957,0.045858341648623235,
3,encoder_mlp,forward,0.13965976313498477,0.3778484391189122,
3,encoder_mlp,reverse,0.29858397699413797,0.8151524791499016,
3,encoder_self_attn,forward,0.13965976313498477,0.3778484391189122,
3,encoder_self_attn,reverse,0.29858397699413797,0.8151524791499016,
4,decoder_cross_attn,forward,0.15917037685683483,0.05515255955008014,
4,decoder_cross_attn,reverse,0.1586295343541938,0.053499388244611264,
4,decoder_mlp,forward,0.15917037685683483,0.05515255955008014,
4,decoder_mlp,reverse,0.1586295343541938,0.053499388244611264,
4,decoder_self_attn,forward,0.11432497348761253,0.05028042926223262,
4,decoder_self_attn,reverse,0.11196290241613757,0.04896230326651916,
4,encoder_mlp,forward,0.20024787998207827,0.460936272130236,
4,encoder_mlp,reverse,0.505021852738881,0.8235529501266184,
4,encoder_self_attn,forward,0.20024787998207827,0.460936272130236,
4,encoder_self_attn,reverse,0.505021852738881,0.8235529501266184,
5,decoder_cross_attn,forward,0.20507862400376772,0.05604636349020595,
5,decoder_cross_attn,reverse,0.20246448838240427,0.056086402450532,
5,decoder_mlp,forward,0.20507862400376772,0.05604636349020595,
5,decoder_mlp,reverse,0.20246448838240427,0.056086402450532,
5,decoder_self_attn,forward,0.15917037685683483,0.05515255955008014,
5,decoder_self_attn,reverse,0.1586295343541938,0.053499388244611264,
5,encoder_mlp,forward,0.24165732159190115,0.5096019600631094,
5,encoder_mlp,reverse,0.7014866993205736,0.8109585133069243,
5,encoder_self_attn,forward,0.24165732159190115,0.5096019600631094,
5,encoder_self_attn,reverse,0.7014866993205736,0.8109585133069243,
6,decoder_cross_attn,forward,0.3016678045502205,0.0674050471357381,
6,decoder_cross_attn,reverse,0.2970139110640139,0.06924556331784618,
6,decoder_mlp,forward,0.3016678045502205,0.0674050471357381,
6,decoder_mlp,reverse,0.2970139110640139,0.06924556331784618,
6,decoder_self_attn,forward,0.20507862400376772,0.05604636349020595,
6,decoder_self_attn,reverse,0.20246448838240427,0.056086402450532,
6,encoder_mlp,forward,0.29281820746839304,0.504536578988471,
6,encoder_mlp,reverse,0.7374108147732902,0.7885695533344992,
6,encoder_self_attn,forward,0.29281820746839304,0.504536578988471,
6,encoder_self_attn,reverse,0.7374108147732902,0.7885695533344992,
7,decoder_cross_attn,forward,0.3715464268986482,0.08258731271649296,
7,decoder_cross_attn,reverse,0.3667563010212712,0.08267856435018475,
7,decoder_mlp,forward,0.3715464268986482,0.08258731271649296,
7,decoder_mlp,reverse,0.3667563010212712,0.08267856435018475,
7,decoder_self_attn,forward,0.3016678045502205,0.0674050471357381,
7,decoder_self_attn,reverse,0.2970139110640139,0.06924556331784618,
7,encoder_mlp,forward,0.3722675084950254,0.5211664037402912,
7,encoder_mlp,reverse,0.8569685584208462,0.570569362668929,
7,encoder_self_attn,forward,0.3722675084950254,0.5211664037402912,
7,encoder_self_attn,reverse,0.8569685584208462,0.570569362668929,
8,decoder_cross_attn,forward,0.5154858835511288,0.07931182982696681,
8,decoder_cross_attn,reverse,0.5088567844555396,0.07872907408356311,
8,decoder_mlp,forward,0.5154858835511288,0.07931182982696681,
8,decoder_mlp,reverse,0.5088567844555396,0.07872907408356311,
8,decoder_self_attn,forward,0.3715464268986482,0.08258731271649296,
8,decoder_self_attn,reverse,0.3667563010212712,0.08267856435018475,
8,encoder_mlp,forward,0.43128567794539147,0.4836918680542144,
8,encoder_mlp,reverse,0.7887090175459722,0.5443788533583597,
8,encoder_self_attn,forward,0.43128567794539147,0.4836918680542144,
8,encoder_self_attn,reverse,0.7887090175459722,0.5443788533583597,
9,decoder_cross_attn,forward,0.6175877348245589,0.10794557188599888,
9,decoder_cross_attn,reverse,0.61743328643423,0.10203700733856322,
9,decoder_mlp,forward,0.6175877348245589,0.10794557188599888,
9,decoder_mlp,reverse,0.61743328643423,0.10203700733856322,
9,decoder_self_attn,forward,0.5154858835511288,0.07931182982696681,
9,decoder_self_attn,reverse,0.5088567844555396,0.07872907408356311,
9,encoder_mlp,forward,0.7012902113179613,0.5703335093882008,
9,encoder_mlp,reverse,0.8141592269258233,0.5961923888190563,
9,encoder_self_attn,forward,0.7012902113179613,0.5703335093882008,
9,encoder_self_attn,reverse,0.8141592269258233,0.5961923888190563,
10,decoder_cross_attn,forward,0.6599824208371471,0.13553465037104276,
10,decoder_cross_attn,reverse,0.661915364014073,0.12658600115213525,
10,decoder_mlp,forward,0.6599824208371471,0.13553465037104276,
10,decoder_mlp,reverse,0.661915364014073,0.12658600115213525,
10,decoder_self_attn,forward,0.6175877348245589,0.10794557188599888,
10,decoder_self_attn,reverse,0.61743328643423,0.10203700733856322,
10,encoder_mlp,forward,0.9968525628722952,0.20626373345653995,
10,encoder_mlp,reverse,0.9567225111573088,0.2447178267289434,
10,encoder_self_attn,forward,0.9968525628722952,0.20626373345653995,
10,encoder_self_attn,reverse,0.9567225111573088,0.2447178267289434,
11,decoder_cross_attn,forward,1.0,0.0,
11,decoder_cross_attn,reverse,1.0,0.0,
11,decoder_mlp,forward,1.0,0.0,
11,decoder_mlp,reverse,1.0,0.0,
11,decoder_self_attn,forward,0.6599824208371471,0.13553465037104276,
11,decoder_self_attn,reverse,0.661915364014073,0.12658600115213525,
11,encoder_mlp,forward,0.9868598883494069,0.03387914205988211,
11,encoder_mlp,reverse,0.9995027511730891,0.010031184040124935,
11,encoder_self_attn,forward,0.9868598883494069,0.03387914205988211,
11,encoder_self_attn,reverse,0.9995027511730891,0.010031184040124935,
