layer,component,direction,mean_effect,std_effect,n
0,decoder_cross_attn,forward,0.02607756422386288,0.013533075911428839,
0,decoder_cross_attn,reverse,0.025520981081483856,0.01483903111265915,
0,decoder_mlp,forward,0.02607756422386288,0.013533075911428839,
0,decoder_mlp,reverse,0.025520981081483856,0.01483903111265915,
0,decoder_self_attn,forward,0.0,0.0,
0,decoder_self_attn,reverse,0.0,0.0,
0,encoder_mlp,forward,0.00359677242462031,0.05160212455975078,
0,encoder_mlp,reverse,-0.47796890221951205,0.9642623081162437,
0,encoder_self_attn,forward,0.00359677242462031,0.05160212455975078,
0,encoder_self_attn,reverse,-0.47796890221951205,0.9642623081162437,
1,decoder_cross_attn,forward,0.053687039660225915,0.027643102298796338,
1,decoder_cross_attn,reverse,0.04935948816904719,0.03081044085605832,
1,decoder_mlp,forward,0.053687039660225915,0.027643102298796338,
1,decoder_mlp,reverse,0.04935948816904719,0.03081044085605832,
1,decoder_self_attn,forward,0.02607756422386288,0.013533075911428839,
1,decoder_self_attn,reverse,0.025520981081483856,0.01483903111265915,
1,encoder_mlp,forward,0.010533738462819294,0.06498681704064245,
1,encoder_mlp,reverse,-0.3172426614488346,0.8652753693691254,
1,encoder_self_attn,forward,0.010533738462819294,0.06498681704064245,
1,encoder_self_attn,reverse,-0.3172426614488346,0.8652753693691254,
2,decoder_cross_attn,forward,0.17512686665265356,0.06050699712190291,
2,decoder_cross_attn,reverse,0.16664301990995023,0.06717501658298645,
2,decoder_mlp,forward,0.17512686665265356,0.06050699712190291,
2,decoder_mlp,reverse,0.16664301990995023,0.06717501658298645,
2,decoder_self_attn,forward,0.053687039660225915,0.027643102298796338,
2,decoder_self_attn,reverse,0.04935948816904719,0.03081044085605832,
2,encoder_mlp,forward,0.016900437227457064,0.07772713039169328,
2,encoder_mlp,reverse,-0.24301215203698798,0.6338400996131511,
2,encoder_self_attn,forward,0.016900437227457064,0.07772713039169328,
2,encoder_self_attn,reverse,-0.24301215203698798,0.6338400996131511,
3,decoder_cross_attn,forward,0.19370276492125899,0.06218761277171261,
3,decoder_cross_attn,reverse,0.18432385097821033,0.07064708157790767,
3,decoder_mlp,forward,0.19370276492125899,0.06218761277171261,
3,decoder_mlp,reverse,0.18432385097821033,0.07064708157790767,
3,decoder_self_attn,forward,0.17512686665265356,0.06050699712190291,
3,decoder_self_attn,reverse,0.16664301990995023,0.06717501658298645,
3,encoder_mlp,forward,0.003577467381373649,0.07525194806373264,
3,encoder_mlp,reverse,0.3047054403006264,0.5615752805909175,
3,encoder_self_attn,forward,0.003577467381373649,0.07525194806373264,
3,encoder_self_attn,reverse,0.3047054403006264,0.5615752805909175,
4,decoder_cross_attn,forward,0.23050191113569513,0.06677206241471016,
4,decoder_cross_attn,reverse,0.2223454424416018,0.07428161349251758,
4,decoder_mlp,forward,0.23050191113569513,0.06677206241471016,
4,decoder_mlp,reverse,0.2223454424416018,0.07428161349251758,
4,decoder_self_attn,forward,0.19370276492125899,0.06218761277171261,
4,decoder_self_attn,reverse,0.18432385097821033,0.07064708157790767,
4,encoder_mlp,forward,0.03251365425389122,0.10563022380842961,
4,encoder_mlp,reverse,0.45831217429593407,0.591229499940257,
4,encoder_self_attn,forward,0.03251365425389122,0.10563022380842961,
4,encoder_self_attn,reverse,0.45831217429593407,0.591229499940257,
5,decoder_cross_attn,forward,0.2608785195776747,0.06507518090761005,
5,decoder_cross_attn,reverse,0.25072385868508784,0.06897577223280381,
5,decoder_mlp,forward,0.2608785195776747,0.06507518090761005,
5,decoder_mlp,reverse,0.25072385868508784,0.06897577223280381,
5,decoder_self_attn,forward,0.23050191113569513,0.06677206241471016,
5,decoder_self_attn,reverse,0.2223454424416018,0.07428161349251758,
