qid,docid,layer,component,direction,control_score,attack_score,patched_score,effect
490595,4763067,0,encoder_self_attn,forward,-7.654557228088379,-1.6664355993270874,-7.6747636795043945,-0.0033744223428867712
490595,4763067,0,encoder_self_attn,reverse,-7.654557228088379,-1.6664355993270874,-3.7403969764709473,0.3463459003876114
490595,4763067,0,encoder_mlp,forward,-7.654557228088379,-1.6664355993270874,-7.6747636795043945,-0.0033744223428867712
490595,4763067,0,encoder_mlp,reverse,-7.654557228088379,-1.6664355993270874,-3.7403969764709473,0.3463459003876114
490595,4763067,1,encoder_self_attn,forward,-7.654557228088379,-1.6664355993270874,-7.78598690032959,-0.021948397241957594
490595,4763067,1,encoder_self_attn,reverse,-7.654557228088379,-1.6664355993270874,-4.9720563888549805,0.5520296671414967
490595,4763067,1,encoder_mlp,forward,-7.654557228088379,-1.6664355993270874,-7.78598690032959,-0.021948397241957594
490595,4763067,1,encoder_mlp,reverse,-7.654557228088379,-1.6664355993270874,-4.9720563888549805,0.5520296671414967
490595,4763067,2,encoder_self_attn,forward,-7.654557228088379,-1.6664355993270874,-7.807596206665039,-0.025557092534928678
490595,4763067,2,encoder_self_attn,reverse,-7.654557228088379,-1.6664355993270874,-4.9620361328125,0.5503563116781821
490595,4763067,2,encoder_mlp,forward,-7.654557228088379,-1.6664355993270874,-7.807596206665039,-0.025557092534928678
490595,4763067,2,encoder_mlp,reverse,-7.654557228088379,-1.6664355993270874,-4.9620361328125,0.5503563116781821
490595,4763067,3,encoder_self_attn,forward,-7.654557228088379,-1.6664355993270874,-7.507166862487793,0.024613789555085447
490595,4763067,3,encoder_self_attn,reverse,-7.654557228088379,-1.6664355993270874,-3.513078212738037,0.30838428607418716
490595,4763067,3,encoder_mlp,forward,-7.654557228088379,-1.6664355993270874,-7.507166862487793,0.024613789555085447
490595,4763067,3,encoder_mlp,reverse,-7.654557228088379,-1.6664355993270874,-3.513078212738037,0.30838428607418716
490595,4763067,4,encoder_self_attn,forward,-7.654557228088379,-1.6664355993270874,-7.451676368713379,0.0338805508559732
490595,4763067,4,encoder_self_attn,reverse,-7.654557228088379,-1.6664355993270874,-2.3689591884613037,0.11731952566894353
490595,4763067,4,encoder_mlp,forward,-7.654557228088379,-1.6664355993270874,-7.451676368713379,0.0338805508559732
490595,4763067,4,encoder_mlp,reverse,-7.654557228088379,-1.6664355993270874,-2.3689591884613037,0.11731952566894353
490595,4763067,5,encoder_self_attn,forward,-7.654557228088379,-1.6664355993270874,-7.485237121582031,0.028275996548415696
490595,4763067,5,encoder_self_attn,reverse,-7.654557228088379,-1.6664355993270874,-6.655312538146973,0.833128858782364
490595,4763067,5,encoder_mlp,forward,-7.654557228088379,-1.6664355993270874,-7.485237121582031,0.028275996548415696
490595,4763067,5,encoder_mlp,reverse,-7.654557228088379,-1.6664355993270874,-6.655312538146973,0.833128858782364
490595,4763067,6,encoder_self_attn,forward,-7.654557228088379,-1.6664355993270874,-7.362707138061523,0.04873817001730271
490595,4763067,6,encoder_self_attn,reverse,-7.654557228088379,-1.6664355993270874,-6.9514360427856445,0.8825806773988019
490595,4763067,6,encoder_mlp,forward,-7.654557228088379,-1.6664355993270874,-7.362707138061523,0.04873817001730271
490595,4763067,6,encoder_mlp,reverse,-7.654557228088379,-1.6664355993270874,-6.9514360427856445,0.8825806773988019
490595,4763067,7,encoder_self_attn,forward,-7.654557228088379,-1.6664355993270874,-7.261471748352051,0.06564420432749997
490595,4763067,7,encoder_self_attn,reverse,-7.654557228088379,-1.6664355993270874,-7.396739959716797,0.9569452184916768
490595,4763067,7,encoder_mlp,forward,-7.654557228088379,-1.6664355993270874,-7.261471748352051,0.06564420432749997
490595,4763067,7,encoder_mlp,reverse,-7.654557228088379,-1.6664355993270874,-7.396739959716797,0.9569452184916768
490595,4763067,8,encoder_self_attn,forward,-7.654557228088379,-1.6664355993270874,-7.051479339599609,0.10071236455721805
490595,4763067,8,encoder_self_attn,reverse,-7.654557228088379,-1.6664355993270874,-6.481236457824707,0.8040586275622484
490595,4763067,8,encoder_mlp,forward,-7.654557228088379,-1.6664355993270874,-7.051479339599609,0.10071236455721805
490595,4763067,8,encoder_mlp,reverse,-7.654557228088379,-1.6664355993270874,-6.481236457824707,0.8040586275622484
490595,4763067,9,encoder_self_attn,forward,-7.654557228088379,-1.6664355993270874,-5.200029373168945,0.409899465490179
490595,4763067,9,encoder_self_attn,reverse,-7.654557228088379,-1.6664355993270874,-6.417634010314941,0.7934371920850064
490595,4763067,9,encoder_mlp,forward,-7.654557228088379,-1.6664355993270874,-5.200029373168945,0.409899465490179
490595,4763067,9,encoder_mlp,reverse,-7.654557228088379,-1.6664355993270874,-6.417634010314941,0.7934371920850064
490595,4763067,10,encoder_self_attn,forward,-7.654557228088379,-1.6664355993270874,-2.4646365642547607,0.86670261320447
490595,4763067,10,encoder_self_attn,reverse,-7.654557228088379,-1.6664355993270874,-6.736370086669922,0.8466652485800636
490595,4763067,10,encoder_mlp,forward,-7.654557228088379,-1.6664355993270874,-2.4646365642547607,0.86670261320447
490595,4763067,10,encoder_mlp,reverse,-7.654557228088379,-1.6664355993270874,-6.736370086669922,0.8466652485800636
490595,4763067,11,encoder_self_attn,forward,-7.654557228088379,-1.6664355993270874,-2.2077438831329346,0.9096029911607152
490595,4763067,11,encoder_self_attn,reverse,-7.654557228088379,-1.6664355993270874,-7.624114990234375,0.9949162292048666
490595,4763067,11,encoder_mlp,forward,-7.654557228088379,-1.6664355993270874,-2.2077438831329346,0.9096029911607152
490595,4763067,11,encoder_mlp,reverse,-7.654557228088379,-1.6664355993270874,-7.624114990234375,0.9949162292048666
490595,4763067,0,decoder_self_attn,forward,-7.654557228088379,-1.6664355993270874,-7.654557228088379,0.0
490595,4763067,0,decoder_self_attn,reverse,-7.654557228088379,-1.6664355993270874,-1.6664355993270874,0.0
490595,4763067,0,decoder_cross_attn,forward,-7.654557228088379,-1.6664355993270874,-7.575307846069336,0.013234430917101556
490595,4763067,0,decoder_cross_attn,reverse,-7.654557228088379,-1.6664355993270874,-1.7469077110290527,0.013438623443360463
490595,4763067,0,decoder_mlp,forward,-7.654557228088379,-1.6664355993270874,-7.575307846069336,0.013234430917101556
490595,4763067,0,decoder_mlp,reverse,-7.654557228088379,-1.6664355993270874,-1.7469077110290527,0.013438623443360463
490595,4763067,1,decoder_self_attn,forward,-7.654557228088379,-1.6664355993270874,-7.575307846069336,0.013234430917101556
490595,4763067,1,decoder_self_attn,reverse,-7.654557228088379,-1.6664355993270874,-1.7469077110290527,0.013438623443360463
490595,4763067,1,decoder_cross_attn,forward,-7.654557228088379,-1.6664355993270874,-7.520771026611328,0.022341931205015608
490595,4763067,1,decoder_cross_attn,reverse,-7.654557228088379,-1.6664355993270874,-1.7636668682098389,0.01623735703960055
490595,4763067,1,decoder_mlp,forward,-7.654557228088379,-1.6664355993270874,-7.520771026611328,0.022341931205015608
490595,4763067,1,decoder_mlp,reverse,-7.654557228088379,-1.6664355993270874,-1.7636668682098389,0.01623735703960055
490595,4763067,2,decoder_self_attn,forward,-7.654557228088379,-1.6664355993270874,-7.520771026611328,0.022341931205015608
490595,4763067,2,decoder_self_attn,reverse,-7.654557228088379,-1.6664355993270874,-1.7636668682098389,0.01623735703960055
490595,4763067,2,decoder_cross_attn,forward,-7.654557228088379,-1.6664355993270874,-6.9616241455078125,0.11571793719960013
