qid,docid,rank,bm25_score,original_score,control_score,attack_score,control_delta_vs_original,attack_delta_vs_control,attack_delta_vs_original
1103812,3202701,900,12.541065,-12.88609504699707,-12.899150848388672,-12.940961837768555,-0.013055801391601562,-0.04181098937988281,-0.054866790771484375
527433,199249,296,20.958233,-13.010591506958008,-13.068084716796875,-13.096116065979004,-0.05749320983886719,-0.028031349182128906,-0.0855245590209961
148538,963821,639,16.673933,-10.899344444274902,-10.929342269897461,-11.102042198181152,-0.029997825622558594,-0.1726999282836914,-0.20269775390625
264014,5328095,19,23.129852,4.954717636108398,4.955177307128906,4.966294288635254,0.0004596710205078125,0.011116981506347656,0.011576652526855469
131843,8073461,44,6.3777733,-13.685620307922363,-13.706125259399414,-13.779435157775879,-0.02050495147705078,-0.07330989837646484,-0.09381484985351562
451602,8294680,628,12.772134,-11.517167091369629,-11.545208930969238,-11.56965446472168,-0.028041839599609375,-0.024445533752441406,-0.05248737335205078
168216,3908778,144,24.050869,0.782355546951294,0.7713578343391418,0.7283303737640381,-0.0109977126121521,-0.04302746057510376,-0.05402517318725586
130510,8614562,717,10.578865,-12.98244857788086,-12.98775863647461,-13.052058219909668,-0.00531005859375,-0.0642995834350586,-0.0696096420288086
1112341,4560142,736,11.507101,-14.439285278320312,-14.443235397338867,-14.436141967773438,-0.0039501190185546875,0.0070934295654296875,0.003143310546875
1133167,2750180,697,10.607595,-11.038500785827637,-10.982155799865723,-11.202855110168457,0.05634498596191406,-0.22069931030273438,-0.1643543243408203
1129237,2913079,693,13.030432,-5.938738822937012,-5.922384262084961,-5.800205230712891,0.01635456085205078,0.12217903137207031,0.1385335922241211
87452,6073899,646,11.124613,-12.017468452453613,-12.027052879333496,-12.025412559509277,-0.009584426879882812,0.00164031982421875,-0.007944107055664062
156493,911794,82,15.650091,-5.877462387084961,-5.836208343505859,-6.4030303955078125,0.04125404357910156,-0.5668220520019531,-0.5255680084228516
148538,5427174,952,15.420052,-8.756421089172363,-8.931086540222168,-9.169577598571777,-0.1746654510498047,-0.23849105834960938,-0.41315650939941406
130510,984907,140,12.764076,-13.279563903808594,-13.28782844543457,-13.367738723754883,-0.008264541625976562,-0.0799102783203125,-0.08817481994628906
451602,7265404,328,14.074535,-10.894426345825195,-10.935704231262207,-11.020713806152344,-0.04127788543701172,-0.08500957489013672,-0.12628746032714844
183378,2710646,247,12.411176,-12.091257095336914,-12.101003646850586,-11.960329055786133,-0.009746551513671875,0.14067459106445312,0.13092803955078125
1114819,8024890,113,19.147913,2.313046455383301,2.3808202743530273,2.4679951667785645,0.06777381896972656,0.08717489242553711,0.15494871139526367
