layer,component,direction,mean_effect,std_effect,n
0,decoder_cross_attn,forward,0.03397648453942031,0.04819131919331864,
0,decoder_cross_attn,reverse,0.033299032192645676,0.048757636923898236,
0,decoder_mlp,forward,0.03397648453942031,0.04819131919331864,
0,decoder_mlp,reverse,0.033299032192645676,0.048757636923898236,
0,decoder_self_attn,forward,0.0,0.0,
0,decoder_self_attn,reverse,0.0,0.0,
0,encoder_mlp,forward,0.1705430717633746,0.2795196758591317,
0,encoder_mlp,reverse,-1.181193796422421,2.284194673608368,
0,encoder_self_attn,forward,0.1705430717633746,0.2795196758591317,
0,encoder_self_attn,reverse,-1.181193796422421,2.284194673608368,
1,decoder_cross_attn,forward,-0.03238029552366826,0.105153849234772,
1,decoder_cross_attn,reverse,-0.02908265358359666,0.10296282431389707,
1,decoder_mlp,forward,-0.03238029552366826,0.105153849234772,
1,decoder_mlp,reverse,-0.02908265358359666,0.10296282431389707,
1,decoder_self_attn,forward,0.03397648453942031,0.04819131919331864,
1,decoder_self_attn,reverse,0.033299032192645676,0.048757636923898236,
1,encoder_mlp,forward,0.16902752535920404,0.3147684145913423,
1,encoder_mlp,reverse,-0.9533227685240908,1.7750304109562722,
1,encoder_self_attn,forward,0.16902752535920404,0.3147684145913423,
1,encoder_self_attn,reverse,-0.9533227685240908,1.7750304109562722,
2,decoder_cross_attn,forward,-0.014917519012065667,0.1124177017697697,
2,decoder_cross_attn,reverse,-0.012399853324239984,0.1111102471947491,
2,decoder_mlp,forward,-0.014917519012065667,0.1124177017697697,
2,decoder_mlp,reverse,-0.012399853324239984,0.1111102471947491,
2,decoder_self_attn,forward,-0.03238029552366826,0.105153849234772,
2,decoder_self_attn,reverse,-0.02908265358359666,0.10296282431389707,
2,encoder_mlp,forward,0.10373180304814508,0.39428240746026816,
2,encoder_mlp,reverse,-1.4466502300830664,1.681316166479981,
2,encoder_self_attn,forward,0.10373180304814508,0.39428240746026816,
2,encoder_self_attn,reverse,-1.4466502300830664,1.681316166479981,
3,decoder_cross_attn,forward,-0.0117077479723417,0.12285358597403975,
3,decoder_cross_attn,reverse,-0.010564268886702028,0.12316611667074936,
3,decoder_mlp,forward,-0.0117077479723417,0.12285358597403975,
3,decoder_mlp,reverse,-0.010564268886702028,0.12316611667074936,
3,decoder_self_attn,forward,-0.014917519012065667,0.1124177017697697,
3,decoder_self_attn,reverse,-0.012399853324239984,0.1111102471947491,
3,encoder_mlp,forward,0.22060134425754999,0.4555171201252438,
3,encoder_mlp,reverse,-1.5345078852891796,2.183438955132224,
3,encoder_self_attn,forward,0.22060134425754999,0.4555171201252438,
3,encoder_self_attn,reverse,-1.5345078852891796,2.183438955132224,
4,decoder_cross_attn,forward,0.0010389018401977404,0.12911708003096983,
4,decoder_cross_attn,reverse,0.0007909274931737052,0.13083525081249248,
4,decoder_mlp,forward,0.0010389018401977404,0.12911708003096983,
4,decoder_mlp,reverse,0.0007909274931737052,0.13083525081249248,
4,decoder_self_attn,forward,-0.0117077479723417,0.12285358597403975,
4,decoder_self_attn,reverse,-0.010564268886702028,0.12316611667074936,
4,encoder_mlp,forward,0.18917685085765001,0.5148867932667253,
4,encoder_mlp,reverse,-1.5183062617619218,2.4296412348817635,
4,encoder_self_attn,forward,0.18917685085765001,0.5148867932667253,
4,encoder_self_attn,reverse,-1.5183062617619218,2.4296412348817635,
5,decoder_cross_attn,forward,0.022136255211443395,0.16853356095051014,
5,decoder_cross_attn,reverse,0.01936323676163527,0.1683747611316795,
5,decoder_mlp,forward,0.022136255211443395,0.16853356095051014,
5,decoder_mlp,reverse,0.01936323676163527,0.1683747611316795,
5,decoder_self_attn,forward,0.0010389018401977404,0.12911708003096983,
5,decoder_self_attn,reverse,0.0007909274931737052,0.13083525081249248,
5,encoder_mlp,forward,0.33651186982331893,0.5532329603704508,
5,encoder_mlp,reverse,-1.1953365855670701,1.865410172873901,
5,encoder_self_attn,forward,0.33651186982331893,0.5532329603704508,
5,encoder_self_attn,reverse,-1.1953365855670701,1.865410172873901,
6,decoder_cross_attn,forward,0.10869870676840249,0.16489869292470757,
6,decoder_cross_attn,reverse,0.10445248449120642,0.16404439822157893,
6,decoder_mlp,forward,0.10869870676840249,0.16489869292470757,
6,decoder_mlp,reverse,0.10445248449120642,0.16404439822157893,
6,decoder_self_attn,forward,0.022136255211443395,0.16853356095051014,
6,decoder_self_attn,reverse,0.01936323676163527,0.1683747611316795,
6,encoder_mlp,forward,0.4467130811827552,0.5498205336914007,
6,encoder_mlp,reverse,-1.0356873025656155,2.0209771077461016,
6,encoder_self_attn,forward,0.4467130811827552,0.5498205336914007,
6,encoder_self_attn,reverse,-1.0356873025656155,2.0209771077461016,
7,decoder_cross_attn,forward,0.17214878099103167,0.18770805076720343,
7,decoder_cross_attn,reverse,0.16838572772675203,0.18564017217355058,
7,decoder_mlp,forward,0.17214878099103167,0.18770805076720343,
7,decoder_mlp,reverse,0.16838572772675203,0.18564017217355058,
7,decoder_self_attn,forward,0.10869870676840249,0.16489869292470757,
7,decoder_self_attn,reverse,0.10445248449120642,0.16404439822157893,
7,encoder_mlp,forward,0.5690992107304601,0.49103677577791277,
7,encoder_mlp,reverse,-0.5611573038960337,1.9777381935694676,
7,encoder_self_attn,forward,0.5690992107304601,0.49103677577791277,
7,encoder_self_attn,reverse,-0.5611573038960337,1.9777381935694676,
8,decoder_cross_attn,forward,0.315370235757744,0.190079821821934,
8,decoder_cross_attn,reverse,0.3086345386265503,0.18967723984687201,
8,decoder_mlp,forward,0.315370235757744,0.190079821821934,
8,decoder_mlp,reverse,0.3086345386265503,0.18967723984687201,
8,decoder_self_attn,forward,0.17214878099103167,0.18770805076720343,
8,decoder_self_attn,reverse,0.16838572772675203,0.18564017217355058,
8,encoder_mlp,forward,0.7036789484843792,0.4376184476605736,
8,encoder_mlp,reverse,-0.6741667044979375,1.5345414379351736,
8,encoder_self_attn,forward,0.7036789484843792,0.4376184476605736,
8,encoder_self_attn,reverse,-0.6741667044979375,1.5345414379351736,
9,decoder_cross_attn,forward,0.4178409423243718,0.2294615417928273,
9,decoder_cross_attn,reverse,0.41232456784906796,0.22793962528166262,
9,decoder_mlp,forward,0.4178409423243718,0.2294615417928273,
9,decoder_mlp,reverse,0.41232456784906796,0.22793962528166262,
9,decoder_self_attn,forward,0.315370235757744,0.190079821821934,
9,decoder_self_attn,reverse,0.3086345386265503,0.18967723984687201,
9,encoder_mlp,forward,0.7564389351593666,0.3656934199467354,
9,encoder_mlp,reverse,-0.05157663398547612,0.878304350257804,
9,encoder_self_attn,forward,0.7564389351593666,0.3656934199467354,
9,encoder_self_attn,reverse,-0.05157663398547612,0.878304350257804,
10,decoder_cross_attn,forward,0.49927025554598253,0.20677198296289112,
10,decoder_cross_attn,reverse,0.4938397567153421,0.20808499016241852,
10,decoder_mlp,forward,0.49927025554598253,0.20677198296289112,
10,decoder_mlp,reverse,0.4938397567153421,0.20808499016241852,
10,decoder_self_attn,forward,0.4178409423243718,0.2294615417928273,
10,decoder_self_attn,reverse,0.41232456784906796,0.22793962528166262,
10,encoder_mlp,forward,1.031673683740269,0.31363697027697385,
10,encoder_mlp,reverse,0.40585077132506586,0.45069654158649974,
10,encoder_self_attn,forward,1.031673683740269,0.31363697027697385,
10,encoder_self_attn,reverse,0.40585077132506586,0.45069654158649974,
11,decoder_cross_attn,forward,1.0,0.0,
11,decoder_cross_attn,reverse,1.0,0.0,
11,decoder_mlp,forward,1.0,0.0,
11,decoder_mlp,reverse,1.0,0.0,
11,decoder_self_attn,forward,0.49927025554598253,0.20677198296289112,
11,decoder_self_attn,reverse,0.4938397567153421,0.20808499016241852,
11,encoder_mlp,forward,1.0189748027845071,0.1594592287155581,
11,encoder_mlp,reverse,0.9564768911703017,0.07559971877399334,
11,encoder_self_attn,forward,1.0189748027845071,0.1594592287155581,
11,encoder_self_attn,reverse,0.9564768911703017,0.07559971877399334,
