qid,docid,layer,component,direction,control_score,attack_score,patched_score,effect
1114646,8233327,0,encoder_self_attn,forward,-9.867744445800781,-8.007861137390137,-9.121682167053223,0.40113391811935933
1114646,8233327,0,encoder_self_attn,reverse,-9.867744445800781,-8.007861137390137,-8.802201271057129,0.4270913826017355
1114646,8233327,0,encoder_mlp,forward,-9.867744445800781,-8.007861137390137,-9.121682167053223,0.40113391811935933
1114646,8233327,0,encoder_mlp,reverse,-9.867744445800781,-8.007861137390137,-8.802201271057129,0.4270913826017355
1114646,8233327,1,encoder_self_attn,forward,-9.867744445800781,-8.007861137390137,-8.758171081542969,0.5965822475206758
1114646,8233327,1,encoder_self_attn,reverse,-9.867744445800781,-8.007861137390137,-8.95440673828125,0.5089274131396877
1114646,8233327,1,encoder_mlp,forward,-9.867744445800781,-8.007861137390137,-8.758171081542969,0.5965822475206758
1114646,8233327,1,encoder_mlp,reverse,-9.867744445800781,-8.007861137390137,-8.95440673828125,0.5089274131396877
1114646,8233327,2,encoder_self_attn,forward,-9.867744445800781,-8.007861137390137,-8.5053129196167,0.7325360252565212
1114646,8233327,2,encoder_self_attn,reverse,-9.867744445800781,-8.007861137390137,-9.585715293884277,0.8483619103192497
1114646,8233327,2,encoder_mlp,forward,-9.867744445800781,-8.007861137390137,-8.5053129196167,0.7325360252565212
1114646,8233327,2,encoder_mlp,reverse,-9.867744445800781,-8.007861137390137,-9.585715293884277,0.8483619103192497
1114646,8233327,3,encoder_self_attn,forward,-9.867744445800781,-8.007861137390137,-8.163833618164062,0.9161385662914457
1114646,8233327,3,encoder_self_attn,reverse,-9.867744445800781,-8.007861137390137,-9.819982528686523,0.9743199388379519
1114646,8233327,3,encoder_mlp,forward,-9.867744445800781,-8.007861137390137,-8.163833618164062,0.9161385662914457
1114646,8233327,3,encoder_mlp,reverse,-9.867744445800781,-8.007861137390137,-9.819982528686523,0.9743199388379519
1114646,8233327,4,encoder_self_attn,forward,-9.867744445800781,-8.007861137390137,-7.781325340270996,1.1218010807961527
1114646,8233327,4,encoder_self_attn,reverse,-9.867744445800781,-8.007861137390137,-9.568155288696289,0.8389204549824661
1114646,8233327,4,encoder_mlp,forward,-9.867744445800781,-8.007861137390137,-7.781325340270996,1.1218010807961527
1114646,8233327,4,encoder_mlp,reverse,-9.867744445800781,-8.007861137390137,-9.568155288696289,0.8389204549824661
1114646,8233327,5,encoder_self_attn,forward,-9.867744445800781,-8.007861137390137,-7.599808692932129,1.219396799042574
1114646,8233327,5,encoder_self_attn,reverse,-9.867744445800781,-8.007861137390137,-9.710075378417969,0.9152263657242303
1114646,8233327,5,encoder_mlp,forward,-9.867744445800781,-8.007861137390137,-7.599808692932129,1.219396799042574
1114646,8233327,5,encoder_mlp,reverse,-9.867744445800781,-8.007861137390137,-9.710075378417969,0.9152263657242303
1114646,8233327,6,encoder_self_attn,forward,-9.867744445800781,-8.007861137390137,-7.372795104980469,1.3414547727472004
1114646,8233327,6,encoder_self_attn,reverse,-9.867744445800781,-8.007861137390137,-9.770560264587402,0.9477471619999498
1114646,8233327,6,encoder_mlp,forward,-9.867744445800781,-8.007861137390137,-7.372795104980469,1.3414547727472004
1114646,8233327,6,encoder_mlp,reverse,-9.867744445800781,-8.007861137390137,-9.770560264587402,0.9477471619999498
1114646,8233327,7,encoder_self_attn,forward,-9.867744445800781,-8.007861137390137,-7.520557403564453,1.262007692429966
1114646,8233327,7,encoder_self_attn,reverse,-9.867744445800781,-8.007861137390137,-9.74104118347168,0.9318756925468753
1114646,8233327,7,encoder_mlp,forward,-9.867744445800781,-8.007861137390137,-7.520557403564453,1.262007692429966
