layer,component,direction,mean_effect,std_effect,n
0,decoder_cross_attn,forward,0.033305166658254046,0.08781629979434338,
0,decoder_cross_attn,reverse,0.030355525312642018,0.08895794529067284,
0,decoder_mlp,forward,0.033305166658254046,0.08781629979434338,
0,decoder_mlp,reverse,0.030355525312642018,0.08895794529067284,
0,decoder_self_attn,forward,0.0,0.0,
0,decoder_self_attn,reverse,0.0,0.0,
0,encoder_mlp,forward,0.1681798992103791,0.3125132290419954,
0,encoder_mlp,reverse,-0.5155528996693198,1.888568998229121,
0,encoder_self_attn,forward,0.1681798992103791,0.3125132290419954,
0,encoder_self_attn,reverse,-0.5155528996693198,1.888568998229121,
1,decoder_cross_attn,forward,0.022997568088349612,0.1570562642470503,
1,decoder_cross_attn,reverse,0.011525483337028901,0.16855951123554128,
1,decoder_mlp,forward,0.022997568088349612,0.1570562642470503,
1,decoder_mlp,reverse,0.011525483337028901,0.16855951123554128,
1,decoder_self_attn,forward,0.033305166658254046,0.08781629979434338,
1,decoder_self_attn,reverse,0.030355525312642018,0.08895794529067284,
1,encoder_mlp,forward,0.2866323578160161,0.4078056406708562,
1,encoder_mlp,reverse,0.3273314691893457,1.3675200149305478,
1,encoder_self_attn,forward,0.2866323578160161,0.4078056406708562,
1,encoder_self_attn,reverse,0.3273314691893457,1.3675200149305478,
2,decoder_cross_attn,forward,0.06323474258702379,0.2597623282862774,
2,decoder_cross_attn,reverse,0.04889099037599888,0.2807937740331961,
2,decoder_mlp,forward,0.06323474258702379,0.2597623282862774,
2,decoder_mlp,reverse,0.04889099037599888,0.2807937740331961,
2,decoder_self_attn,forward,0.022997568088349612,0.1570562642470503,
2,decoder_self_attn,reverse,0.011525483337028901,0.16855951123554128,
2,encoder_mlp,forward,0.31920321913886673,0.4695135086820987,
2,encoder_mlp,reverse,0.39860547170449045,1.3600479825881162,
2,encoder_self_attn,forward,0.31920321913886673,0.4695135086820987,
2,encoder_self_attn,reverse,0.39860547170449045,1.3600479825881162,
3,decoder_cross_attn,forward,0.0773298434351984,0.26296032255323426,
3,decoder_cross_attn,reverse,0.062015257434569676,0.28177750893014786,
3,decoder_mlp,forward,0.0773298434351984,0.26296032255323426,
3,decoder_mlp,reverse,0.062015257434569676,0.28177750893014786,
3,decoder_self_attn,forward,0.06323474258702379,0.2597623282862774,
3,decoder_self_attn,reverse,0.04889099037599888,0.2807937740331961,
3,encoder_mlp,forward,0.3696968273629006,0.47092138241975895,
3,encoder_mlp,reverse,0.548590630855419,1.365292835390784,
3,encoder_self_attn,forward,0.3696968273629006,0.47092138241975895,
3,encoder_self_attn,reverse,0.548590630855419,1.365292835390784,
4,decoder_cross_attn,forward,0.1188246496588418,0.28673120404122654,
4,decoder_cross_attn,reverse,0.1053605162808906,0.30852446206824313,
4,decoder_mlp,forward,0.1188246496588418,0.28673120404122654,
4,decoder_mlp,reverse,0.1053605162808906,0.30852446206824313,
4,decoder_self_attn,forward,0.0773298434351984,0.26296032255323426,
4,decoder_self_attn,reverse,0.062015257434569676,0.28177750893014786,
4,encoder_mlp,forward,0.40162726014801564,0.5946863309146836,
4,encoder_mlp,reverse,0.5732730882818226,1.2943142708138793,
4,encoder_self_attn,forward,0.40162726014801564,0.5946863309146836,
4,encoder_self_attn,reverse,0.5732730882818226,1.2943142708138793,
5,decoder_cross_attn,forward,0.14545227004827588,0.29639737272990285,
5,decoder_cross_attn,reverse,0.12682236616631615,0.3133093593531758,
5,decoder_mlp,forward,0.14545227004827588,0.29639737272990285,
5,decoder_mlp,reverse,0.12682236616631615,0.3133093593531758,
5,decoder_self_attn,forward,0.1188246496588418,0.28673120404122654,
5,decoder_self_attn,reverse,0.1053605162808906,0.30852446206824313,
5,encoder_mlp,forward,0.5990804591807972,0.5890714549894167,
5,encoder_mlp,reverse,0.6789988776812251,1.224483660632759,
5,encoder_self_attn,forward,0.5990804591807972,0.5890714549894167,
5,encoder_self_attn,reverse,0.6789988776812251,1.224483660632759,
6,decoder_cross_attn,forward,0.2294041136777017,0.2996338979815644,
6,decoder_cross_attn,reverse,0.21167446096816295,0.31584537168717974,
6,decoder_mlp,forward,0.2294041136777017,0.2996338979815644,
6,decoder_mlp,reverse,0.21167446096816295,0.31584537168717974,
6,decoder_self_attn,forward,0.14545227004827588,0.29639737272990285,
6,decoder_self_attn,reverse,0.12682236616631615,0.3133093593531758,
6,encoder_mlp,forward,0.6601485510032405,0.5999405126084061,
6,encoder_mlp,reverse,0.7109955110120195,1.0768827660345137,
6,encoder_self_attn,forward,0.6601485510032405,0.5999405126084061,
6,encoder_self_attn,reverse,0.7109955110120195,1.0768827660345137,
7,decoder_cross_attn,forward,0.29826604475136337,0.28164249301796385,
7,decoder_cross_attn,reverse,0.28116586340699784,0.29920709966345527,
7,decoder_mlp,forward,0.29826604475136337,0.28164249301796385,
7,decoder_mlp,reverse,0.28116586340699784,0.29920709966345527,
7,decoder_self_attn,forward,0.2294041136777017,0.2996338979815644,
7,decoder_self_attn,reverse,0.21167446096816295,0.31584537168717974,
7,encoder_mlp,forward,0.798972668681562,0.6712703495268216,
7,encoder_mlp,reverse,0.6815844136914222,1.2637281418737532,
7,encoder_self_attn,forward,0.798972668681562,0.6712703495268216,
7,encoder_self_attn,reverse,0.6815844136914222,1.2637281418737532,
8,decoder_cross_attn,forward,0.429960132662542,0.19666663600531137,
8,decoder_cross_attn,reverse,0.41213037966830973,0.21502671557377934,
8,decoder_mlp,forward,0.429960132662542,0.19666663600531137,
8,decoder_mlp,reverse,0.41213037966830973,0.21502671557377934,
8,decoder_self_attn,forward,0.29826604475136337,0.28164249301796385,
8,decoder_self_attn,reverse,0.28116586340699784,0.29920709966345527,
8,encoder_mlp,forward,0.8448321365126854,0.6665343777487218,
8,encoder_mlp,reverse,0.5603344686935385,1.4241214067576955,
8,encoder_self_attn,forward,0.8448321365126854,0.6665343777487218,
8,encoder_self_attn,reverse,0.5603344686935385,1.4241214067576955,
9,decoder_cross_attn,forward,0.5036970026490937,0.15672215699663666,
9,decoder_cross_attn,reverse,0.47523719223128474,0.1707365633321943,
9,decoder_mlp,forward,0.5036970026490937,0.15672215699663666,
9,decoder_mlp,reverse,0.47523719223128474,0.1707365633321943,
9,decoder_self_attn,forward,0.429960132662542,0.19666663600531137,
9,decoder_self_attn,reverse,0.41213037966830973,0.21502671557377934,
9,encoder_mlp,forward,1.0016324489757542,0.675223626279435,
9,encoder_mlp,reverse,0.7740069550661987,0.7440351111926127,
9,encoder_self_attn,forward,1.0016324489757542,0.675223626279435,
9,encoder_self_attn,reverse,0.7740069550661987,0.7440351111926127,
10,decoder_cross_attn,forward,0.5574769104430904,0.1478427491442097,
10,decoder_cross_attn,reverse,0.539273649404309,0.1411019789329255,
10,decoder_mlp,forward,0.5574769104430904,0.1478427491442097,
10,decoder_mlp,reverse,0.539273649404309,0.1411019789329255,
10,decoder_self_attn,forward,0.5036970026490937,0.15672215699663666,
10,decoder_self_attn,reverse,0.47523719223128474,0.1707365633321943,
10,encoder_mlp,forward,1.0033652077255883,0.4189251807459343,
10,encoder_mlp,reverse,0.9249840286724901,0.36423406686917587,
10,encoder_self_attn,forward,1.0033652077255883,0.4189251807459343,
10,encoder_self_attn,reverse,0.9249840286724901,0.36423406686917587,
11,decoder_cross_attn,forward,1.0,0.0,
11,decoder_cross_attn,reverse,1.0,0.0,
11,decoder_mlp,forward,1.0,0.0,
11,decoder_mlp,reverse,1.0,0.0,
11,decoder_self_attn,forward,0.5574769104430904,0.1478427491442097,
11,decoder_self_attn,reverse,0.539273649404309,0.1411019789329255,
11,encoder_mlp,forward,0.9337287859599872,0.2705857847077649,
11,encoder_mlp,reverse,0.9911499264742345,0.0489379517527261,
11,encoder_self_attn,forward,0.9337287859599872,0.2705857847077649,
11,encoder_self_attn,reverse,0.9911499264742345,0.0489379517527261,
