qid,docid,rank,bm25_score,original_score,control_score,attack_score,control_delta_vs_original,attack_delta_vs_control,attack_delta_vs_original
1103812,3202701,900,12.541065,-12.88609504699707,-12.906417846679688,-12.795425415039062,-0.020322799682617188,0.110992431640625,0.09066963195800781
527433,199249,296,20.958233,-13.010591506958008,-13.09531307220459,-13.142324447631836,-0.08472156524658203,-0.047011375427246094,-0.13173294067382812
148538,963821,639,16.673933,-10.899344444274902,-10.950817108154297,-11.429441452026367,-0.05147266387939453,-0.4786243438720703,-0.5300970077514648
264014,5328095,19,23.129852,4.954717636108398,4.77503776550293,4.627433776855469,-0.17967987060546875,-0.14760398864746094,-0.3272838592529297
131843,8073461,44,6.3777733,-13.685620307922363,-13.781317710876465,-13.939807891845703,-0.09569740295410156,-0.15849018096923828,-0.25418758392333984
451602,8294680,628,12.772134,-11.517167091369629,-11.420289993286133,-11.466348648071289,0.0968770980834961,-0.04605865478515625,0.050818443298339844
168216,3908778,144,24.050869,0.782355546951294,0.8225587010383606,0.8112614750862122,0.04020315408706665,-0.011297225952148438,0.028905928134918213
130510,8614562,717,10.578865,-12.98244857788086,-12.951910018920898,-13.151926040649414,0.030538558959960938,-0.20001602172851562,-0.1694774627685547
1112341,4560142,736,11.507101,-14.439285278320312,-14.445394515991211,-14.449274063110352,-0.0061092376708984375,-0.003879547119140625,-0.009988784790039062
1133167,2750180,697,10.607595,-11.038500785827637,-10.895203590393066,-11.920278549194336,0.1432971954345703,-1.0250749588012695,-0.8817777633666992
1129237,2913079,693,13.030432,-5.938738822937012,-5.8734025955200195,-5.907825469970703,0.06533622741699219,-0.034422874450683594,0.030913352966308594
87452,6073899,646,11.124613,-12.017468452453613,-11.987564086914062,-12.257211685180664,0.02990436553955078,-0.26964759826660156,-0.23974323272705078
156493,911794,82,15.650091,-5.877462387084961,-4.969633102416992,-6.775470733642578,0.9078292846679688,-1.805837631225586,-0.8980083465576172
