layer,component,direction,mean_effect,std_effect,n
0,decoder_cross_attn,forward,0.03687707178583052,0.0788151409986939,
0,decoder_cross_attn,reverse,0.036169282947988955,0.07811737077503615,
0,decoder_mlp,forward,0.03687707178583052,0.0788151409986939,
0,decoder_mlp,reverse,0.036169282947988955,0.07811737077503615,
0,decoder_self_attn,forward,0.0,0.0,
0,decoder_self_attn,reverse,0.0,0.0,
0,encoder_mlp,forward,0.20498150449973512,0.34979041403883265,
0,encoder_mlp,reverse,0.6020440482456999,1.2447101920864068,
0,encoder_self_attn,forward,0.20498150449973512,0.34979041403883265,
0,encoder_self_attn,reverse,0.6020440482456999,1.2447101920864068,
1,decoder_cross_attn,forward,0.02702280043190446,0.09695543506425575,
1,decoder_cross_attn,reverse,0.02418026030205687,0.09673858349277217,
1,decoder_mlp,forward,0.02702280043190446,0.09695543506425575,
1,decoder_mlp,reverse,0.02418026030205687,0.09673858349277217,
1,decoder_self_attn,forward,0.03687707178583052,0.0788151409986939,
1,decoder_self_attn,reverse,0.036169282947988955,0.07811737077503615,
1,encoder_mlp,forward,0.35315300037167197,0.4589863661946979,
1,encoder_mlp,reverse,0.824279202257637,1.0516894663990028,
1,encoder_self_attn,forward,0.35315300037167197,0.4589863661946979,
1,encoder_self_attn,reverse,0.824279202257637,1.0516894663990028,
2,decoder_cross_attn,forward,0.03491340537952139,0.1215026280528336,
2,decoder_cross_attn,reverse,0.030461532077371265,0.1242664508853695,
2,decoder_mlp,forward,0.03491340537952139,0.1215026280528336,
2,decoder_mlp,reverse,0.030461532077371265,0.1242664508853695,
2,decoder_self_attn,forward,0.02702280043190446,0.09695543506425575,
2,decoder_self_attn,reverse,0.02418026030205687,0.09673858349277217,
2,encoder_mlp,forward,0.4711004693700492,0.490062458751507,
2,encoder_mlp,reverse,0.9903198665116465,1.0621368498774493,
2,encoder_self_attn,forward,0.4711004693700492,0.490062458751507,
2,encoder_self_attn,reverse,0.9903198665116465,1.0621368498774493,
3,decoder_cross_attn,forward,0.028147691357099103,0.15587174255222586,
3,decoder_cross_attn,reverse,0.022046737256362976,0.15953413185150442,
3,decoder_mlp,forward,0.028147691357099103,0.15587174255222586,
3,decoder_mlp,reverse,0.022046737256362976,0.15953413185150442,
3,decoder_self_attn,forward,0.03491340537952139,0.1215026280528336,
3,decoder_self_attn,reverse,0.030461532077371265,0.1242664508853695,
3,encoder_mlp,forward,0.5878205671219963,0.5678635124723117,
3,encoder_mlp,reverse,1.0031286834119575,0.9387267794541111,
3,encoder_self_attn,forward,0.5878205671219963,0.5678635124723117,
3,encoder_self_attn,reverse,1.0031286834119575,0.9387267794541111,
