qid,docid,rank,bm25_score,original_score,control_score,attack_score,control_delta_vs_original,attack_delta_vs_control,attack_delta_vs_original
1103812,3202701,900,12.541065,-12.88609504699707,-12.952118873596191,-12.70008659362793,-0.0660238265991211,0.2520322799682617,0.18600845336914062
527433,199249,296,20.958233,-13.010591506958008,-13.036239624023438,-12.973014831542969,-0.025648117065429688,0.06322479248046875,0.03757667541503906
148538,963821,639,16.673933,-10.899344444274902,-10.920221328735352,-11.214361190795898,-0.02087688446044922,-0.2941398620605469,-0.3150167465209961
264014,5328095,19,23.129852,4.954717636108398,4.893040657043457,4.905031204223633,-0.061676979064941406,0.011990547180175781,-0.049686431884765625
131843,8073461,44,6.3777733,-13.685620307922363,-13.698760986328125,-13.644977569580078,-0.013140678405761719,0.053783416748046875,0.040642738342285156
451602,8294680,628,12.772134,-11.517167091369629,-11.498636245727539,-11.633020401000977,0.018530845642089844,-0.1343841552734375,-0.11585330963134766
168216,3908778,144,24.050869,0.782355546951294,0.8901954889297485,0.540834903717041,0.10783994197845459,-0.3493605852127075,-0.24152064323425293
130510,8614562,717,10.578865,-12.98244857788086,-13.033646583557129,-13.02495288848877,-0.05119800567626953,0.008693695068359375,-0.042504310607910156
1112341,4560142,736,11.507101,-14.439285278320312,-14.441099166870117,-14.266178131103516,-0.0018138885498046875,0.17492103576660156,0.17310714721679688
1133167,2750180,697,10.607595,-11.038500785827637,-11.006182670593262,-11.570830345153809,0.032318115234375,-0.5646476745605469,-0.5323295593261719
1129237,2913079,693,13.030432,-5.938738822937012,-6.031237602233887,-6.472062110900879,-0.092498779296875,-0.4408245086669922,-0.5333232879638672
87452,6073899,646,11.124613,-12.017468452453613,-12.134830474853516,-12.534088134765625,-0.11736202239990234,-0.3992576599121094,-0.5166196823120117
156493,911794,82,15.650091,-5.877462387084961,-5.837863922119141,-6.002954483032227,0.03959846496582031,-0.16509056091308594,-0.12549209594726562
148538,5427174,952,15.420052,-8.756421089172363,-8.946770668029785,-9.790446281433105,-0.19034957885742188,-0.8436756134033203,-1.0340251922607422
130510,984907,140,12.764076,-13.279563903808594,-13.258729934692383,-13.488679885864258,0.020833969116210938,-0.229949951171875,-0.20911598205566406
451602,7265404,328,14.074535,-10.894426345825195,-10.87160873413086,-10.832405090332031,0.022817611694335938,0.039203643798828125,0.06202125549316406
183378,2710646,247,12.411176,-12.091257095336914,-12.066717147827148,-12.05862045288086,0.024539947509765625,0.008096694946289062,0.03263664245605469
1114819,8024890,113,19.147913,2.313046455383301,2.3844828605651855,2.5737383365631104,0.07143640518188477,0.1892554759979248,0.26069188117980957
182539,4321079,448,10.296672,-13.416654586791992,-13.394500732421875,-13.27707576751709,0.022153854370117188,0.11742496490478516,0.13957881927490234
148538,8233886,739,16.271252,-11.868668556213379,-11.89655876159668,-12.174361228942871,-0.02789020538330078,-0.2778024673461914,-0.3056926727294922
1113437,3422862,776,10.440643,-7.403278350830078,-7.265375137329102,-6.253803253173828,0.13790321350097656,1.0115718841552734,1.14947509765625
1106007,2677529,31,12.954882,-10.445399284362793,-10.318248748779297,-10.379167556762695,0.1271505355834961,-0.06091880798339844,0.06623172760009766
1112341,5101872,708,11.577221,-11.661656379699707,-11.699565887451172,-12.120559692382812,-0.037909507751464844,-0.4209938049316406,-0.45890331268310547
87452,5105199,488,11.571701,-10.456750869750977,-10.503641128540039,-10.945335388183594,-0.0468902587890625,-0.4416942596435547,-0.4885845184326172
451602,1530197,446,13.279856,-12.889481544494629,-12.897892951965332,-12.730463027954102,-0.008411407470703125,0.16742992401123047,0.15901851654052734
833860,7503777,434,11.057965,-13.48897933959961,-13.539422988891602,-13.609533309936523,-0.05044364929199219,-0.07011032104492188,-0.12055397033691406
1129237,4373435,613,13.17106,-11.293925285339355,-11.299243927001953,-11.509010314941406,-0.005318641662597656,-0.20976638793945312,-0.21508502960205078
264014,4664190,226,15.311792,-5.688996315002441,-5.982921600341797,-6.369421005249023,-0.29392528533935547,-0.38649940490722656,-0.680424690246582
1110199,6697302,425,11.980958,-12.327913284301758,-12.427406311035156,-12.397167205810547,-0.09949302673339844,0.030239105224609375,-0.06925392150878906
962179,2466207,463,12.762965,-14.284775733947754,-14.278589248657227,-14.326797485351562,0.006186485290527344,-0.04820823669433594,-0.042021751403808594
