qid,docid,layer,component,direction,control_score,attack_score,patched_score,effect
490595,8817806,0,encoder_self_attn,forward,-9.405402183532715,-6.502917289733887,-9.33580207824707,0.023979489241906293
490595,8817806,0,encoder_self_attn,reverse,-9.405402183532715,-6.502917289733887,-8.98716926574707,0.8559052215295931
490595,8817806,0,encoder_mlp,forward,-9.405402183532715,-6.502917289733887,-9.33580207824707,0.023979489241906293
490595,8817806,0,encoder_mlp,reverse,-9.405402183532715,-6.502917289733887,-8.98716926574707,0.8559052215295931
490595,8817806,1,encoder_self_attn,forward,-9.405402183532715,-6.502917289733887,-9.326595306396484,0.027151520169700696
490595,8817806,1,encoder_self_attn,reverse,-9.405402183532715,-6.502917289733887,-9.44903564453125,1.0150331397389039
490595,8817806,1,encoder_mlp,forward,-9.405402183532715,-6.502917289733887,-9.326595306396484,0.027151520169700696
490595,8817806,1,encoder_mlp,reverse,-9.405402183532715,-6.502917289733887,-9.44903564453125,1.0150331397389039
490595,8817806,2,encoder_self_attn,forward,-9.405402183532715,-6.502917289733887,-9.465173721313477,-0.020593229583541976
490595,8817806,2,encoder_self_attn,reverse,-9.405402183532715,-6.502917289733887,-9.130499839782715,0.9052872439276669
490595,8817806,2,encoder_mlp,forward,-9.405402183532715,-6.502917289733887,-9.465173721313477,-0.020593229583541976
490595,8817806,2,encoder_mlp,reverse,-9.405402183532715,-6.502917289733887,-9.130499839782715,0.9052872439276669
490595,8817806,3,encoder_self_attn,forward,-9.405402183532715,-6.502917289733887,-9.181388854980469,0.0771798430478834
490595,8817806,3,encoder_self_attn,reverse,-9.405402183532715,-6.502917289733887,-8.020563125610352,0.5228781169951726
490595,8817806,3,encoder_mlp,forward,-9.405402183532715,-6.502917289733887,-9.181388854980469,0.0771798430478834
490595,8817806,3,encoder_mlp,reverse,-9.405402183532715,-6.502917289733887,-8.020563125610352,0.5228781169951726
490595,8817806,4,encoder_self_attn,forward,-9.405402183532715,-6.502917289733887,-9.069917678833008,0.11558527157763031
490595,8817806,4,encoder_self_attn,reverse,-9.405402183532715,-6.502917289733887,-8.180729866027832,0.5780607437022668
490595,8817806,4,encoder_mlp,forward,-9.405402183532715,-6.502917289733887,-9.069917678833008,0.11558527157763031
490595,8817806,4,encoder_mlp,reverse,-9.405402183532715,-6.502917289733887,-8.180729866027832,0.5780607437022668
490595,8817806,5,encoder_self_attn,forward,-9.405402183532715,-6.502917289733887,-9.134380340576172,0.09337579793630704
490595,8817806,5,encoder_self_attn,reverse,-9.405402183532715,-6.502917289733887,-7.8744354248046875,0.4725323938812069
490595,8817806,5,encoder_mlp,forward,-9.405402183532715,-6.502917289733887,-9.134380340576172,0.09337579793630704
490595,8817806,5,encoder_mlp,reverse,-9.405402183532715,-6.502917289733887,-7.8744354248046875,0.4725323938812069
490595,8817806,6,encoder_self_attn,forward,-9.405402183532715,-6.502917289733887,-8.87124252319336,0.18403529385478973
490595,8817806,6,encoder_self_attn,reverse,-9.405402183532715,-6.502917289733887,-7.333634376525879,0.28620892689806
490595,8817806,6,encoder_mlp,forward,-9.405402183532715,-6.502917289733887,-8.87124252319336,0.18403529385478973
490595,8817806,6,encoder_mlp,reverse,-9.405402183532715,-6.502917289733887,-7.333634376525879,0.28620892689806
490595,8817806,7,encoder_self_attn,forward,-9.405402183532715,-6.502917289733887,-8.347163200378418,0.3645975851296347
490595,8817806,7,encoder_self_attn,reverse,-9.405402183532715,-6.502917289733887,-7.410091400146484,0.31255084646634307
