layer,component,direction,mean_effect,std_effect,n
0,decoder_cross_attn,forward,0.06198729845977321,0.09061569116365971,
0,decoder_cross_attn,reverse,0.06203683228214379,0.09051959298027475,
0,decoder_mlp,forward,0.06198729845977321,0.09061569116365971,
0,decoder_mlp,reverse,0.06203683228214379,0.09051959298027475,
0,decoder_self_attn,forward,0.0,0.0,
0,decoder_self_attn,reverse,0.0,0.0,
0,encoder_mlp,forward,0.012662104450587174,0.2569389780565005,
0,encoder_mlp,reverse,-1.858989574158515,2.1057052806010557,
0,encoder_self_attn,forward,0.012662104450587174,0.2569389780565005,
0,encoder_self_attn,reverse,-1.858989574158515,2.1057052806010557,
1,decoder_cross_attn,forward,0.05482741548096127,0.11203777926027444,
1,decoder_cross_attn,reverse,0.055156470070733606,0.1121472472815418,
1,decoder_mlp,forward,0.05482741548096127,0.11203777926027444,
1,decoder_mlp,reverse,0.055156470070733606,0.1121472472815418,
1,decoder_self_attn,forward,0.06198729845977321,0.09061569116365971,
1,decoder_self_attn,reverse,0.06203683228214379,0.09051959298027475,
1,encoder_mlp,forward,0.1917330686557784,0.353650273907359,
1,encoder_mlp,reverse,-1.8377760569247905,1.8462192666514599,
1,encoder_self_attn,forward,0.1917330686557784,0.353650273907359,
1,encoder_self_attn,reverse,-1.8377760569247905,1.8462192666514599,
2,decoder_cross_attn,forward,0.07404860166860831,0.10964181754442083,
2,decoder_cross_attn,reverse,0.07437179046259533,0.11054315343081898,
2,decoder_mlp,forward,0.07404860166860831,0.10964181754442083,
2,decoder_mlp,reverse,0.07437179046259533,0.11054315343081898,
2,decoder_self_attn,forward,0.05482741548096127,0.11203777926027444,
2,decoder_self_attn,reverse,0.055156470070733606,0.1121472472815418,
2,encoder_mlp,forward,0.20009470604865276,0.3157471868091071,
2,encoder_mlp,reverse,-1.5767131926984657,1.7249081506390254,
2,encoder_self_attn,forward,0.20009470604865276,0.3157471868091071,
2,encoder_self_attn,reverse,-1.5767131926984657,1.7249081506390254,
3,decoder_cross_attn,forward,0.08878016228836356,0.13098993486894592,
3,decoder_cross_attn,reverse,0.0882865892816767,0.13166663963024394,
3,decoder_mlp,forward,0.08878016228836356,0.13098993486894592,
3,decoder_mlp,reverse,0.0882865892816767,0.13166663963024394,
3,decoder_self_attn,forward,0.07404860166860831,0.10964181754442083,
3,decoder_self_attn,reverse,0.07437179046259533,0.11054315343081898,
3,encoder_mlp,forward,0.2814009432342729,0.3904029324261446,
3,encoder_mlp,reverse,-1.4180502512080742,1.6684197670043541,
3,encoder_self_attn,forward,0.2814009432342729,0.3904029324261446,
3,encoder_self_attn,reverse,-1.4180502512080742,1.6684197670043541,
4,decoder_cross_attn,forward,0.12166978088892288,0.14618399526969253,
4,decoder_cross_attn,reverse,0.12185476851237648,0.14722749573818997,
