qid,docid,rank,bm25_score,original_score,control_score,attack_score,control_delta_vs_original,attack_delta_vs_control,attack_delta_vs_original
1103812,3202701,900,12.541065,-12.88609504699707,-12.881336212158203,-12.873689651489258,0.0047588348388671875,0.0076465606689453125,0.0124053955078125
527433,199249,296,20.958233,-13.010591506958008,-13.092350959777832,-13.130865097045898,-0.08175945281982422,-0.038514137268066406,-0.12027359008789062
148538,963821,639,16.673933,-10.899344444274902,-10.916650772094727,-10.902050018310547,-0.01730632781982422,0.014600753784179688,-0.0027055740356445312
264014,5328095,19,23.129852,4.954717636108398,4.96238899230957,4.960131645202637,0.007671356201171875,-0.0022573471069335938,0.005414009094238281
131843,8073461,44,6.3777733,-13.685620307922363,-13.85040283203125,-13.924654960632324,-0.16478252410888672,-0.07425212860107422,-0.23903465270996094
451602,8294680,628,12.772134,-11.517167091369629,-11.54466438293457,-11.662553787231445,-0.027497291564941406,-0.117889404296875,-0.1453866958618164
168216,3908778,144,24.050869,0.782355546951294,0.7388135194778442,0.8784898519515991,-0.04354202747344971,0.13967633247375488,0.09613430500030518
130510,8614562,717,10.578865,-12.98244857788086,-13.011159896850586,-12.967202186584473,-0.028711318969726562,0.04395771026611328,0.015246391296386719
1112341,4560142,736,11.507101,-14.439285278320312,-14.44189453125,-14.379318237304688,-0.0026092529296875,0.0625762939453125,0.059967041015625
1133167,2750180,697,10.607595,-11.038500785827637,-10.9964599609375,-11.00733757019043,0.04204082489013672,-0.010877609252929688,0.03116321563720703
1129237,2913079,693,13.030432,-5.938738822937012,-6.146295547485352,-6.151344299316406,-0.20755672454833984,-0.0050487518310546875,-0.21260547637939453
87452,6073899,646,11.124613,-12.017468452453613,-11.980798721313477,-11.920867919921875,0.03666973114013672,0.05993080139160156,0.09660053253173828
156493,911794,82,15.650091,-5.877462387084961,-6.159696578979492,-5.759795188903809,-0.28223419189453125,0.3999013900756836,0.11766719818115234
148538,5427174,952,15.420052,-8.756421089172363,-8.870311737060547,-8.738012313842773,-0.1138906478881836,0.13229942321777344,0.018408775329589844
