layer,component,direction,mean_effect,std_effect,n
0,decoder_cross_attn,forward,0.016877769413075724,0.0231680252046587,
0,decoder_cross_attn,reverse,0.016773782306752076,0.023750757244345312,
0,decoder_mlp,forward,0.016877769413075724,0.0231680252046587,
0,decoder_mlp,reverse,0.016773782306752076,0.023750757244345312,
0,decoder_self_attn,forward,0.0,0.0,
0,decoder_self_attn,reverse,0.0,0.0,
0,encoder_mlp,forward,0.07388872579933624,0.20937475175301534,
0,encoder_mlp,reverse,-1.6204079596378487,3.209844291610486,
0,encoder_self_attn,forward,0.07388872579933624,0.20937475175301534,
0,encoder_self_attn,reverse,-1.6204079596378487,3.209844291610486,
1,decoder_cross_attn,forward,0.030263012185979817,0.03761236621743909,
1,decoder_cross_attn,reverse,0.030708795750602418,0.038985670190325485,
1,decoder_mlp,forward,0.030263012185979817,0.03761236621743909,
1,decoder_mlp,reverse,0.030708795750602418,0.038985670190325485,
1,decoder_self_attn,forward,0.016877769413075724,0.0231680252046587,
1,decoder_self_attn,reverse,0.016773782306752076,0.023750757244345312,
1,encoder_mlp,forward,0.1894168263739363,0.3030843940077029,
1,encoder_mlp,reverse,-0.1067409844658774,2.0652822525894763,
1,encoder_self_attn,forward,0.1894168263739363,0.3030843940077029,
1,encoder_self_attn,reverse,-0.1067409844658774,2.0652822525894763,
2,decoder_cross_attn,forward,0.06691080405239505,0.05240899938804993,
2,decoder_cross_attn,reverse,0.06521072291432167,0.05288910155942597,
2,decoder_mlp,forward,0.06691080405239505,0.05240899938804993,
2,decoder_mlp,reverse,0.06521072291432167,0.05288910155942597,
2,decoder_self_attn,forward,0.030263012185979817,0.03761236621743909,
2,decoder_self_attn,reverse,0.030708795750602418,0.038985670190325485,
2,encoder_mlp,forward,0.21631310064184986,0.3822143175667334,
2,encoder_mlp,reverse,0.24334299783110916,1.6151397785157544,
2,encoder_self_attn,forward,0.21631310064184986,0.3822143175667334,
2,encoder_self_attn,reverse,0.24334299783110916,1.6151397785157544,
3,decoder_cross_attn,forward,0.08743761574392235,0.0566846906359627,
3,decoder_cross_attn,reverse,0.08571149032263362,0.05706063292143303,
3,decoder_mlp,forward,0.08743761574392235,0.0566846906359627,
3,decoder_mlp,reverse,0.08571149032263362,0.05706063292143303,
3,decoder_self_attn,forward,0.06691080405239505,0.05240899938804993,
3,decoder_self_attn,reverse,0.06521072291432167,0.05288910155942597,
3,encoder_mlp,forward,0.2313728947266027,0.41170622149653574,
3,encoder_mlp,reverse,0.5513560026905749,1.3366577346393393,
3,encoder_self_attn,forward,0.2313728947266027,0.41170622149653574,
3,encoder_self_attn,reverse,0.5513560026905749,1.3366577346393393,
4,decoder_cross_attn,forward,0.13151977635048212,0.060753520974179014,
4,decoder_cross_attn,reverse,0.12882375735014387,0.05996598921984122,
4,decoder_mlp,forward,0.13151977635048212,0.060753520974179014,
4,decoder_mlp,reverse,0.12882375735014387,0.05996598921984122,
4,decoder_self_attn,forward,0.08743761574392235,0.0566846906359627,
4,decoder_self_attn,reverse,0.08571149032263362,0.05706063292143303,
4,encoder_mlp,forward,0.3323303552533145,0.44934357567686334,
4,encoder_mlp,reverse,0.687534576564788,1.0704324934014553,
4,encoder_self_attn,forward,0.3323303552533145,0.44934357567686334,
4,encoder_self_attn,reverse,0.687534576564788,1.0704324934014553,
5,decoder_cross_attn,forward,0.16335902606977104,0.0689143527084624,
5,decoder_cross_attn,reverse,0.1580777524021708,0.06543254131609826,
5,decoder_mlp,forward,0.16335902606977104,0.0689143527084624,
5,decoder_mlp,reverse,0.1580777524021708,0.06543254131609826,
5,decoder_self_attn,forward,0.13151977635048212,0.060753520974179014,
5,decoder_self_attn,reverse,0.12882375735014387,0.05996598921984122,
5,encoder_mlp,forward,0.38251450686762944,0.5111201029710984,
5,encoder_mlp,reverse,0.8827754308431509,0.9680757878647726,
5,encoder_self_attn,forward,0.38251450686762944,0.5111201029710984,
5,encoder_self_attn,reverse,0.8827754308431509,0.9680757878647726,
6,decoder_cross_attn,forward,0.2609041966851803,0.07182873050487386,
6,decoder_cross_attn,reverse,0.25220610017238176,0.07057969796918548,
6,decoder_mlp,forward,0.2609041966851803,0.07182873050487386,
6,decoder_mlp,reverse,0.25220610017238176,0.07057969796918548,
6,decoder_self_attn,forward,0.16335902606977104,0.0689143527084624,
6,decoder_self_attn,reverse,0.1580777524021708,0.06543254131609826,
6,encoder_mlp,forward,0.5450294338824083,0.48544013163863775,
6,encoder_mlp,reverse,0.8669451257051873,0.8704044967973015,
6,encoder_self_attn,forward,0.5450294338824083,0.48544013163863775,
6,encoder_self_attn,reverse,0.8669451257051873,0.8704044967973015,
7,decoder_cross_attn,forward,0.3192628757425095,0.0920478688832458,
7,decoder_cross_attn,reverse,0.309999553720378,0.08666438940183266,
7,decoder_mlp,forward,0.3192628757425095,0.0920478688832458,
7,decoder_mlp,reverse,0.309999553720378,0.08666438940183266,
7,decoder_self_attn,forward,0.2609041966851803,0.07182873050487386,
7,decoder_self_attn,reverse,0.25220610017238176,0.07057969796918548,
7,encoder_mlp,forward,0.6334142235499123,0.4697736646912603,
7,encoder_mlp,reverse,0.9549645897268907,0.6223580315190419,
7,encoder_self_attn,forward,0.6334142235499123,0.4697736646912603,
7,encoder_self_attn,reverse,0.9549645897268907,0.6223580315190419,
8,decoder_cross_attn,forward,0.4729683593902433,0.1057435699636174,
8,decoder_cross_attn,reverse,0.46227440951803017,0.10101796038637612,
8,decoder_mlp,forward,0.4729683593902433,0.1057435699636174,
8,decoder_mlp,reverse,0.46227440951803017,0.10101796038637612,
8,decoder_self_attn,forward,0.3192628757425095,0.0920478688832458,
8,decoder_self_attn,reverse,0.309999553720378,0.08666438940183266,
8,encoder_mlp,forward,0.6480960332842394,0.45151516730610514,
8,encoder_mlp,reverse,0.8385192614506429,0.49700526390060845,
8,encoder_self_attn,forward,0.6480960332842394,0.45151516730610514,
8,encoder_self_attn,reverse,0.8385192614506429,0.49700526390060845,
9,decoder_cross_attn,forward,0.5853820594444973,0.11859462286197286,
9,decoder_cross_attn,reverse,0.5793294047359999,0.11080065298785594,
9,decoder_mlp,forward,0.5853820594444973,0.11859462286197286,
9,decoder_mlp,reverse,0.5793294047359999,0.11080065298785594,
9,decoder_self_attn,forward,0.4729683593902433,0.1057435699636174,
9,decoder_self_attn,reverse,0.46227440951803017,0.10101796038637612,
9,encoder_mlp,forward,0.8324355008616453,0.32262489199519107,
9,encoder_mlp,reverse,0.8292573486842837,0.39225690023540044,
9,encoder_self_attn,forward,0.8324355008616453,0.32262489199519107,
9,encoder_self_attn,reverse,0.8292573486842837,0.39225690023540044,
10,decoder_cross_attn,forward,0.6478333289294761,0.15055065405910698,
10,decoder_cross_attn,reverse,0.6439601322843581,0.14183055710681913,
10,decoder_mlp,forward,0.6478333289294761,0.15055065405910698,
10,decoder_mlp,reverse,0.6439601322843581,0.14183055710681913,
10,decoder_self_attn,forward,0.5853820594444973,0.11859462286197286,
10,decoder_self_attn,reverse,0.5793294047359999,0.11080065298785594,
10,encoder_mlp,forward,0.9573410748567934,0.17165314585689562,
10,encoder_mlp,reverse,0.9445372766703133,0.2357521001481528,
