qid,docid,layer,component,direction,control_score,attack_score,patched_score,effect
490595,4763067,0,encoder_self_attn,forward,-7.8849334716796875,-4.890393257141113,-7.8530120849609375,0.010659862426883032
490595,4763067,0,encoder_self_attn,reverse,-7.8849334716796875,-4.890393257141113,-5.230414390563965,0.11354702527354273
490595,4763067,0,encoder_mlp,forward,-7.8849334716796875,-4.890393257141113,-7.8530120849609375,0.010659862426883032
490595,4763067,0,encoder_mlp,reverse,-7.8849334716796875,-4.890393257141113,-5.230414390563965,0.11354702527354273
490595,4763067,1,encoder_self_attn,forward,-7.8849334716796875,-4.890393257141113,-7.8773956298828125,0.0025171950472658786
490595,4763067,1,encoder_self_attn,reverse,-7.8849334716796875,-4.890393257141113,-5.89891242980957,0.3367859839624357
490595,4763067,1,encoder_mlp,forward,-7.8849334716796875,-4.890393257141113,-7.8773956298828125,0.0025171950472658786
490595,4763067,1,encoder_mlp,reverse,-7.8849334716796875,-4.890393257141113,-5.89891242980957,0.3367859839624357
490595,4763067,2,encoder_self_attn,forward,-7.8849334716796875,-4.890393257141113,-7.886270523071289,-0.0004464963886977178
490595,4763067,2,encoder_self_attn,reverse,-7.8849334716796875,-4.890393257141113,-6.364839553833008,0.492378191995358
490595,4763067,2,encoder_mlp,forward,-7.8849334716796875,-4.890393257141113,-7.886270523071289,-0.0004464963886977178
490595,4763067,2,encoder_mlp,reverse,-7.8849334716796875,-4.890393257141113,-6.364839553833008,0.492378191995358
490595,4763067,3,encoder_self_attn,forward,-7.8849334716796875,-4.890393257141113,-7.848033905029297,0.012322281220750426
490595,4763067,3,encoder_self_attn,reverse,-7.8849334716796875,-4.890393257141113,-6.449613571166992,0.5206877190881665
490595,4763067,3,encoder_mlp,forward,-7.8849334716796875,-4.890393257141113,-7.848033905029297,0.012322281220750426
490595,4763067,3,encoder_mlp,reverse,-7.8849334716796875,-4.890393257141113,-6.449613571166992,0.5206877190881665
490595,4763067,4,encoder_self_attn,forward,-7.8849334716796875,-4.890393257141113,-7.773004531860352,0.03737767129521851
490595,4763067,4,encoder_self_attn,reverse,-7.8849334716796875,-4.890393257141113,-5.774927139282227,0.2953822018641383
490595,4763067,4,encoder_mlp,forward,-7.8849334716796875,-4.890393257141113,-7.773004531860352,0.03737767129521851
490595,4763067,4,encoder_mlp,reverse,-7.8849334716796875,-4.890393257141113,-5.774927139282227,0.2953822018641383
490595,4763067,5,encoder_self_attn,forward,-7.8849334716796875,-4.890393257141113,-7.8075456619262695,0.025842968939838593
490595,4763067,5,encoder_self_attn,reverse,-7.8849334716796875,-4.890393257141113,-7.294035911560059,0.8026750292913732
490595,4763067,5,encoder_mlp,forward,-7.8849334716796875,-4.890393257141113,-7.8075456619262695,0.025842968939838593
490595,4763067,5,encoder_mlp,reverse,-7.8849334716796875,-4.890393257141113,-7.294035911560059,0.8026750292913732
490595,4763067,6,encoder_self_attn,forward,-7.8849334716796875,-4.890393257141113,-7.752519607543945,0.04421842909067284
490595,4763067,6,encoder_self_attn,reverse,-7.8849334716796875,-4.890393257141113,-7.67508602142334,0.9299233153598898
490595,4763067,6,encoder_mlp,forward,-7.8849334716796875,-4.890393257141113,-7.752519607543945,0.04421842909067284
490595,4763067,6,encoder_mlp,reverse,-7.8849334716796875,-4.890393257141113,-7.67508602142334,0.9299233153598898
490595,4763067,7,encoder_self_attn,forward,-7.8849334716796875,-4.890393257141113,-7.80610466003418,0.026324178671166876
490595,4763067,7,encoder_self_attn,reverse,-7.8849334716796875,-4.890393257141113,-7.662505149841309,0.9257220454884916
490595,4763067,7,encoder_mlp,forward,-7.8849334716796875,-4.890393257141113,-7.80610466003418,0.026324178671166876
490595,4763067,7,encoder_mlp,reverse,-7.8849334716796875,-4.890393257141113,-7.662505149841309,0.9257220454884916
490595,4763067,8,encoder_self_attn,forward,-7.8849334716796875,-4.890393257141113,-7.68521785736084,0.06669324838224677
490595,4763067,8,encoder_self_attn,reverse,-7.8849334716796875,-4.890393257141113,-7.358795166015625,0.8243008048081483
490595,4763067,8,encoder_mlp,forward,-7.8849334716796875,-4.890393257141113,-7.68521785736084,0.06669324838224677
490595,4763067,8,encoder_mlp,reverse,-7.8849334716796875,-4.890393257141113,-7.358795166015625,0.8243008048081483
490595,4763067,9,encoder_self_attn,forward,-7.8849334716796875,-4.890393257141113,-6.160778045654297,0.575766328885673
490595,4763067,9,encoder_self_attn,reverse,-7.8849334716796875,-4.890393257141113,-7.357997894287109,0.8240345630243029
490595,4763067,9,encoder_mlp,forward,-7.8849334716796875,-4.890393257141113,-6.160778045654297,0.575766328885673
490595,4763067,9,encoder_mlp,reverse,-7.8849334716796875,-4.890393257141113,-7.357997894287109,0.8240345630243029
490595,4763067,10,encoder_self_attn,forward,-7.8849334716796875,-4.890393257141113,-4.926738739013672,0.9878627504496015
490595,4763067,10,encoder_self_attn,reverse,-7.8849334716796875,-4.890393257141113,-7.564257621765137,0.8929131596371086
490595,4763067,10,encoder_mlp,forward,-7.8849334716796875,-4.890393257141113,-4.926738739013672,0.9878627504496015
490595,4763067,10,encoder_mlp,reverse,-7.8849334716796875,-4.890393257141113,-7.564257621765137,0.8929131596371086
490595,4763067,11,encoder_self_attn,forward,-7.8849334716796875,-4.890393257141113,-4.940023422241211,0.983426448955622
490595,4763067,11,encoder_self_attn,reverse,-7.8849334716796875,-4.890393257141113,-7.872657775878906,0.9959006408592603
490595,4763067,11,encoder_mlp,forward,-7.8849334716796875,-4.890393257141113,-4.940023422241211,0.983426448955622
