qid,docid,rank,bm25_score,original_score,control_score,attack_score,control_delta_vs_original,attack_delta_vs_control,attack_delta_vs_original
1103812,3202701,900,12.541065,-12.88609504699707,-13.058862686157227,-12.759023666381836,-0.17276763916015625,0.2998390197753906,0.12707138061523438
527433,199249,296,20.958233,-13.010591506958008,-13.106739044189453,-12.916587829589844,-0.09614753723144531,0.19015121459960938,0.09400367736816406
148538,963821,639,16.673933,-10.899344444274902,-10.90615463256836,-10.541115760803223,-0.006810188293457031,0.3650388717651367,0.3582286834716797
264014,5328095,19,23.129852,4.954717636108398,4.842662811279297,4.997547149658203,-0.11205482482910156,0.15488433837890625,0.04282951354980469
131843,8073461,44,6.3777733,-13.685620307922363,-13.726624488830566,-12.620193481445312,-0.041004180908203125,1.106431007385254,1.0654268264770508
451602,8294680,628,12.772134,-11.517167091369629,-11.312782287597656,-11.2197265625,0.20438480377197266,0.09305572509765625,0.2974405288696289
168216,3908778,144,24.050869,0.782355546951294,0.8502734899520874,0.5333373546600342,0.06791794300079346,-0.3169361352920532,-0.24901819229125977
130510,8614562,717,10.578865,-12.98244857788086,-12.962677955627441,-11.997152328491211,0.01977062225341797,0.9655256271362305,0.9852962493896484
1112341,4560142,736,11.507101,-14.439285278320312,-14.39307975769043,-14.25767993927002,0.04620552062988281,0.13539981842041016,0.18160533905029297
1133167,2750180,697,10.607595,-11.038500785827637,-10.865747451782227,-11.695405006408691,0.17275333404541016,-0.8296575546264648,-0.6569042205810547
1129237,2913079,693,13.030432,-5.938738822937012,-6.421332359313965,-7.398198127746582,-0.4825935363769531,-0.9768657684326172,-1.4594593048095703
87452,6073899,646,11.124613,-12.017468452453613,-12.159263610839844,-12.315046310424805,-0.14179515838623047,-0.15578269958496094,-0.2975778579711914
156493,911794,82,15.650091,-5.877462387084961,-5.726097106933594,-3.892228603363037,0.1513652801513672,1.8338685035705566,1.9852337837219238
148538,5427174,952,15.420052,-8.756421089172363,-8.664844512939453,-7.970730781555176,0.09157657623291016,0.6941137313842773,0.7856903076171875
130510,984907,140,12.764076,-13.279563903808594,-13.139541625976562,-13.305156707763672,0.14002227783203125,-0.16561508178710938,-0.025592803955078125
451602,7265404,328,14.074535,-10.894426345825195,-10.877361297607422,-10.018680572509766,0.017065048217773438,0.8586807250976562,0.8757457733154297
183378,2710646,247,12.411176,-12.091257095336914,-11.982988357543945,-10.693061828613281,0.10826873779296875,1.289926528930664,1.3981952667236328
1114819,8024890,113,19.147913,2.313046455383301,2.4314451217651367,2.4441893100738525,0.11839866638183594,0.01274418830871582,0.13114285469055176
182539,4321079,448,10.296672,-13.416654586791992,-13.548602104187012,-13.588278770446777,-0.13194751739501953,-0.039676666259765625,-0.17162418365478516
148538,8233886,739,16.271252,-11.868668556213379,-11.964418411254883,-11.904165267944336,-0.0957498550415039,0.060253143310546875,-0.03549671173095703
1113437,3422862,776,10.440643,-7.403278350830078,-7.367740631103516,-4.217949390411377,0.0355377197265625,3.1497912406921387,3.185328960418701
1106007,2677529,31,12.954882,-10.445399284362793,-10.134934425354004,-9.035245895385742,0.31046485900878906,1.0996885299682617,1.4101533889770508
1112341,5101872,708,11.577221,-11.661656379699707,-11.791606903076172,-10.526355743408203,-0.12995052337646484,1.2652511596679688,1.135300636291504
87452,5105199,488,11.571701,-10.456750869750977,-10.63338851928711,-10.351189613342285,-0.1766376495361328,0.2821989059448242,0.1055612564086914
451602,1530197,446,13.279856,-12.889481544494629,-12.704465866088867,-10.726922988891602,0.18501567840576172,1.9775428771972656,2.1625585556030273
833860,7503777,434,11.057965,-13.48897933959961,-13.673212051391602,-13.764328002929688,-0.1842327117919922,-0.09111595153808594,-0.2753486633300781
1129237,4373435,613,13.17106,-11.293925285339355,-11.324504852294922,-11.241665840148926,-0.030579566955566406,0.0828390121459961,0.05225944519042969
264014,4664190,226,15.311792,-5.688996315002441,-6.3666534423828125,-6.045331001281738,-0.6776571273803711,0.3213224411010742,-0.3563346862792969
1110199,6697302,425,11.980958,-12.327913284301758,-12.65900707244873,-12.543017387390137,-0.33109378814697266,0.11598968505859375,-0.2151041030883789
962179,2466207,463,12.762965,-14.284775733947754,-14.314937591552734,-14.15662956237793,-0.03016185760498047,0.1583080291748047,0.12814617156982422
87452,1395628,691,11.026999,-11.542174339294434,-11.804095268249512,-11.710983276367188,-0.2619209289550781,0.09311199188232422,-0.1688089370727539
1124210,5890091,293,5.1831274,-13.489723205566406,-13.580303192138672,-13.416205406188965,-0.09057998657226562,0.16409778594970703,0.0735177993774414
264014,1944238,205,15.554399,-12.824013710021973,-12.970251083374023,-12.842811584472656,-0.14623737335205078,0.1274394989013672,-0.018797874450683594
962179,6385544,189,15.641305,-11.927485466003418,-11.958324432373047,-11.662067413330078,-0.030838966369628906,0.29625701904296875,0.26541805267333984
451602,7510025,110,16.682806,-12.12002182006836,-11.79164981842041,-8.998337745666504,0.3283720016479492,2.7933120727539062,3.1216840744018555
