layer,component,direction,mean_effect,std_effect,n
0,decoder_cross_attn,forward,0.07967727629010665,0.12315863474719413,
0,decoder_cross_attn,reverse,0.07505754022914098,0.1192718148924332,
0,decoder_mlp,forward,0.07967727629010665,0.12315863474719413,
0,decoder_mlp,reverse,0.07505754022914098,0.1192718148924332,
0,decoder_self_attn,forward,0.0,0.0,
0,decoder_self_attn,reverse,0.0,0.0,
0,encoder_mlp,forward,0.7153914525893723,1.4481313453165463,
0,encoder_mlp,reverse,-3.35280280265918,5.975044930645013,
0,encoder_self_attn,forward,0.7153914525893723,1.4481313453165463,
0,encoder_self_attn,reverse,-3.35280280265918,5.975044930645013,
1,decoder_cross_attn,forward,-0.18291732972615016,0.3257989131079539,
1,decoder_cross_attn,reverse,-0.1859991077292861,0.32661689761889223,
1,decoder_mlp,forward,-0.18291732972615016,0.3257989131079539,
1,decoder_mlp,reverse,-0.1859991077292861,0.32661689761889223,
1,decoder_self_attn,forward,0.07967727629010665,0.12315863474719413,
1,decoder_self_attn,reverse,0.07505754022914098,0.1192718148924332,
1,encoder_mlp,forward,0.7178814197839735,1.4472256226280924,
1,encoder_mlp,reverse,-3.518270232299869,5.2850603895890345,
1,encoder_self_attn,forward,0.7178814197839735,1.4472256226280924,
1,encoder_self_attn,reverse,-3.518270232299869,5.2850603895890345,
2,decoder_cross_attn,forward,-0.1388556655266297,0.3046180364311129,
2,decoder_cross_attn,reverse,-0.1433975907078206,0.30543105592437975,
2,decoder_mlp,forward,-0.1388556655266297,0.3046180364311129,
2,decoder_mlp,reverse,-0.1433975907078206,0.30543105592437975,
2,decoder_self_attn,forward,-0.18291732972615016,0.3257989131079539,
2,decoder_self_attn,reverse,-0.1859991077292861,0.32661689761889223,
2,encoder_mlp,forward,0.7173979938450292,1.0816115243204596,
2,encoder_mlp,reverse,-3.465541810354139,5.166758166629015,
2,encoder_self_attn,forward,0.7173979938450292,1.0816115243204596,
2,encoder_self_attn,reverse,-3.465541810354139,5.166758166629015,
3,decoder_cross_attn,forward,-0.1607072438986864,0.3532848855886897,
3,decoder_cross_attn,reverse,-0.1641277375489561,0.3543897523160868,
