qid,docid,rank,bm25_score,original_score,control_score,attack_score,control_delta_vs_original,attack_delta_vs_control,attack_delta_vs_original
1103812,3202701,900,12.541065,-12.88609504699707,-12.876031875610352,-12.97964096069336,0.01006317138671875,-0.10360908508300781,-0.09354591369628906
527433,199249,296,20.958233,-13.010591506958008,-13.06119155883789,-13.047365188598633,-0.05060005187988281,0.013826370239257812,-0.036773681640625
148538,963821,639,16.673933,-10.899344444274902,-10.919634819030762,-11.022205352783203,-0.020290374755859375,-0.1025705337524414,-0.12286090850830078
264014,5328095,19,23.129852,4.954717636108398,4.956798553466797,4.917192459106445,0.0020809173583984375,-0.03960609436035156,-0.037525177001953125
131843,8073461,44,6.3777733,-13.685620307922363,-13.78050422668457,-13.830663681030273,-0.09488391876220703,-0.050159454345703125,-0.14504337310791016
451602,8294680,628,12.772134,-11.517167091369629,-11.546056747436523,-11.625517845153809,-0.02888965606689453,-0.07946109771728516,-0.10835075378417969
168216,3908778,144,24.050869,0.782355546951294,0.7600966691970825,0.6796621084213257,-0.022258877754211426,-0.08043456077575684,-0.10269343852996826
130510,8614562,717,10.578865,-12.98244857788086,-12.98758316040039,-13.102657318115234,-0.00513458251953125,-0.11507415771484375,-0.120208740234375
1112341,4560142,736,11.507101,-14.439285278320312,-14.444072723388672,-14.438089370727539,-0.004787445068359375,0.0059833526611328125,0.0011959075927734375
1133167,2750180,697,10.607595,-11.038500785827637,-11.00227165222168,-11.291357040405273,0.03622913360595703,-0.28908538818359375,-0.2528562545776367
1129237,2913079,693,13.030432,-5.938738822937012,-5.975397109985352,-5.873288154602051,-0.036658287048339844,0.10210895538330078,0.06545066833496094
87452,6073899,646,11.124613,-12.017468452453613,-12.015022277832031,-12.070131301879883,0.0024461746215820312,-0.05510902404785156,-0.05266284942626953
156493,911794,82,15.650091,-5.877462387084961,-5.9703826904296875,-6.139984130859375,-0.09292030334472656,-0.1696014404296875,-0.26252174377441406
148538,5427174,952,15.420052,-8.756421089172363,-8.894449234008789,-8.878232955932617,-0.13802814483642578,0.016216278076171875,-0.1218118667602539
130510,984907,140,12.764076,-13.279563903808594,-13.297548294067383,-13.426037788391113,-0.017984390258789062,-0.12848949432373047,-0.14647388458251953
451602,7265404,328,14.074535,-10.894426345825195,-10.927698135375977,-11.135702133178711,-0.03327178955078125,-0.20800399780273438,-0.24127578735351562
183378,2710646,247,12.411176,-12.091257095336914,-12.112075805664062,-12.09684944152832,-0.020818710327148438,0.015226364135742188,-0.00559234619140625
1114819,8024890,113,19.147913,2.313046455383301,2.4086546897888184,2.432671546936035,0.09560823440551758,0.024016857147216797,0.11962509155273438
182539,4321079,448,10.296672,-13.416654586791992,-13.397194862365723,-13.603625297546387,0.01945972442626953,-0.20643043518066406,-0.18697071075439453
148538,8233886,739,16.271252,-11.868668556213379,-11.966480255126953,-12.01739501953125,-0.09781169891357422,-0.050914764404296875,-0.1487264633178711
1113437,3422862,776,10.440643,-7.403278350830078,-7.400273323059082,-7.441566467285156,0.0030050277709960938,-0.04129314422607422,-0.038288116455078125
1106007,2677529,31,12.954882,-10.445399284362793,-10.305352210998535,-10.343001365661621,0.1400470733642578,-0.03764915466308594,0.10239791870117188
1112341,5101872,708,11.577221,-11.661656379699707,-11.72014045715332,-11.827664375305176,-0.05848407745361328,-0.10752391815185547,-0.16600799560546875
87452,5105199,488,11.571701,-10.456750869750977,-10.501213073730469,-10.579717636108398,-0.04446220397949219,-0.07850456237792969,-0.12296676635742188
451602,1530197,446,13.279856,-12.889481544494629,-12.908653259277344,-13.072334289550781,-0.019171714782714844,-0.1636810302734375,-0.18285274505615234
833860,7503777,434,11.057965,-13.48897933959961,-13.556918144226074,-13.543985366821289,-0.06793880462646484,0.012932777404785156,-0.05500602722167969
1129237,4373435,613,13.17106,-11.293925285339355,-11.32320499420166,-11.354364395141602,-0.029279708862304688,-0.031159400939941406,-0.060439109802246094
264014,4664190,226,15.311792,-5.688996315002441,-5.618974685668945,-5.705130577087402,0.0700216293334961,-0.08615589141845703,-0.016134262084960938
1110199,6697302,425,11.980958,-12.327913284301758,-12.304773330688477,-12.3190279006958,0.02313995361328125,-0.014254570007324219,0.008885383605957031
962179,2466207,463,12.762965,-14.284775733947754,-14.284555435180664,-14.292045593261719,0.00022029876708984375,-0.0074901580810546875,-0.007269859313964844
87452,1395628,691,11.026999,-11.542174339294434,-11.574657440185547,-11.750347137451172,-0.03248310089111328,-0.175689697265625,-0.20817279815673828
1124210,5890091,293,5.1831274,-13.489723205566406,-13.491299629211426,-13.523947715759277,-0.0015764236450195312,-0.03264808654785156,-0.034224510192871094
264014,1944238,205,15.554399,-12.824013710021973,-12.760885238647461,-12.88576889038086,0.06312847137451172,-0.12488365173339844,-0.06175518035888672
962179,6385544,189,15.641305,-11.927485466003418,-11.818228721618652,-12.061758041381836,0.10925674438476562,-0.2435293197631836,-0.13427257537841797
451602,7510025,110,16.682806,-12.12002182006836,-12.138959884643555,-12.251826286315918,-0.018938064575195312,-0.11286640167236328,-0.1318044662475586
1124210,4535489,54,12.477813,-7.775970458984375,-7.814538955688477,-8.576314926147461,-0.03856849670410156,-0.7617759704589844,-0.8003444671630859
130510,4237523,698,10.592752,-10.601937294006348,-10.677626609802246,-10.827877044677734,-0.07568931579589844,-0.15025043487548828,-0.22593975067138672
130510,2346969,78,14.301141,-12.759841918945312,-12.756453514099121,-12.846014976501465,0.0033884048461914062,-0.08956146240234375,-0.08617305755615234
573724,2620791,893,10.831446,-10.9296293258667,-11.072900772094727,-11.072362899780273,-0.14327144622802734,0.000537872314453125,-0.14273357391357422
130510,4237516,338,11.155177,-11.127198219299316,-11.20283317565918,-11.2581205368042,-0.07563495635986328,-0.05528736114501953,-0.1309223175048828
1114646,517148,521,8.090152,-12.660665512084961,-12.840485572814941,-13.023015975952148,-0.17982006072998047,-0.18253040313720703,-0.3623504638671875
1124210,6428870,536,5.074358,-14.345673561096191,-14.350748062133789,-14.38325309753418,-0.005074501037597656,-0.032505035400390625,-0.03757953643798828
182539,3389569,560,10.124404,-12.387606620788574,-12.440956115722656,-12.599468231201172,-0.05334949493408203,-0.15851211547851562,-0.21186161041259766
1121402,752294,330,12.606409,-12.219437599182129,-12.170472145080566,-12.397374153137207,0.0489654541015625,-0.22690200805664062,-0.17793655395507812
156493,3553290,847,9.346702,-12.017507553100586,-11.921588897705078,-11.981136322021484,0.09591865539550781,-0.05954742431640625,0.03637123107910156
47923,1496426,103,26.474058,-1.2015044689178467,-1.363563060760498,-1.4278919696807861,-0.16205859184265137,-0.06432890892028809,-0.22638750076293945
1112341,7880070,137,13.435623,-11.71304702758789,-11.668428421020508,-11.689315795898438,0.04461860656738281,-0.020887374877929688,0.023731231689453125
1117099,4131487,180,10.714578,-12.904204368591309,-13.052022933959961,-13.048107147216797,-0.14781856536865234,0.0039157867431640625,-0.14390277862548828
573724,1600621,802,10.933676,-13.169294357299805,-13.205270767211914,-13.291194915771484,-0.035976409912109375,-0.08592414855957031,-0.12190055847167969
1133167,3023125,164,13.65869,1.6930779218673706,1.6203676462173462,1.3756253719329834,-0.07271027565002441,-0.2447422742843628,-0.3174525499343872
1113437,5591642,173,12.442821,-10.350876808166504,-10.424538612365723,-10.540571212768555,-0.07366180419921875,-0.11603260040283203,-0.18969440460205078
104861,2916631,208,19.007568,0.30693691968917847,0.24226796627044678,-0.1429702639579773,-0.06466895341873169,-0.3852382302284241,-0.44990718364715576
1103812,1900485,193,15.647653,-12.207409858703613,-12.24217414855957,-12.232705116271973,-0.03476428985595703,0.009469032287597656,-0.025295257568359375
915593,3191294,530,13.924497,-14.303535461425781,-14.293020248413086,-14.31209945678711,0.010515213012695312,-0.019079208374023438,-0.008563995361328125
1114646,8233327,695,8.017348,-9.918867111206055,-10.004717826843262,-10.463470458984375,-0.08585071563720703,-0.4587526321411133,-0.5446033477783203
19335,6902387,832,10.450421,-9.739553451538086,-9.673806190490723,-9.801143646240234,0.06574726104736328,-0.12733745574951172,-0.06159019470214844
1037798,6816049,601,10.680016,-13.397073745727539,-13.41786003112793,-13.377676010131836,-0.020786285400390625,0.04018402099609375,0.019397735595703125
1063750,2047790,558,7.104919,-13.885109901428223,-13.869382858276367,-13.875267028808594,0.01572704315185547,-0.0058841705322265625,0.009842872619628906
1115776,8106321,3,23.334087,5.882790565490723,5.844547271728516,5.849355697631836,-0.03824329376220703,0.0048084259033203125,-0.03343486785888672
451602,7205049,935,11.468267,-13.069307327270508,-13.060216903686523,-13.07285213470459,0.009090423583984375,-0.012635231018066406,-0.0035448074340820312
264014,3338820,960,12.362787,-9.141283988952637,-9.172008514404297,-9.157635688781738,-0.030724525451660156,0.014372825622558594,-0.016351699829101562
1133167,1883273,229,12.570255,4.390753746032715,4.405374526977539,4.2251787185668945,0.014620780944824219,-0.18019580841064453,-0.1655750274658203
183378,1726139,256,12.278717,-12.829028129577637,-12.893787384033203,-12.947332382202148,-0.0647592544555664,-0.05354499816894531,-0.11830425262451172
130510,657854,619,10.729883,-13.058401107788086,-13.086943626403809,-13.129571914672852,-0.028542518615722656,-0.04262828826904297,-0.07117080688476562
