qid,docid,rank,bm25_score,original_score,control_score,attack_score,control_delta_vs_original,attack_delta_vs_control,attack_delta_vs_original
1103812,3202701,900,12.541065,-12.88609504699707,-12.890422821044922,-12.917458534240723,-0.0043277740478515625,-0.02703571319580078,-0.031363487243652344
527433,199249,296,20.958233,-13.010591506958008,-13.06496524810791,-13.129387855529785,-0.054373741149902344,-0.064422607421875,-0.11879634857177734
148538,963821,639,16.673933,-10.899344444274902,-10.934191703796387,-10.985445976257324,-0.034847259521484375,-0.0512542724609375,-0.08610153198242188
264014,5328095,19,23.129852,4.954717636108398,4.912036895751953,4.8724212646484375,-0.04268074035644531,-0.039615631103515625,-0.08229637145996094
131843,8073461,44,6.3777733,-13.685620307922363,-13.665453910827637,-13.62221908569336,0.020166397094726562,0.043234825134277344,0.0634012222290039
451602,8294680,628,12.772134,-11.517167091369629,-11.424722671508789,-11.617908477783203,0.09244441986083984,-0.19318580627441406,-0.10074138641357422
168216,3908778,144,24.050869,0.782355546951294,0.7782621383666992,0.8203544616699219,-0.0040934085845947266,0.042092323303222656,0.03799891471862793
130510,8614562,717,10.578865,-12.98244857788086,-12.9677152633667,-13.071491241455078,0.014733314514160156,-0.1037759780883789,-0.08904266357421875
1112341,4560142,736,11.507101,-14.439285278320312,-14.430610656738281,-14.436796188354492,0.00867462158203125,-0.0061855316162109375,0.0024890899658203125
1133167,2750180,697,10.607595,-11.038500785827637,-10.998656272888184,-11.106138229370117,0.039844512939453125,-0.1074819564819336,-0.06763744354248047
1129237,2913079,693,13.030432,-5.938738822937012,-5.956526756286621,-6.058841705322266,-0.017787933349609375,-0.10231494903564453,-0.1201028823852539
87452,6073899,646,11.124613,-12.017468452453613,-12.041986465454102,-12.236340522766113,-0.02451801300048828,-0.19435405731201172,-0.2188720703125
156493,911794,82,15.650091,-5.877462387084961,-5.077712059020996,-2.784970283508301,0.7997503280639648,2.2927417755126953,3.09249210357666
148538,5427174,952,15.420052,-8.756421089172363,-8.825129508972168,-8.768049240112305,-0.06870841979980469,0.05708026885986328,-0.011628150939941406
130510,984907,140,12.764076,-13.279563903808594,-13.269807815551758,-13.331378936767578,0.009756088256835938,-0.06157112121582031,-0.051815032958984375
451602,7265404,328,14.074535,-10.894426345825195,-10.860977172851562,-10.689298629760742,0.03344917297363281,0.1716785430908203,0.20512771606445312
