layer,component,direction,mean_effect,std_effect,n
0,decoder_cross_attn,forward,0.052050196220580804,0.057926888811300516,
0,decoder_cross_attn,reverse,0.052176252378176254,0.05706760233107682,
0,decoder_mlp,forward,0.052050196220580804,0.057926888811300516,
0,decoder_mlp,reverse,0.052176252378176254,0.05706760233107682,
0,decoder_self_attn,forward,0.0,0.0,
0,decoder_self_attn,reverse,0.0,0.0,
0,encoder_mlp,forward,0.43552948134297914,0.5274438394942887,
0,encoder_mlp,reverse,-2.087146490535319,4.8847327209266815,
0,encoder_self_attn,forward,0.43552948134297914,0.5274438394942887,
0,encoder_self_attn,reverse,-2.087146490535319,4.8847327209266815,
1,decoder_cross_attn,forward,0.052111367511270844,0.09357145775040147,
1,decoder_cross_attn,reverse,0.05000734206915842,0.09491950685822612,
1,decoder_mlp,forward,0.052111367511270844,0.09357145775040147,
1,decoder_mlp,reverse,0.05000734206915842,0.09491950685822612,
1,decoder_self_attn,forward,0.052050196220580804,0.057926888811300516,
1,decoder_self_attn,reverse,0.052176252378176254,0.05706760233107682,
1,encoder_mlp,forward,0.5023338899912146,0.6110145042102924,
1,encoder_mlp,reverse,-0.23499219116418887,2.9580920495619156,
1,encoder_self_attn,forward,0.5023338899912146,0.6110145042102924,
1,encoder_self_attn,reverse,-0.23499219116418887,2.9580920495619156,
2,decoder_cross_attn,forward,0.10893929045360483,0.1300020686200162,
2,decoder_cross_attn,reverse,0.10403274281108484,0.13008510332866377,
2,decoder_mlp,forward,0.10893929045360483,0.1300020686200162,
2,decoder_mlp,reverse,0.10403274281108484,0.13008510332866377,
2,decoder_self_attn,forward,0.052111367511270844,0.09357145775040147,
2,decoder_self_attn,reverse,0.05000734206915842,0.09491950685822612,
2,encoder_mlp,forward,0.6053712170446431,0.6980757886751449,
2,encoder_mlp,reverse,0.10509374066281749,2.115361908774085,
2,encoder_self_attn,forward,0.6053712170446431,0.6980757886751449,
2,encoder_self_attn,reverse,0.10509374066281749,2.115361908774085,
3,decoder_cross_attn,forward,0.11936338779113495,0.14725925260295872,
3,decoder_cross_attn,reverse,0.11308324126200373,0.14676692366327856,
3,decoder_mlp,forward,0.11936338779113495,0.14725925260295872,
3,decoder_mlp,reverse,0.11308324126200373,0.14676692366327856,
3,decoder_self_attn,forward,0.10893929045360483,0.1300020686200162,
3,decoder_self_attn,reverse,0.10403274281108484,0.13008510332866377,
3,encoder_mlp,forward,0.7496733311961609,0.7649732601385638,
3,encoder_mlp,reverse,0.3682878711966815,1.5955258383494286,
