layer,component,direction,mean_effect,std_effect,n
0,decoder_cross_attn,forward,0.0242734875100381,0.050539072351487566,
0,decoder_cross_attn,reverse,0.020862616620078267,0.053523800582144565,
0,decoder_mlp,forward,0.0242734875100381,0.050539072351487566,
0,decoder_mlp,reverse,0.020862616620078267,0.053523800582144565,
0,decoder_self_attn,forward,0.0,0.0,
0,decoder_self_attn,reverse,0.0,0.0,
0,encoder_mlp,forward,0.6334153472939058,0.6874053917057321,
0,encoder_mlp,reverse,-1.089056358436255,4.857660544522158,
0,encoder_self_attn,forward,0.6334153472939058,0.6874053917057321,
0,encoder_self_attn,reverse,-1.089056358436255,4.857660544522158,
1,decoder_cross_attn,forward,-0.03569093682390918,0.13564960456631855,
1,decoder_cross_attn,reverse,-0.040100731416573984,0.13785190210955803,
1,decoder_mlp,forward,-0.03569093682390918,0.13564960456631855,
1,decoder_mlp,reverse,-0.040100731416573984,0.13785190210955803,
1,decoder_self_attn,forward,0.0242734875100381,0.050539072351487566,
1,decoder_self_attn,reverse,0.020862616620078267,0.053523800582144565,
1,encoder_mlp,forward,0.6740490505621922,0.7365654743193043,
1,encoder_mlp,reverse,-0.41267587003306366,3.8553335607764567,
1,encoder_self_attn,forward,0.6740490505621922,0.7365654743193043,
1,encoder_self_attn,reverse,-0.41267587003306366,3.8553335607764567,
2,decoder_cross_attn,forward,-0.029572899925169396,0.19865814911774313,
2,decoder_cross_attn,reverse,-0.038338498742720634,0.20607003335197308,
2,decoder_mlp,forward,-0.029572899925169396,0.19865814911774313,
2,decoder_mlp,reverse,-0.038338498742720634,0.20607003335197308,
2,decoder_self_attn,forward,-0.03569093682390918,0.13564960456631855,
2,decoder_self_attn,reverse,-0.040100731416573984,0.13785190210955803,
2,encoder_mlp,forward,0.7879577120763005,0.8151938003834993,
2,encoder_mlp,reverse,-0.14664824983380984,3.511597091259418,
2,encoder_self_attn,forward,0.7879577120763005,0.8151938003834993,
2,encoder_self_attn,reverse,-0.14664824983380984,3.511597091259418,
3,decoder_cross_attn,forward,-0.013491133833982236,0.19735217673687802,
3,decoder_cross_attn,reverse,-0.023927447787931162,0.20442733885741338,
3,decoder_mlp,forward,-0.013491133833982236,0.19735217673687802,
3,decoder_mlp,reverse,-0.023927447787931162,0.20442733885741338,
3,decoder_self_attn,forward,-0.029572899925169396,0.19865814911774313,
3,decoder_self_attn,reverse,-0.038338498742720634,0.20607003335197308,
3,encoder_mlp,forward,0.9096336181319683,0.8658550684495281,
3,encoder_mlp,reverse,-0.009313745086068392,2.6030965955278966,
3,encoder_self_attn,forward,0.9096336181319683,0.8658550684495281,
3,encoder_self_attn,reverse,-0.009313745086068392,2.6030965955278966,
4,decoder_cross_attn,forward,0.013730047278514382,0.1933030849300092,
4,decoder_cross_attn,reverse,0.004400605554831077,0.19880800219395894,
4,decoder_mlp,forward,0.013730047278514382,0.1933030849300092,
4,decoder_mlp,reverse,0.004400605554831077,0.19880800219395894,
4,decoder_self_attn,forward,-0.013491133833982236,0.19735217673687802,
4,decoder_self_attn,reverse,-0.023927447787931162,0.20442733885741338,
4,encoder_mlp,forward,1.0939469273090736,0.8829000831234993,
4,encoder_mlp,reverse,0.267121688617477,2.486752880815953,
4,encoder_self_attn,forward,1.0939469273090736,0.8829000831234993,
4,encoder_self_attn,reverse,0.267121688617477,2.486752880815953,
5,decoder_cross_attn,forward,0.07000374236248437,0.18445387617432576,
5,decoder_cross_attn,reverse,0.055609140330706006,0.19384084312086355,
5,decoder_mlp,forward,0.07000374236248437,0.18445387617432576,
5,decoder_mlp,reverse,0.055609140330706006,0.19384084312086355,
5,decoder_self_attn,forward,0.013730047278514382,0.1933030849300092,
5,decoder_self_attn,reverse,0.004400605554831077,0.19880800219395894,
5,encoder_mlp,forward,1.371993562215092,1.151730338811577,
5,encoder_mlp,reverse,0.27631949576073656,2.228137202346122,
5,encoder_self_attn,forward,1.371993562215092,1.151730338811577,
5,encoder_self_attn,reverse,0.27631949576073656,2.228137202346122,
6,decoder_cross_attn,forward,0.14906542561093883,0.19108387594681284,
6,decoder_cross_attn,reverse,0.13247209317721576,0.20389887154848735,
6,decoder_mlp,forward,0.14906542561093883,0.19108387594681284,
6,decoder_mlp,reverse,0.13247209317721576,0.20389887154848735,
6,decoder_self_attn,forward,0.07000374236248437,0.18445387617432576,
6,decoder_self_attn,reverse,0.055609140330706006,0.19384084312086355,
6,encoder_mlp,forward,1.3692712592647351,0.9403390941251427,
6,encoder_mlp,reverse,0.09249915378848347,2.169733552540344,
6,encoder_self_attn,forward,1.3692712592647351,0.9403390941251427,
6,encoder_self_attn,reverse,0.09249915378848347,2.169733552540344,
7,decoder_cross_attn,forward,0.21574576603588705,0.19630741447269467,
7,decoder_cross_attn,reverse,0.19858375794881053,0.2098467245279176,
7,decoder_mlp,forward,0.21574576603588705,0.19630741447269467,
7,decoder_mlp,reverse,0.19858375794881053,0.2098467245279176,
7,decoder_self_attn,forward,0.14906542561093883,0.19108387594681284,
7,decoder_self_attn,reverse,0.13247209317721576,0.20389887154848735,
7,encoder_mlp,forward,1.4254292030232802,0.9051359952774631,
7,encoder_mlp,reverse,0.40419569114603054,2.1640043529043744,
7,encoder_self_attn,forward,1.4254292030232802,0.9051359952774631,
7,encoder_self_attn,reverse,0.40419569114603054,2.1640043529043744,
8,decoder_cross_attn,forward,0.3940756230706557,0.16849735309505734,
8,decoder_cross_attn,reverse,0.3763625443122212,0.17753497363244375,
8,decoder_mlp,forward,0.3940756230706557,0.16849735309505734,
8,decoder_mlp,reverse,0.3763625443122212,0.17753497363244375,
8,decoder_self_attn,forward,0.21574576603588705,0.19630741447269467,
8,decoder_self_attn,reverse,0.19858375794881053,0.2098467245279176,
8,encoder_mlp,forward,1.4784031354571174,0.9686737874373684,
8,encoder_mlp,reverse,0.5733457419176794,1.9735402306455012,
8,encoder_self_attn,forward,1.4784031354571174,0.9686737874373684,
8,encoder_self_attn,reverse,0.5733457419176794,1.9735402306455012,
9,decoder_cross_attn,forward,0.5101826602010741,0.21120769792265628,
9,decoder_cross_attn,reverse,0.4977389915186326,0.21557756161819117,
9,decoder_mlp,forward,0.5101826602010741,0.21120769792265628,
9,decoder_mlp,reverse,0.4977389915186326,0.21557756161819117,
9,decoder_self_attn,forward,0.3940756230706557,0.16849735309505734,
9,decoder_self_attn,reverse,0.3763625443122212,0.17753497363244375,
9,encoder_mlp,forward,1.672192969041832,0.9851193544201537,
9,encoder_mlp,reverse,1.0829629375774938,1.629282547785288,
9,encoder_self_attn,forward,1.672192969041832,0.9851193544201537,
9,encoder_self_attn,reverse,1.0829629375774938,1.629282547785288,
10,decoder_cross_attn,forward,0.5756908178358705,0.19048690618622732,
10,decoder_cross_attn,reverse,0.5719209097209057,0.18986397056604043,
10,decoder_mlp,forward,0.5756908178358705,0.19048690618622732,
10,decoder_mlp,reverse,0.5719209097209057,0.18986397056604043,
10,decoder_self_attn,forward,0.5101826602010741,0.21120769792265628,
10,decoder_self_attn,reverse,0.4977389915186326,0.21557756161819117,
10,encoder_mlp,forward,1.362486650082932,0.6645403284493498,
10,encoder_mlp,reverse,0.97184069833745,0.7401381264082315,
10,encoder_self_attn,forward,1.362486650082932,0.6645403284493498,
10,encoder_self_attn,reverse,0.97184069833745,0.7401381264082315,
11,decoder_cross_attn,forward,1.0,0.0,
11,decoder_cross_attn,reverse,1.0,0.0,
11,decoder_mlp,forward,1.0,0.0,
11,decoder_mlp,reverse,1.0,0.0,
11,decoder_self_attn,forward,0.5756908178358705,0.19048690618622732,
11,decoder_self_attn,reverse,0.5719209097209057,0.18986397056604043,
11,encoder_mlp,forward,1.04418751227727,0.0768359540247113,
11,encoder_mlp,reverse,0.942555837564583,0.21911076752067052,
11,encoder_self_attn,forward,1.04418751227727,0.0768359540247113,
11,encoder_self_attn,reverse,0.942555837564583,0.21911076752067052,
