qid,docid,layer,component,direction,control_score,attack_score,patched_score,effect
156493,2259180,0,encoder_self_attn,forward,-1.4201160669326782,0.05308419466018677,-0.36296021938323975,0.7175914063485247
156493,2259180,0,encoder_self_attn,reverse,-1.4201160669326782,0.05308419466018677,-0.1568979024887085,0.1425346591520808
156493,2259180,0,encoder_mlp,forward,-1.4201160669326782,0.05308419466018677,-0.36296021938323975,0.7175914063485247
156493,2259180,0,encoder_mlp,reverse,-1.4201160669326782,0.05308419466018677,-0.1568979024887085,0.1425346591520808
156493,2259180,1,encoder_self_attn,forward,-1.4201160669326782,0.05308419466018677,-0.42465078830718994,0.6757161973004021
156493,2259180,1,encoder_self_attn,reverse,-1.4201160669326782,0.05308419466018677,-0.6802829504013062,0.497805467580189
156493,2259180,1,encoder_mlp,forward,-1.4201160669326782,0.05308419466018677,-0.42465078830718994,0.6757161973004021
156493,2259180,1,encoder_mlp,reverse,-1.4201160669326782,0.05308419466018677,-0.6802829504013062,0.497805467580189
156493,2259180,2,encoder_self_attn,forward,-1.4201160669326782,0.05308419466018677,-0.39266806840896606,0.6974258865612791
156493,2259180,2,encoder_self_attn,reverse,-1.4201160669326782,0.05308419466018677,-0.5130355954170227,0.3842789095523952
156493,2259180,2,encoder_mlp,forward,-1.4201160669326782,0.05308419466018677,-0.39266806840896606,0.6974258865612791
156493,2259180,2,encoder_mlp,reverse,-1.4201160669326782,0.05308419466018677,-0.5130355954170227,0.3842789095523952
156493,2259180,3,encoder_self_attn,forward,-1.4201160669326782,0.05308419466018677,-0.23589980602264404,0.803839295839947
156493,2259180,3,encoder_self_attn,reverse,-1.4201160669326782,0.05308419466018677,-1.290535569190979,0.9120414914930892
156493,2259180,3,encoder_mlp,forward,-1.4201160669326782,0.05308419466018677,-0.23589980602264404,0.803839295839947
156493,2259180,3,encoder_mlp,reverse,-1.4201160669326782,0.05308419466018677,-1.290535569190979,0.9120414914930892
156493,2259180,4,encoder_self_attn,forward,-1.4201160669326782,0.05308419466018677,-0.11636865139007568,0.8849763671185849
156493,2259180,4,encoder_self_attn,reverse,-1.4201160669326782,0.05308419466018677,-0.8501591086387634,0.6131164423785389
156493,2259180,4,encoder_mlp,forward,-1.4201160669326782,0.05308419466018677,-0.11636865139007568,0.8849763671185849
156493,2259180,4,encoder_mlp,reverse,-1.4201160669326782,0.05308419466018677,-0.8501591086387634,0.6131164423785389
156493,2259180,5,encoder_self_attn,forward,-1.4201160669326782,0.05308419466018677,-0.0368807315826416,0.9389323172224013
156493,2259180,5,encoder_self_attn,reverse,-1.4201160669326782,0.05308419466018677,-1.3858585357666016,0.976746181724787
156493,2259180,5,encoder_mlp,forward,-1.4201160669326782,0.05308419466018677,-0.0368807315826416,0.9389323172224013
156493,2259180,5,encoder_mlp,reverse,-1.4201160669326782,0.05308419466018677,-1.3858585357666016,0.976746181724787
156493,2259180,6,encoder_self_attn,forward,-1.4201160669326782,0.05308419466018677,0.043684810400009155,0.9936197511599579
156493,2259180,6,encoder_self_attn,reverse,-1.4201160669326782,0.05308419466018677,-0.7398953437805176,0.5382700228299667
156493,2259180,6,encoder_mlp,forward,-1.4201160669326782,0.05308419466018677,0.043684810400009155,0.9936197511599579
156493,2259180,6,encoder_mlp,reverse,-1.4201160669326782,0.05308419466018677,-0.7398953437805176,0.5382700228299667
156493,2259180,7,encoder_self_attn,forward,-1.4201160669326782,0.05308419466018677,0.09295102953910828,1.0270613818896668
156493,2259180,7,encoder_self_attn,reverse,-1.4201160669326782,0.05308419466018677,-0.820232629776001,0.5928025178952475
156493,2259180,7,encoder_mlp,forward,-1.4201160669326782,0.05308419466018677,0.09295102953910828,1.0270613818896668
156493,2259180,7,encoder_mlp,reverse,-1.4201160669326782,0.05308419466018677,-0.820232629776001,0.5928025178952475
156493,2259180,8,encoder_self_attn,forward,-1.4201160669326782,0.05308419466018677,0.08047282695770264,1.0185912485977313
156493,2259180,8,encoder_self_attn,reverse,-1.4201160669326782,0.05308419466018677,-1.6731679439544678,1.1717701819766058
156493,2259180,8,encoder_mlp,forward,-1.4201160669326782,0.05308419466018677,0.08047282695770264,1.0185912485977313
